;;;Course en ligne;;;;;;;Clm;;;
Pays;Pays Code;ID course en ligne;jour;mois;annee;vainqueur;Pays;Pays Code;ID clm;jour;mois;annee;vainqueur
France;Q142;Q30332844;24;6;2017;Q21005179;France;Q142;Q30332806;22;6;2017;Q2870834
France;Q142;Q30332844;30;6;2018;Q460879;France;Q142;Q30332806;28;6;2018;Q2870834
Monde;;Q934877;23;9;2017;Q933927;Monde;;Q2630733;19;9;2017;Q289826
Monde;;Q934877;29;9;2018;Q563737;Monde;;Q2630733;25;9;2018;Q289826
Pays-bas;;Q30333102;24;6;2017;Q933927;Pays-bas;;Q30333137;21;6;2017;Q289826
Pays-bas;;Q30333102;30;6;2018;Q933927;Pays-bas;;Q30333137;27;6;2018;Q241961
Europe;;Q30894544;5;8;2017;Q6242;Europe;;Q30894543;3;8;2017;Q241961
Europe;;Q30894544;5;8;2018;Q448984;Europe;;Q30894543;8;8;2018;Q241961
Luxembourg;;Q30557561;25;6;2017;Q452004;Luxembourg;;Q30557504;21;6;2017;Q452004
Luxembourg;;Q30557561;1;7;2018;Q452004;Luxembourg;;Q30557504;28;6;2018;Q452004
Finlande;;Q30332239;17;6;2017;Q11876258;Finlande;;Q30332311;16;6;2017;Q11876258
Finlande;;Q30332239;30;6;2018;Q11876258;Finlande;;Q30332311;29;6;2018;Q11876258
Norvege;;Q31271010;25;6;2017;Q16212328;Norvege;;Q31271024;22;6;2017;Q16212328
Norvege;;Q31271010;24;6;2018;Q16212328;Norvege;;Q31271024;21;6;2018;Q50768390
Danemark;;Q30349364;24;6;2017;Q21622099;Danemark;;Q30349371;22;6;2017;Q19968758
Danemark;;Q30349364;30;6;2018;Q17490498;Danemark;;Q30349371;28;6;2018;Q19968758
Slovenie;;Q30332625;25;6;2017;Q2119646;Slovenie;;Q30332486;9;6;2017;Q16223884
Slovenie;;Q30332625;24;6;2018;Q2119646;Slovenie;;Q30332486;8;6;2018;Q14436717
Allemagne;;Q30332737;24;6;2017;Q15825971;Allemagne;;Q30332699;23;6;2017;Q29184
Allemagne;;Q30332737;30;6;2018;Q25933418;Allemagne;;Q30332699;29;6;2018;Q91193
Italie;;Q30332988;25;6;2017;Q462480;Italie;;Q30333018;23;6;2017;Q462480
Italie;;Q30332988;24;6;2018;Q28790165;Italie;;Q30333018;4;10;2018;Q512532
Espagne;;Q31271605;24;6;2017;Q16631235;Espagne;;Q31271315;23;6;2017;Q18170653
Espagne;;Q31271605;23;6;2018;Q19661932;Espagne;;Q31271315;22;6;2018;Q23907253
GB;;Q30349468;25;6;2017;Q254811;GB;;Q30349480;22;6;2017;Q23819567
GB;;Q30349468;1;7;2018;Q54807020;GB;;Q30349480;28;6;2018;Q16153636
Belgique;;Q30332924;25;6;2017;Q440790;Belgique;;Q29642128;22;6;2017;Q16208501
Belgique;;Q30332924;24;6;2018;Q19661850;Belgique;;Q29642128;21;6;2018;Q16208501
Russie;;Q31271644;25;6;2017;Q18171061;Russie;;Q31272638;23;6;2017;Q27517402
Russie;;Q31271644;1;7;2018;Q27443418;Russie;;Q31272638;29;6;2018;Q266686
Ukraine;;Q30577809;24;6;2017;Q16215626;Ukraine;;Q30577837;20;6;2017;Q16215626
Ukraine;;Q30577809;23;6;2018;Q21064099;Ukraine;;Q30577837;20;6;2018;Q16225939
Australie;;Q29051258;8;1;2017;Q17487582;Australie;;Q29043254;5;1;2017;Q17487582
Australie;;Q29051258;7;1;2018;Q29050148;Australie;;Q29043254;5;1;2018;Q17487582
