Rank;BIB;Last Name;First Name;Country;Team;Gender;Age;Phase;Heat;Result;IRM
1;4;SIERRA;Arlenis;CUB;ASTANA WOMEN'S TEAM;W;26;;;3:40:12;
2;22;BARNES;Hannah;GBR;CANYON // SRAM RACING;W;25;;;+00;
3;62;MUSTONEN;Sara;SWE;EXPERZA - FOOTLOGIX;W;37;;;+00;
4;83;WILLIAMS;Georgia;NZL;MITCHELTON SCOTT;W;25;;;+00;
5;72;SAVENKA;Karalina;BLR;MINSK CYCLING CLUB;W;20;;;+00;
6;133;CORDON RAGOT;Audrey;FRA;WIGGLE HIGH5;W;29;;;+00;
7;135;LONGO BORGHINI;Elisa;ITA;WIGGLE HIGH5;W;27;;;+00;
8;123;SANGUINETI;Ilaria;ITA;VALCAR PBM;W;24;;;+00;
9;3;PIRRONE;Elena;ITA;ASTANA WOMEN'S TEAM;W;19;;;+00;
10;114;JACKSON;Alison;CAN;TEAM TIBCO - SILICON VALLEY BANK;W;30;;;+00;
11;21;AMIALIUSIK;Alena;BLR;CANYON // SRAM RACING;W;29;;;+00;
12;41;ZABELINSKAYA;Olga;UZB;COGEAS - METTLER PRO CYCLING TEAM;W;38;;;+00;
13;55;VAN VELZEN;Bryony;NED;DOLTCINI - VAN EYCK SPORT UCI WOMEN CYCLING;W;22;;;+03;
14;32;LIU;Dexiang;CHN;CHINA LIV PRO CYCLING;W;25;;;+03;
15;13;GUDERZO;Tatiana;ITA;BEPINK;W;34;;;+03;
16;82;SPRATT;Amanda;AUS;MITCHELTON SCOTT;W;31;;;+03;
17;116;COBB;Alice;GBR;TEAM TIBCO - SILICON VALLEY BANK;W;23;;;+03;
18;76;NASKOVICH;Taisa;BLR;MINSK CYCLING CLUB;W;23;;;+03;
19;56;RIABCHENKO;Tetiana;UKR;DOLTCINI - VAN EYCK SPORT UCI WOMEN CYCLING;W;29;;;+03;
20;43;KASENOVA;Karina;RUS;COGEAS - METTLER PRO CYCLING TEAM;W;20;;;+03;
21;105;KASHIKI;Shoko;JPN;TEAM ILLUMINATE;W;25;;;+03;
22;74;KIPTSIKAVA;Nastassia;BLR;MINSK CYCLING CLUB;W;19;;;+03;
23;125;MUCCIOLI;Dalia;ITA;VALCAR PBM;W;25;;;+03;
24;111;CHAPMAN;Brodie;AUS;TEAM TIBCO - SILICON VALLEY BANK;W;27;;;+03;
25;71;DZEDZIKAVA;Anastasiya;BLR;MINSK CYCLING CLUB;W;21;;;+03;
26;61;RIJKES;Sarah;AUT;EXPERZA - FOOTLOGIX;W;27;;;+03;
27;124;VIGILIA;Alessia;ITA;VALCAR PBM;W;19;;;+03;
