Rank;UCI ID;Name;Nationality;Team Code;Age;Points
1;10006065514;VAN VLEUTEN Annemiek;NETHERLANDS;MTS;36;1411,86
2;10003114488;VOS Marianne;NETHERLANDS;WAD;31;1394,88
3;10005972655;VAN DER BREGGEN Anna;NETHERLANDS;DLT;28;1323,33
4;10003270601;SPRATT Amanda;AUSTRALIA;MTS;31;1218,86
5;10006131693;RIVERA Coryn;UNITED STATES OF AMERICA;SUN;26;1036,33
6;10006919619;MOOLMAN-PASIO Ashleigh;SOUTH AFRICA;CBT;33;1012,95
7;10004779252;PIETERS Amy;NETHERLANDS;DLT;27;922,9
8;10008682490;NIEWIADOMA Katarzyna;POLAND;CSR;24;887,67
9;10004779050;D`HOORE Jolien;BELGIUM;MTS;28;685,86
10;10003264335;VAN DIJK Ellen;NETHERLANDS;SUN;31;671,57
11;10007614985;LONGO BORGHINI Elisa;ITALY;WHT;27;649,43
12;10005498264;VAN DEN BROEK-BLAAK Chantal;NETHERLANDS;DLT;29;613,9
13;10002919175;WILD Kirsten;NETHERLANDS;WHT;36;568,6
14;10005894146;GUARNIER Megan;UNITED STATES OF AMERICA;;33;564,24
15;10006605680;BRAND Lucinda;NETHERLANDS;SUN;29;543,9
16;10005669935;MAJERUS Christine;LUXEMBOURG;DLT;31;526,57
17;10005781584;HOSKING Chloe;AUSTRALIA;ALE;28;503,33
18;10003267163;BASTIANELLI Marta;ITALY;ALE;31;473
19;10007199808;SIERRA Arlenis;CUBA;ASA;26;460
20;10002525317;BRONZINI Giorgia;ITALY;;35;422
21;10006326202;LEPISTÖ Lotta Pauliina;FINLAND;CBT;29;373,95
22;10008683807;LUDWIG Cecilie Uttrup;DENMARK;CBT;23;364,95
23;10006412589;BUJAK Eugenia;SLOVENIA;BTC;29;359
24;10006456443;KIRCHMANN Leah;CANADA;SUN;28;348,9
25;10004597881;FAHLIN Emilia;SWEDEN;WHT;30;344,6
26;10006881122;CECCHINI Elena;ITALY;CSR;26;341,67
27;10007992881;WILES Tayler;UNITED STATES OF AMERICA;DRP;29;334,57
28;10007709460;RYAN Alexis;UNITED STATES OF AMERICA;CSR;24;332,67
29;10004602935;BRENNAUER Lisa;GERMANY;WHT;30;315,17
30;10005540906;CORDON RAGOT Audrey;FRANCE;WHT;29;314,6
31;10009378668;HALL Katharine;UNITED STATES OF AMERICA;UHC;31;290
32;10007278822;CONFALONIERI Maria Giulia;ITALY;VAL;25;275,67
33;10004520079;JASINSKA Malgorzata;POLAND;MOV;34;270,14
34;10008684312;MACKAIJ Floortje;NETHERLANDS;SUN;23;266,33
35;10008676228;CHURSINA Anastasiia;RUSSIAN FEDERATION;BTC;23;266
36;10006140181;STULTIENS Sabrina;NETHERLANDS;WAD;25;264,71
37;10005886365;GUARISCHI Barbara;ITALY;TVC;28;250,5
38;10002523701;BECKER Charlotte;GERMANY;HPU;35;236
39;10009402617;ROWE Danielle;GREAT BRITAIN;WAD;28;233,88
40;10007348237;BARNES Hannah;GREAT BRITAIN;CSR;25;228
41;10007230726;WILLIAMS Georgia;NEW ZEALAND;MTS;25;228
42;10048328010;MAGNALDI Erica;ITALY;BPK;26;208
43;10010638557;BUURMAN Eva;NETHERLANDS;DRP;24;206,57
44;10010182657;BALSAMO Elisa;ITALY;VAL;20;206
45;10008965814;KLEIN Lisa;GERMANY;CSR;22;203,67
46;10009487085;DIDERIKSEN Amalie;DENMARK;DLT;22;195
47;10006489684;SANTESTEBAN GONZALEZ Ane;SPAIN;ALE;28;194
48;10006629831;FERRAND PREVOT Pauline;FRANCE;CSR;26;193
49;10009686038;JACKSON Alison;CANADA;TIB;30;189,17
50;10010660785;BERTIZZOLO Sofia;ITALY;ASA;21;184,25
51;10009991586;MALSEED Shannon;AUSTRALIA;TIB;24;184,17
52;10009457076;ROY Sarah;AUSTRALIA;MTS;32;176,86
53;10006579715;BIANNIC Aude;FRANCE;MOV;27;170,14
54;10014049523;LIPPERT Liane;GERMANY;SUN;20;169,9
55;10008685423;MARKUS Riejanne;NETHERLANDS;WAD;24;168,88
56;10005492002;AMIALIUSIK Alena;BELARUS;CSR;29;160
57;10039854755;GARCIA CAÑELLAS Margarita Victo;SPAIN;MOV;34;159,14
58;10006727538;ENSING Janneke;NETHERLANDS;ALE;32;150
59;10007126551;GILLOW Shara;AUSTRALIA;FDJ;31;145,86
60;10014838556;KENNEDY Lucy;AUSTRALIA;MTS;30;142,86
61;10014173300;WIEBES Lorena;NETHERLANDS;PHV;19;141
