Rank;UCI ID;Name;Nationality;Team Code;Age;Points
1;10063820223;GIRMAY Biniam;ERITREA;IWG;21;746
2;10008673804;GIBBONS Ryan;SOUTH AFRICA;UAD;27;730,66
3;10013718511;MAIN Kent;SOUTH AFRICA;PRO;25;329,66
4;10008855171;KUDUS Merhawi;ERITREA;APT;27;293
5;10006392381;LAGAB Azzedine;ALGERIA;BAI;35;229
6;10008714018;SAIDI Nassim;ALGERIA;;27;228
7;10009351790;EYOB Metkel;ERITREA;TSG;28;218
8;10002916448;IMPEY Daryl;SOUTH AFRICA;ISN;37;206
9;10007524251;MEINTJES Louis;SOUTH AFRICA;IWG;29;185
10;10006497970;REGUIGUI Youcef;ALGERIA;;31;178
11;10006282247;JANSE VAN RENSBURG Reinardt;SOUTH AFRICA;TQA;32;171
12;10007807672;GRMAY Tsgabu Gebremaryam;ETHIOPIA;BEX;30;169,33
13;10009145161;DE BOD Stefan;SOUTH AFRICA;APT;25;141
14;10075176903;TESFAZION Natnael;ERITREA;ANS;22;131
15;10017825651;PRITZEN Marc Oliver;SOUTH AFRICA;T4Q;22;125
16;10060129674;YEMANE Dawit;ERITREA;BAI;23;120
17;10009583883;GHEBREIGZABHIER Amanuel;ERITREA;TFS;27;108
18;10063787079;MUGISHA Moise;RWANDA;PRO;24;107,66
19;10061744221;DAUMONT Paul;BURKINA FASO;;22;102
20;10009416357;SMIT Willem Jakobus;SOUTH AFRICA;BBH;29;95
21;10017792107;BARRETT Travis;SOUTH AFRICA;;22;90
22;10023500757;MULUEBERHAN Henok;ERITREA;T4Q;22;83
23;10010090004;BASSON Gustav;SOUTH AFRICA;PRO;25;81,66
24;10010844681;ARERUYA Joseph;RWANDA;BIG;25;80
24;10049512622;EL KOURAJI Mohcine;MOROCCO;SKT;24;80
26;10056181370;HABIMANA Jean Eric;RWANDA;SAC;20;79,99
27;10015589294;MANSOURI Hamza;ALGERIA;;22;76
28;10053800628;MILLER Alex;NAMIBIA;;21;75
28;10065789626;COETZEE Dirk;NAMIBIA;;28;75
28;10096251767;GHEBREMEDHIN Merhawi;ERITREA;;27;75
31;10007763317;KAMZONG ABOSSOLO Clovis;CAMEROON;;30;67
32;10023468526;NIKIEMA Bachirou;BURKINA FASO;;22;65
33;10006481907;HENDRICKS Clint;SOUTH AFRICA;;30;60
33;10009990374;DLAMINI Nicholas;SOUTH AFRICA;TQA;26;60
33;10010844378;MAYER Alexandre;MAURITIUS;;23;60
36;10064580156;KAGIMU Charles;UGANDA;BAI;23;55
37;10008608530;KHANTSI Teboho;LESOTHO;;30;50
37;10010019878;BEERS Matthew;SOUTH AFRICA;;27;50
37;10015715903;SHABANGU Muzi;Eswatini;;23;50
37;10096260255;GEBREHIWET Efrem;ERITREA;;19;50
37;10096260962;MENGS Petros;ERITREA;;19;50
42;10061743817;KONE Souleymane;BURKINA FASO;;24;46
43;10005661750;LINCOLN Yannick;MAURITIUS;;39;45
43;10009596213;DARIO Antonio;ANGOLA;;29;45
43;10084382506;HAHN Hugo;NAMIBIA;;19;45
46;10045628780;ARAÚJO Bruno;ANGOLA;;23;42
47;10083874163;SAHIRI Ayoub;ALGERIA;;20;40
48;10009060992;NSENGIMANA Jean Bosco;RWANDA;;29;36,66
49;10082514143;STEDMAN Travis;SOUTH AFRICA;;19;35
50;10007864155;DEBESAY Mekseb;ERITREA;BAI;30;34
51;10009072211;VAN NIEKERK Morné;SOUTH AFRICA;AUB;26;33
52;10008666225;DU PLOOY Rohan;SOUTH AFRICA;PRO;27;30
52;10008865477;LESOFE Malefetsane;LESOTHO;;25;30
52;10009639760;DE LANGE Tristan;NAMIBIA;;24;30
52;10009723020;SASSANE El Khacib;ALGERIA;;27;30
52;10014381444;RUDD Morgan;Eswatini;;42;30
52;10053800426;HAMUNDJEBO Tuhafeni;NAMIBIA;;22;30
58;10063025227;HARTMANN Niels;MAURITIUS;;20;28
58;10096260154;ZERAI Nahom;ERITREA;;19;28
60;10002533300;NEUMANN Horst;NAMIBIA;;40;25
60;10008684918;MANSOURI Abderrahmane;ALGERIA;;26;25
60;10015269194;ROUGIER-LAGANE Christopher;MAURITIUS;;23;25
60;10016178065;EL ARBAOUI Adil;MOROCCO;;26;25
64;10003046891;CUFF Ingram;NAMIBIA;;39;20
64;10004812291;DESVAUX DE MARIGNY Thomas;MAURITIUS;;43;20
64;10015584850;OOSTHUIZEN Jason;SOUTH AFRICA;;22;20
64;10015715802;KOQO Cabonina;LESOTHO;;22;20
64;10054593503;JELE Kwanele;Eswatini;;21;20
64;10055923817;ED DOGHMY Achraf;MOROCCO;;22;20
64;10074742827;BENGANIF Seddik;ALGERIA;;20;20
64;10076590170;ANDEMARIAM Hager;ERITREA;;21;20
72;10008908826;TELLA Artuce;CAMEROON;;37;17
72;10010994528;HAMZA Yacine;ALGERIA;;24;17
74;10091576064;KLOPPER Christiaan;SOUTH AFRICA;;19;16
75;10006520909;MAKATILE Moeketsi;LESOTHO;;43;15
75;10010621581;PLAATJIES Brandon;NAMIBIA;;24;15
75;10014380131;MONADJEM Ara;Eswatini;;53;15
75;10015589803;REDY Dylan;MAURITIUS;;22;15
75;10060962662;YEBKA Sif Eddine;ALGERIA;;23;15
75;10092656505;MAYER Gregory;MAURITIUS;;29;15
75;10095291568;OUEDRAOGO Moumouni;BURKINA FASO;;20;15
75;10102106022;BADLIS Slimane;ALGERIA;;19;15
75;10104796053;NICKEL Roberto;NAMIBIA;;20;15
84;10054296439;KIPKEMBOI Salim;KENYA;BAI;23;14,25
85;10061702488;SORGHO W. Mathias;BURKINA FASO;;34;13,67
