Rank;UCI ID;Name;Nationality;Team Code;Age;Points
1;10001160849;LADINO VEGA Gregorio;COLOMBIA;;37;239
2;10001457307;SEVILLA RIVERA Oscar Miguel;SPAIN;RRC;34;186
3;10002652225;ALCOLEA Arnold;CUBA;;28;176
4;10005488160;ALARCON José;BOLIVARIAN REPUBLIC OF VENEZUELA;;22;160
5;10007634183;SOLIZ VILCA Oscar;BOLIVIA;;25;138
6;10000965132;CORREDOR LIBARDO Niño;COLOMBIA;;42;136
7;10002812980;MASCARAÑAS Richard;URUGUAY;;31;136
8;10054655945;MANCEBO PEREZ Francisco;SPAIN;TKT;34;132
9;10004855337;CONTRERAS Jose Alirio;BOLIVARIAN REPUBLIC OF VENEZUELA;;32;119
10;10061380267;OYARZÚN Carlos;CHILE;;29;116
11;10002691732;VELASQUEZ Nery Felipe;GUATEMALA;;30;108
12;10003222404;ROJAS VILLEGAS Juan Carlos;COSTA RICA;;29;107
13;10001561882;SIMON Edgardo;ARGENTINA;FUN;36;106
14;10004658004;CAMARGO FLECHAS Luis Fernando;COLOMBIA;;33;100
15;10002193291;GIL MARTINEZ Tomas Aurelio;BOLIVARIAN REPUBLIC OF VENEZUELA;;33;98
16;10002340310;DAY Benjamin;AUSTRALIA;VAU;32;96
17;10001184996;CLINE Hernan;URUGUAY;;35;88
18;10003034666;SUAREZ SUAREZ Juan Pablo;COLOMBIA;EPM;25;86
19;10052411811;ARRIAGADA QUINCHEL Marco Antonio;CHILE;FUN;35;84
20;10002481160;RUJANO GUILLEN José;BOLIVARIAN REPUBLIC OF VENEZUELA;;28;82,4
21;10002911091;SEABRA Renato;BRAZIL;;32;81
22;10035480358;ACEVEDO CALLE Janier Alexis;COLOMBIA;;25;78,66
23;10002193796;UBETO APONTE Miguel;BOLIVARIAN REPUBLIC OF VENEZUELA;;34;77,3
24;10002293224;SHIMIZU Miyataka;JAPAN;BGT;29;77
25;10002480655;SERPA PEREZ Jose Rodolfo;COLOMBIA;AND;31;76
26;10050356825;BRENES OBANDO Gregory;COSTA RICA;VMC;22;75,66
27;10001105679;RASMUSSEN Michael;DENMARK;;36;75
28;10005503116;ALBERIO Tomas;ITALY;;21;74
29;10009340878;MONSALVE Yonnatta;BOLIVARIAN REPUBLIC OF VENEZUELA;;21;72
30;10004442984;BERIGUETE Augusto Sanchez;DOMINICAN REPUBLIC;;27;70
31;10003246955;GUAMA Bayron;ECUADOR;VMC;25;70
32;10002140448;CHACON DIAZ José Isidro;BOLIVARIAN REPUBLIC OF VENEZUELA;;33;68,3
33;10003233417;PINHEIRO DA SILVA Roberto;BRAZIL;FUN;27;67
34;10002726488;ROTH Ryan;CANADA;CSM;27;65
35;10003035474;CASTAÑEDA ORTEGA Jaime Alberto;COLOMBIA;EPM;24;64
36;10002226940;LANGLOIS Bruno;CANADA;CSM;31;64
37;10061382994;ORTÍZ Stíver;COLOMBIA;;30;62
38;10006527676;ROSEAU Willy;FRANCE;;22;59
39;10001458115;BENITEZ POMARES Javier;SPAIN;;31;59
40;10001472259;GIACINTI Jorge Alberto;ARGENTINA;;36;57
41;10002290800;GILBERT Martin;CANADA;CSM;28;56
42;10062436355;RAABE MENDEZ Henry Esteban;COSTA RICA;;27;53,66
43;10003269183;KRISTOFF Alexander;NORWAY;BMC;23;53
44;10002370824;BONILLA José Adrian;COSTA RICA;;32;52,66
45;10009340373;DE MAAR Marc;NETHERLANDS;UHC;26;51
46;10003108327;ROUTLEY Will;CANADA;JBC;27;50
47;10005975483;DIAZ Daniel;ARGENTINA;;21;50
48;10001319584;MEDINA MARINO Manuel;BOLIVARIAN REPUBLIC OF VENEZUELA;;34;49,4
49;10004771168;CASAS BUITRAGO Ivan Mauricio;COLOMBIA;;30;49
50;10007465849;CAMELIA Wilfrid;;;19;48
51;10002829956;GONZALEZ PENA Alexander;COLOMBIA;;31;48
52;10001140136;NIÑO CORREDOR Victor;COLOMBIA;;37;48
53;10005560710;MEZGEC Luka;SLOVENIA;RAR;22;46
54;10004714180;GRANJEL Raul;CUBA;;23;45
55;10005475733;BOIVIN Guillaume;CANADA;CSM;21;44
56;10003376792;RODRIGUEZ ORTIZ Jackson;BOLIVARIAN REPUBLIC OF VENEZUELA;AND;25;43
57;10004666286;CARENE Boris;FRANCE;;25;42,7
58;10050087043;SUTHERLAND Rory;AUSTRALIA;UHC;28;42
59;10002745383;CORDOVES PEREZ Gil;BOLIVARIAN REPUBLIC OF VENEZUELA;;45;42
60;10003246652;NAVARRETE Segundo;ECUADOR;;25;41
61;10005973059;AHLSTRAND Jonas;SWEDEN;;20;40
62;10007483229;CASASOLA Leroy;BELIZE;;31;40
63;10004622133;FAIRLY Caleb;UNITED STATES OF AMERICA;;23;40
64;10001650600;RINCON QUINTANA Jose Daniel;COLOMBIA;;35;40
65;10004522305;NAZARET Magno;BRAZIL;;24;38
66;10061375520;BORRAJO Alejandro;ARGENTINA;;30;38
67;10001561276;MARINO Joel;CUBA;;35;38
68;10002755487;COTUMBA COA Juan;BOLIVIA;;30;37
69;10002161060;RAMOS TORRES Florencio;MEXICO;;33;37
70;10001439624;LODDO Alberto;ITALY;AND;31;37
70;10005599106;BRAVO ISAGA Wilmer Nicolas;BOLIVARIAN REPUBLIC OF VENEZUELA;;29;37
70;10074497701;VARGAS CASTELLANO Freddy;BOLIVARIAN REPUBLIC OF VENEZUELA;;28;37
73;10001430429;RANDELL Andrew;CANADA;CSM;36;36
74;10005621940;JONES Christopher;UNITED STATES OF AMERICA;TT1;31;35
75;10006158571;PEREIRA ALVES Wagner;BRAZIL;;30;35
76;10002920791;SEGURA Frederick;BOLIVARIAN REPUBLIC OF VENEZUELA;;31;35
77;10002911293;MORANDI Mauricio;BRAZIL;;29;34
78;10002696681;BAEZ ALVAREZ Giovanny Manuel;COLOMBIA;EPM;29;34
79;10002689308;SARABIA DIAZ Ignacio;MEXICO;RRC;27;34
80;10001542987;PAGLIARINI MENDONCA Luciano André;BRAZIL;;32;33
81;10056033143;MORALES CASTILLO Allan Jose;COSTA RICA;;21;32,66
82;10007482825;PINEDOE Ruiggeri;;;19;32
83;10002304237;ROLFE Darren;AUSTRALIA;VAU;29;32
84;10007458674;GELVEZ Luis;BOLIVARIAN REPUBLIC OF VENEZUELA;;20;32
85;10002920892;OCHOA Carlos Jose;BOLIVARIAN REPUBLIC OF VENEZUELA;AND;30;32
86;10001316150;PEÑA PEÑA Jose Flober;COLOMBIA;;36;32
87;10002894523;NASCIMENTO Antonio Xavier;BRAZIL;;33;31
88;10061379863;RODAS Julián;COLOMBIA;;28;31
89;10007454533;OLSSON Michael;SWEDEN;;24;30
90;10007483330;CHOTO Geovanni;BELIZE;;22;30
91;10061492223;GUTIÉRREZ Hébert;COLOMBIA;;37;30
92;10004713877;SUAREZ ALBARRACIN Camilo Andres;COLOMBIA;CEP;22;30
93;10004707312;FIORILLI Tiago;BRAZIL;FUN;26;30
94;10002204106;LANDIS Floyd;UNITED STATES OF AMERICA;RRC;35;30
95;10006264160;CAMARGO Jonathan;BOLIVARIAN REPUBLIC OF VENEZUELA;;22;30
96;10001440432;LANCASTER Brett;AUSTRALIA;CTT;31;30
96;10002731643;ILESIC Aldo Ino;SLOVENIA;TT1;26;30
98;10061385523;SÁNCHEZ Edwin;COLOMBIA;;27;29
99;10005698429;HANSON Ken;UNITED STATES OF AMERICA;TT1;28;29
100;10006164736;CABRERA GONZALEZ Ramiro;URUGUAY;;22;28
101;10048841100;CAICEDO ROMO Jhonny Fernando;ECUADOR;;23;28
102;10002156414;CHACON COLMENARES Franklin;BOLIVARIAN REPUBLIC OF VENEZUELA;;31;27,4
103;10004791477;SCHMITT Morgan;UNITED STATES OF AMERICA;UHC;25;26
104;10004042860;PEREYRA Andres Ignacio;ARGENTINA;JSH;23;26
105;10002170053;MEDICI Matias;ARGENTINA;;35;25
106;10004591619;RAGOT Olivier;FRANCE;;29;25
107;10005801085;BECERRA Eduin;BOLIVARIAN REPUBLIC OF VENEZUELA;;25;25
108;10006472409;KAMYSHEV Arman;KAZAKHSTAN;;19;24
109;10005487554;KING Benjamin;UNITED STATES OF AMERICA;TLS;21;24
110;10004544937;MATE MARDONES Luis Angel;SPAIN;AND;26;24
111;10004682858;GARCIA-CASARRUBIOS PINTOR Oscar;SPAIN;TKT;26;24
112;10001157213;MIZUROV Andrey;KAZAKHSTAN;TPT;37;23,7
113;10007456755;VALENCIO MANIEZZO Alan;BRAZIL;;26;23
114;10007388047;GUEVARA ARGUELLO Emmanuel Domingo;ARGENTINA;;21;23
115;10007366122;CURIER Olivier;FRANCE;;24;22,7
116;10006918811;QUIROS Fabricio;COSTA RICA;;20;22,66
117;10007424625;MICHAUD Yoann;FRANCE;;21;22
118;10004850182;GARCIA ESTEVEZ Victor Manuel;SPAIN;;29;22
119;10005397931;FERNANDO DOS SANTOS Jair;BRAZIL;;25;22
120;10003274540;PULIDO NARANJO Luis;MEXICO;;24;22
121;10002296052;NAVA CARVAJAL John Alberto;BOLIVARIAN REPUBLIC OF VENEZUELA;;32;21,6
122;10006264261;GALVIZ Carlos;BOLIVARIAN REPUBLIC OF VENEZUELA;;22;21,4
