Rank;UCI ID;Name;Nationality;Team Code;Age;Points
1;10006877886;LUTSENKO Alexey;KAZAKHSTAN;APT;29;1230
2;10004556960;MASUDA Nariyuki;JAPAN;BLZ;38;174
3;10009173756;SAINBAYAR Jambaljamts;MONGOLIA;TSG;25;158
4;10011024739;YAMAMOTO Masaki;JAPAN;KIN;25;136
5;10036104491;FEDOROV Yevgeniy;KAZAKHSTAN;APT;21;123
6;10015084591;PRONSKIY Vadim;KAZAKHSTAN;APT;23;106
7;10009531848;KUSABA Keigo;JAPAN;AIS;25;100
8;10009816077;GIDICH Yevgeniy;KAZAKHSTAN;APT;25;90
9;10007947516;NAKANE Hideto;JAPAN;EFN;31;83
10;10004557465;SAFARZADEH Saeid;ISLAMIC REPUBLIC OF IRAN;;36;80
10;10006895569;ZAKHAROV Artyom;KAZAKHSTAN;APT;30;80
12;10009818101;NATAROV Yuriy;KAZAKHSTAN;APT;25;76,71
13;10002301914;KHALMURATOV Muradjan;UZBEKISTAN;SNC;39;75
13;10010992508;MIRZA AL-HAMMADI Yousif;UNITED ARAB EMIRATES;UAD;33;75
15;10008856383;KOISHI Yuma;JAPAN;UKO;28;70
16;10005324674;ALJAAIDI Abdullah;QATAR;;35;65
16;10010754755;ENKHTAIVAN Bolor-Erdene;MONGOLIA;;26;65
16;10014858865;ALRABIE Mostafa;SAUDI ARABIA;;25;65
16;10118872268;ALAHMAD Jihad;LEBANON;;24;65
16;10119177012;ABBDURROHMAN Muhammad;INDONESIA;;24;65
21;10004703672;ZEITS Andrey;KAZAKHSTAN;BEX;35;60
21;10090136626;ALRAHBI Said;OMAN;;21;60
23;10004874232;SALEH Mohd Harrif;MALAYSIA;TSG;33;55
23;10006013778;CHAWCHIANGKWANG Peerapol;THAILAND;TCC;35;55
23;10013426400;OKA Atsushi;JAPAN;NIP;26;55
23;10045957873;EVDOKIMOV Danil;UZBEKISTAN;;21;55
27;10036104895;NURLYKHASSYM Nurbergen;KAZAKHSTAN;VAM;21;53
27;10098773363;ALMAMMARI Faisal;OMAN;;21;53
29;10006500701;FOMINYKH Daniil;KAZAKHSTAN;ALT;30;51
30;10006714505;JANG Kyunggu;KOREA;;31;50
30;10016193930;CHAIYASOMBAT Thanakhan;THAILAND;TCC;22;50
30;10021323715;KOJIMA Naoki;JAPAN;BGT;21;50
30;10052265095;SIRIRONNACHAI Sarawut;THAILAND;TCC;29;50
34;10009462837;ZHANG Zhishan;PEOPLE'S REPUBLIC OF CHINA;TYD;27;47
35;10010992710;ALMANSOORI Ahmed;UNITED ARAB EMIRATES;;31;45
36;10008662383;BATMUNKH Maral-Erdene;MONGOLIA;;27;40
36;10009638952;SHTEIN Grigoriy;KAZAKHSTAN;VAM;25;40
36;10083113220;RAKHIMBAEV Bekhzodbek;UZBEKISTAN;;19;40
36;10086617344;ALKHATER Fadhel;QATAR;;31;40
40;10054594412;JASSAS Ali;SAUDI ARABIA;;34;35
41;10009818202;KUZMIN Anton;KAZAKHSTAN;GAZ;25;33
41;10089449441;AL-WAHIBI Mohammed;OMAN;;20;33
43;10005480783;ITO Masakazu;JAPAN;AIS;33;30
43;10005712472;AFIF Hamad;QATAR;;33;30
43;10009341080;ERDENESUREN Munkhtulga;MONGOLIA;;29;30
43;10009431010;NOVARDIANTO Jamalidin;INDONESIA;MLA;27;30
43;10014474505;CHOI Donghyuk;KOREA;KSP;26;30
43;10016060049;SALLOUM Abdallah;LEBANON;;27;30
43;10016283856;MARUKHIN Daniil;KAZAKHSTAN;VAM;22;30
43;10020964916;YAMAMOTO Tetsuo;JAPAN;BGT;21;30
43;10073852245;YUAN Zhanhui;PEOPLE'S REPUBLIC OF CHINA;TYD;23;30
43;10088569973;AL BATTASHI Ahmed;OMAN;;36;30
53;10009895394;SETIAWAN Odie Purnomo;INDONESIA;KFC;25;28
53;10086074649;AL HSANI Mundher;OMAN;;19;28
55;10118830236;HU Tiantian;PEOPLE'S REPUBLIC OF CHINA;;33;26
55;10118871056;CHEHADE Karim;LEBANON;;27;26
57;10008789800;ARIYAN Behnam;ISLAMIC REPUBLIC OF IRAN;;31;25
57;10008990365;YEO Boon Kiak;SINGAPORE;;33;25
57;10009014415;LADNGERN Peerapong;THAILAND;;26;25
57;10015571615;SHTEIN Iogan;KAZAKHSTAN;VAM;22;25
57;10015855945;CHZHAN Igor;KAZAKHSTAN;VAM;22;25
57;10016126838;SUGARMAA Ayush-Ochir;MONGOLIA;;22;25
