UCI ROAD Calendar;;;;;;;;;03.01.2021
Date From;Date To;Name;Venue;Country;Category;Calendar;Class;EMail;WebSite
15/11/2020;16/11/2020;National Road Championships - Venezuela (2020);;BOLIVARIAN REPUBLIC OF VENEZUELA;;;CN;fvciclismove@gmail.com;www,instagram.com/fvciclismo
21/11/2020;21/11/2020;Elite Road Central American Championships - WE - ITT;;PANAMA;WE;;1.2;info@fepaci.com.pa;http://fepaci.com.pa/
21/11/2020;21/11/2020;National Road Championships - Israel (IRR - WE) (2020);;ISRAEL;;;CN;yarden@israelcycling.org.il;
15/11/2020;22/11/2020;National Road Championships - El Salvador (2020);;EL SALVADOR;;;CN;fsc.ciclismo@gmail.com;www.fsc.org.sv
22/11/2020;22/11/2020;Elite Road Central American Championships - WE - IRR;;PANAMA;WE;;1.2;info@fepaci.com.pa;http://fepaci.com.pa/
12/12/2020;13/12/2020;National Road Championships - Paraguay (WE) (2020);;PARAGUAY;;;CN;secretaria@fpc.org.py;
15/01/2021;17/01/2021;National Road Championships - Thailand;;THAILAND;;;CN;taca1959@yahoo.com;http://www.thaicycling.or.th/
23/01/2021;23/01/2021;Gravel and Tar la Femme;;NEW ZEALAND;WE;;1.2;steve@gravelandtar.com;www.gravelandtar.com
28/01/2021;31/01/2021;National Road Championships - Colombia;;COLOMBIA;;;CN;FEDERACIONCOLOMBIANADECICLISMO.COM;FEDERACIONCOLOMBIANADECICLISMO.COM
03/02/2021;07/02/2021;National Road Championships - Australia;;AUSTRALIA;;;CN;road@cycling.org.au;www.roadnationals.org.au
04/02/2021;07/02/2021;National Road Championships - South Africa;;SOUTH AFRICA;;;CN;info@cyclingsa.com;www.cyclingsa.com
05/02/2021;07/02/2021;National Road Championships - Namibia;;NAMIBIA;;;CN;brendan.dickerson@gmail.com;www.namcf.org
07/02/2021;07/02/2021;Vuelta CV Feminas;;SPAIN;WE;;1.1;feminas@vueltacv.com;www.vueltacv.com
12/02/2021;14/02/2021;National Road Championships - New Zealand;;NEW ZEALAND;;;CN;events@cyclingnewzealand.nz;www.eliteroadnationals.nz
20/02/2021;20/02/2021;Grand Prix Velo Manavgat;;TURKEY;WE;;1.2;info@veloalanya.com;www.cyclingalanya.com
18/02/2021;21/02/2021;V Setmana Ciclista Valenciana - Vuelta Comunitat Valenciana Feminas;;SPAIN;WE;;2.1;mkt@ccescapada.com;
21/02/2021;21/02/2021;Grand Prix Velo Alanya;;TURKEY;WE;;1.2;info@veloalanya.com;www.cyclingalanya.com
27/02/2021;27/02/2021;Omloop Het Nieuwsblad-vrouwen elite / Circuit Het Nieuwsblad-Femmes Elite;;BELGIUM;WE;;1.Pro;wim.vanherreweghe@flandersclassics.be;www.flandersclassics.be
26/02/2021;28/02/2021;National Road Championships - Panama;;PANAMA;;;CN;info@fepaci.com.pa;www.fepaciclismo.com
02/03/2021;02/03/2021;Le Samyn des Dames;;BELGIUM;WE;;1.1;jeanlucvdb@skynet.be;WWW.LESAMYN.BE
06/03/2021;06/03/2021;Strade Bianche;;ITALY;WE;;1.WWT;giusy.virelli@rcs.it;www.strade-bianche.it
09/03/2021;12/03/2021;Healthy Ageing Tour;;NETHERLANDS;WE;;2.1;healthyageingtour@gmail.com;www.healthyageingtour.nl
14/03/2021;14/03/2021;GP Oetingen;;BELGIUM;WE;;1.2;Gp.oetingen@outlook.be;www.gooiksportief.be
17/03/2021;17/03/2021;Danilith Nokere Koerse;;BELGIUM;WE;;1.Pro;info@nokerekoerse.be;
21/03/2021;21/03/2021;Omloop van de Westhoek - Memorial Stive Vermaut;;BELGIUM;WE;;1.1;rikgoethals@hotmail.com;www.ichtegem-sportief.be
21/03/2021;21/03/2021;Trofeo Alfredo Binda - Comune di Cittiglio;;ITALY;WE;;1.WWT;"mario.minervino@email.it; mario.minervino@trofeobinda.com";www.cyclingsportpromotion.com
