Rank;UCI ID;Name;Nationality;Team Code;Age;Points
1;10009850534;HOFSTETTER Hugo;FRANCE;COF;24;1028
2;10007738055;ACKERMANN Pascal;GERMANY;BOH;24;1020
3;10005902230;DUPONT Timothy;BELGIUM;WGG;31;996
4;10001457509;VALVERDE Alejandro;SPAIN;MOV;38;959
5;10006453110;WELLENS Tim;BELGIUM;LTS;27;831
6;10007128470;PASQUALON Andrea;ITALY;WGG;30;801
7;10006468062;COLBRELLI Sonny;ITALY;TBM;28;742,8
8;10006473722;PINOT Thibaut;FRANCE;GFC;28;715
9;10008706136;JAKOBSEN Fabio;NETHERLANDS;QST;22;682
10;10003211286;DEHAES Kenny;BELGIUM;WVA;34;673
11;10016277792;SOSA CUERVO Ivan Ramiro;COLOMBIA;ANS;21;661
12;10007293269;GROENEWEGEN Dylan;NETHERLANDS;TLJ;25;639
13;10006823528;STUYVEN Jasper;BELGIUM;TFS;26;634
14;10007946203;VAN DER POEL Mathieu;NETHERLANDS;COC;23;633
15;10006737238;PRADES REVERTER Eduard;SPAIN;EUS;31;629
16;10008686332;MOHORIC Matej;SLOVENIA;TBM;24;623
17;10008895183;CALMEJANE Lilian;FRANCE;TDE;26;619
18;10006914969;VAN POPPEL Danny;NETHERLANDS;TLJ;25;614,27
19;10006486452;TRATNIK Jan;SLOVENIA;CCC;28;611,71
20;10008661777;BALLERINI Davide;ITALY;ANS;24;604
21;10005397224;CANOLA Marco;ITALY;NIP;30;599
22;10005379339;DEGENKOLB John;GERMANY;TFS;29;584,43
23;10007516773;SENECHAL Florian;FRANCE;QST;25;571
24;10008198096;LAPORTE Christophe;FRANCE;COF;26;564
25;10006642763;MEURISSE Xandro;BELGIUM;WGG;26;561
26;10003200475;GAVAZZI Francesco;ITALY;ANS;34;553
27;10007992174;BARBERO Carlos;SPAIN;MOV;27;546
28;10014972740;POGAČAR Tadej;SLOVENIA;LJU;20;541
29;10009163753;MADOUAS Valentin;FRANCE;GFC;22;538
30;10006467052;DEMARE Arnaud;FRANCE;GFC;27;536
31;10007517076;MARTIN Guillaume;FRANCE;WGG;25;531
32;10008610247;NÕMMELA Aksel;ESTONIA;BRT;24;520
33;10003105600;VISCONTI Giovanni;ITALY;TBM;35;518
34;10003073062;BELLETTI Manuel;ITALY;ANS;33;515
35;10003094684;HIVERT Jonathan;FRANCE;TDE;33;512
36;10009575395;MOSCON Gianni;ITALY;SKY;24;507,74
