Rank;UCI ID;Name;Nationality;Team Code;Age;Points
1;10007622968;GUNMAN Taylor Karl;NEW ZEALAND;ART;24;152
2;10006480388;BEVIN Patrick;NEW ZEALAND;ART;24;135
3;10005608604;COOPER Joseph;NEW ZEALAND;ART;30;100
4;10006874452;KERBY Jordan;AUSTRALIA;DPC;23;74
5;10005968312;CHRISTIE Jason;NEW ZEALAND;ART;25;72
6;10009808300;DAVISON Thomas;NEW ZEALAND;ART;25;46
7;10008088467;ORAM James;NEW ZEALAND;BDT;22;46
8;10005483918;BARRY Daniel;NEW ZEALAND;BFL;27;44
9;10006723494;HORGAN Samuel;NEW ZEALAND;BFL;28;30
10;10006363584;VAN DER PLOEG Neil;AUSTRALIA;ART;28;29
11;10005776231;WURF Cameron;AUSTRALIA;;32;28
12;10006606589;CLARKE William;AUSTRALIA;DPC;30;28
13;10007356018;EDWARDS David;AUSTRALIA;CMR;22;25
14;10009778287;EVERS Craig;AUSTRALIA;DSR;25;22
15;10008695729;SMITH Dion;NEW ZEALAND;HSD;22;20
16;10009492139;POWER Rob;AUSTRALIA;;20;20
17;10006784122;VON HOFF Steele;AUSTRALIA;NPC;28;19
18;10009642689;CANTY Brendan;AUSTRALIA;BFL;23;17
19;10008934185;CARPENTER Harry;AUSTRALIA;;22;16
20;10005608503;TORCKLER Michael;NEW ZEALAND;BFL;28;16
21;10006190301;RUDOLPH Malcolm;AUSTRALIA;DPC;26;15
22;10009132431;GORDON Callum;NEW ZEALAND;;21;12
23;10009809411;BERRY Josh;AUSTRALIA;BFL;25;12
24;10009136572;FITTER Daniel;AUSTRALIA;;19;11
25;10001354748;PELLIZOTTI Franco;ITALY;AND;37;11
26;10002688500;FARRAR Tyler;UNITED STATES OF AMERICA;MTN;31;11
27;10005504025;BOBRIDGE Jack;AUSTRALIA;BFL;26;10
28;10003031232;FINNING Sean;NEW ZEALAND;;30;10
29;10007055015;SPOKES Samuel;AUSTRALIA;DPC;23;10
30;10009972388;SMITH Morgan;NEW ZEALAND;;27;10
31;10001441745;BROWN Graeme;AUSTRALIA;DPC;36;10
32;10007230019;GOUGH Fraser;NEW ZEALAND;ART;22;10
33;10003192492;MURPHY John;UNITED STATES OF AMERICA;UHC;31;10
33;10006801296;JONES Brenton;AUSTRALIA;DPC;24;10
35;10006383893;VINK Michael;NEW ZEALAND;CCT;24;8
36;10007623271;HUBBARD Thomas;NEW ZEALAND;DSR;24;8
37;10003998606;NORRIS Lachlan;AUSTRALIA;DPC;28;8
38;10007610339;PRETE Joshua;AUSTRALIA;;24;8
39;10007789282;CLEMENTS Alexander;AUSTRALIA;;22;7
40;10004763791;NANKERVIS Tommy;AUSTRALIA;BFL;32;7
41;10008661676;BAIN Nick;NEW ZEALAND;;21;7
42;10008994914;KAESLER Tom;AUSTRALIA;;20;6
43;10002324849;MILOSTIC Peter;AUSTRALIA;;41;6
44;10005776332;ANDERSON Jack;AUSTRALIA;BFL;28;6
45;10010002401;HAGAN Andrew;NEW ZEALAND;;37;6
46;10005482605;MORTON Angus;AUSTRALIA;JBC;26;6
47;10007810605;SCHREURS Hamish;NEW ZEALAND;;21;6
48;10009350578;DAVIES Scott;GREAT BRITAIN;;20;6
49;10007129682;WITMITZ Samuel;AUSTRALIA;BFL;30;6
50;10008994813;HARRISON Joshua;AUSTRALIA;;20;5
51;10009781119;COOPER Mitchell;AUSTRALIA;NSR;22;5
52;10055220060;GILLETT Rhys;AUSTRALIA;;25;5
53;10009971176;TOOVEY Ayden;AUSTRALIA;;20;4
54;10004759751;SUMMERHILL Daniel;UNITED STATES OF AMERICA;UHC;26;4
55;10009534575;ALDRIDGE Joshua;NEW ZEALAND;;26;3
56;10006166453;VAN UDEN Roman;NEW ZEALAND;;27;3
57;10003025875;PAUWELS Serge;BELGIUM;MTN;32;3
58;10009780513;O'CONNOR Ben;AUSTRALIA;NSR;20;2
59;10006363685;DYBALL Benjamin;AUSTRALIA;ART;26;2
60;10002711536;DALL'ANTONIA Tiziano;ITALY;AND;32;2
60;10005457848;GRAZIATO Massimo;ITALY;PVC;27;2
62;10007809692;MCCORMICK Hayden;NEW ZEALAND;;21;1
