Rank,BIB,Last Name,First Name,Country,Team,Gender,Age,Phase,Heat,Result,IRM
1,,VOS,Marianne,NED,RABO WOMEN CYCLING TEAM,W,26,,,3:33:21,
2,,VAN DIJK,Ellen,NED,SPECIALIZED - LULULEMON,W,26,,,+0,
3,,JOHANSSON,Emma,SWE,ORICA - AIS,W,30,,,+0,
4,,LONGO BORGHINI,Elisa,ITA,HITEC PRODUCTS UCK,W,22,,,+0,
5,,VAN VLEUTEN,Annemiek,NED,RABO WOMEN CYCLING TEAM,W,31,,,+2:37,
6,,VISSER,Adrie,NED,BOELS DOLMANS CYCLING TEAM,W,30,,,+2:37,
7,,VAN DER BREGGEN,Anna,NED,SENGERS LADIES CYCLING TEAM,W,23,,,+2:37,
8,,GUNNEWIJK,Loes,NED,ORICA - AIS,W,33,,,+2:37,
9,,DEIGNAN,Elizabeth,GBR,BOELS DOLMANS CYCLING TEAM,W,25,,,+2:39,
10,,WILD,Kirsten,NED,TEAM ARGOS - SHIMANO,W,31,,,+4:33,
11,,MAJERUS,Christine,LUX,SENGERS LADIES CYCLING TEAM,W,26,,,+4:33,
12,,WORRACK,Trixi,GER,SPECIALIZED - LULULEMON,W,32,,,+4:33,
13,,BRONZINI,Giorgia,ITA,WIGGLE HONDA,W,30,,,+4:33,
14,,CROMWELL,Tiffany,AUS,ORICA - AIS,W,25,,,+4:33,
15,,BECKER,Charlotte,GER,TEAM ARGOS - SHIMANO,W,30,,,+4:33,
16,,?E?ULIEN?,Inga,LTU,PASTA ZARA - COGEAS,W,27,,,+4:33,
17,,DOM,Annelies,BEL,CYCLELIVE PLUS - ZANNATA,W,27,,,+4:33,
18,,GUARNIER,Megan,USA,RABO WOMEN CYCLING TEAM,W,28,,,+4:33,
19,,DE VOCHT,Liesbet,BEL,RABO WOMEN CYCLING TEAM,W,34,,,+4:33,
20,,D`HOORE,Jolien,BEL,LOTTO BELISOL LADIES,W,23,,,+4:33,
21,,BRAND,Lucinda,NED,RABO WOMEN CYCLING TEAM,W,24,,,+4:33,
22,,ANTOSHINA,Tatiana,RUS,MCIPOLLINI GIORDANA,W,31,,,+4:33,
