Rank;UCI ID;Name;Nationality;Team Code;Age;Points
1;10002732552;JOHANSSON Emma;SWEDEN;GEW;30;1388
2;10003114488;VOS Marianne;NETHERLANDS;RBW;26;1296,75
3;10003264335;VAN DIJK Ellen;NETHERLANDS;SLU;26;924
4;10002525317;BRONZINI Giorgia;ITALY;WHT;30;614
5;10005972655;VAN DER BREGGEN Anna;NETHERLANDS;SLT;23;540,5
6;10007614985;LONGO BORGHINI Elisa;ITALY;HPU;22;531,58
7;10006919518;STEVENS Evelyn;UNITED STATES OF AMERICA;SLU;30;527
8;10002919175;WILD Kirsten;NETHERLANDS;ARW;31;370
9;10004705389;ANTOSHINA Tatiana;RUSSIAN FEDERATION;MCG;31;361
10;10007524352;RATTO Rossella;ITALY;HPU;20;336,08
11;10002741545;GUDERZO Tatiana;ITALY;MCG;29;328
12;10003218764;VILLUMSEN Linda;NEW ZEALAND;WHT;28;324,5
13;10005688426;OLDS Shelley;UNITED STATES OF AMERICA;TIB;33;317,25
14;10005492002;AMIALIUSIK Alena;BELARUS;BPK;24;317
15;10006065514;VAN VLEUTEN Annemiek;NETHERLANDS;RBW;31;311,25
16;10003294041;LICHTENBERG Claudia;GERMANY;TIB;28;278,5
17;10004598891;DEIGNAN Elizabeth;GREAT BRITAIN;DLT;25;272,5
18;10002084874;CANTELE Noemi;ITALY;BPK;32;260
19;10005781584;HOSKING Chloe;AUSTRALIA;HPU;23;254,25
20;10004596770;CROMWELL Tiffany;AUSTRALIA;GEW;25;253
21;10004602935;BRENNAUER Lisa;GERMANY;SLU;25;244
22;10002059414;WORRACK Trixi;GERMANY;SLU;32;237
23;10006436336;PAWLOWSKA Katarzyna;POLAND;GKS;24;232
24;10072026322;SMALL Carmen;UNITED STATES OF AMERICA;SLU;33;231
25;10007126551;GILLOW Shara;AUSTRALIA;GEW;26;205
26;10006605680;BRAND Lucinda;NETHERLANDS;RBW;24;203,75
27;10006919619;MOOLMAN-PASIO Ashleigh;SOUTH AFRICA;LBL;28;200
28;10003272419;NUMAINVILLE Joelle;CANADA;OPW;26;194
29;10005669935;MAJERUS Christine;LUXEMBOURG;SLT;26;191,25
30;10002697085;FERNANDES SILVA Clemilda;BRAZIL;FCL;34;182,25
31;10004779252;PIETERS Amy;NETHERLANDS;ARW;22;174
32;10005627802;POLSPOEL Maaike;BELGIUM;SLT;24;156,25
33;10092360451;ČEŠULIENĖ Inga;LITHUANIA;PZC;27;154,5
34;10002774281;GUNNEWIJK Loes;NETHERLANDS;GEW;33;152,5
35;10004634661;KOZONCHUK Oxana;RUSSIAN FEDERATION;RVL;25;148
36;10007073607;CAUZ Francesca;ITALY;TOG;21;142,33
37;10006629831;FERRAND PREVOT Pauline;FRANCE;RBW;21;137
38;10006824740;RIABCHENKO Tetiana;UKRAINE;FCL;24;131
39;10004679020;POOLEY Emma;GREAT BRITAIN;;31;127
40;10002522485;BOYARSKAYA Natalia;RUSSIAN FEDERATION;TPW;30;126
41;10009436060;VARGAS VILLAMIL Lorena Maria;COLOMBIA;;27;124
42;10002521172;KOEDOODER Vera;NETHERLANDS;SLT;30;123,5
43;10005886466;TAGLIAFERRO Marta;ITALY;MCG;24;121
44;10005978820;SCANDOLARA Valentina;ITALY;MCG;23;119
45;10006645995;SOLOVEI Ganna;UKRAINE;;21;118
46;10002938070;KUCHINSKAYA Elena;RUSSIAN FEDERATION;RVL;29;113
47;10004779050;D`HOORE Jolien;BELGIUM;LBL;23;112
48;10006180193;EDMONDSON Annette;AUSTRALIA;GEW;22;111,5
49;10005498264;VAN DEN BROEK-BLAAK Chantal;NETHERLANDS;TIB;24;109,25
50;10005575056;ABBOTT Mara;UNITED STATES OF AMERICA;EXG;28;106
51;10004616574;CANUEL Karol-Ann;CANADA;FUT;25;104
52;10005894146;GUARNIER Megan;UNITED STATES OF AMERICA;RBW;28;103,5
53;10003143689;DE VOCHT Liesbet;BELGIUM;RBW;34;102,5
54;10003270601;SPRATT Amanda;AUSTRALIA;GEW;26;98
55;10007993083;HALL Lauren;UNITED STATES OF AMERICA;OPW;34;94
56;10005763194;ELVIN Gracie;AUSTRALIA;GEW;25;91,5
57;10005540906;CORDON RAGOT Audrey;FRANCE;FUT;24;91
58;10006274668;CURE Amy;AUSTRALIA;;21;90,5
59;10002827835;VISSER Adrie;NETHERLANDS;DLT;30;86,5
60;10006881324;ZORZI Susanna;ITALY;FLF;21;83
61;10007917608;DE JONG Thalita;NETHERLANDS;RBW;20;82,75
62;10007199808;SIERRA Arlenis;CUBA;;21;80
63;10004866653;HSIAO Mei Yu;CHINESE TAIPEI;;28;79
64;10002655154;GARCÍA Evelyn;EL SALVADOR;PZC;31;77,5
65;10001570067;VYSOTSKA Yevgeniya;UKRAINE;MIC;38;76
66;10008652481;GARNER Lucy;GREAT BRITAIN;ARW;19;75
67;10003267163;BASTIANELLI Marta;ITALY;FLF;26;74
68;10001167216;STOLBOVA Svetlana;RUSSIAN FEDERATION;TPW;40;73
69;10002526125;VALSECCHI Silvia;ITALY;BPK;31;73
70;10007895275;ALBERSHARDT Addyson;UNITED STATES OF AMERICA;PZC;19;73
71;10003266456;KNETEMANN Roxane;NETHERLANDS;RBW;26;72
72;10001441139;ZABELINSKAYA Olga;RUSSIAN FEDERATION;RVL;33;70
73;10061392694;GULUMÁ Sérika;COLOMBIA;;23;69
74;10002663541;PITEL Edwige;FRANCE;MIC;46;69
75;10005971645;KITCHEN Lauren;AUSTRALIA;WHT;23;66,5
76;10003152581;SLAPPENDEL Iris;NETHERLANDS;RBW;28;65,5
77;10004571815;BURCHENKOVA Alexandra;RUSSIAN FEDERATION;RVL;25;65
78;10007199707;DREXEL CLOUTHIER Ingrid;MEXICO;PZC;20;63
79;10005966490;DAAMS Jessie;BELGIUM;DLT;23;61,5
80;10005436529;MUSTONEN Sara;SWEDEN;FLF;32;61
81;10007981868;MUCCIOLI Dalia;ITALY;BPK;20;59
82;10006579715;BIANNIC Aude;FRANCE;MIC;22;59
83;10004619002;DE VUYST Sofie;BELGIUM;SLT;26;58,25
84;10003100849;CHULKOVA Anastasia;RUSSIAN FEDERATION;RVL;28;57
