Rank;UCI ID;Name;Nationality;Team Code;Age;Points
1;10001457509;VALVERDE Alejandro;SPAIN;MOV;35;5090
2;10003269183;KRISTOFF Alexander;NORWAY;KAT;28;4381
3;10006271234;ARU Fabio;ITALY;AST;25;3078
4;10001497117;RODRIGUEZ OLIVER Joaquim;SPAIN;KAT;36;2980
5;10004393676;FROOME Chris;GREAT BRITAIN;SKY;30;2847
6;10051842945;CONTADOR VELASCO Alberto;SPAIN;TCS;33;2760
7;10006738854;QUINTANA Nairo;COLOMBIA;MOV;25;2715
8;10005460373;SAGAN Peter;SLOVAKIA;TCS;25;2688
9;10004451371;VAN AVERMAET Greg;BELGIUM;BMC;30;2656
10;10006473722;PINOT Thibaut;FRANCE;FDJ;25;2195
11;10006291947;MATTHEWS Michael;AUSTRALIA;OGE;25;2173
12;10002416694;GILBERT Philippe;BELGIUM;BMC;33;2128
13;10002837838;NIBALI Vincenzo;ITALY;AST;31;2091
14;10005760164;PORTE Richie;AUSTRALIA;SKY;30;2029
15;10003259685;COSTA Rui;PORTUGAL;LAM;29;2015
16;10007389259;DUMOULIN Tom;NETHERLANDS;TGA;25;2015
17;10002214311;GREIPEL André;GERMANY;LTS;33;1851
18;10005379339;DEGENKOLB John;GERMANY;TGA;26;1845
19;10003253221;THOMAS Geraint;GREAT BRITAIN;SKY;29;1774
20;10003088826;MORENO FERNANDEZ Daniel;SPAIN;KAT;34;1774
21;10004641836;URAN Rigoberto;COLOMBIA;EQS;28;1740
22;10005513119;MOLLEMA Bauke;NETHERLANDS;TFR;29;1733,8
23;10002836626;TERPSTRA Niki;NETHERLANDS;EQS;31;1723
24;10005852821;KWIATKOWSKI Michal;POLAND;EQS;25;1675
25;10002782264;ŠTYBAR Zdeněk;CZECH REPUBLIC;EQS;30;1583,5
26;10005961440;BOUHANNI Nacer;FRANCE;COF;25;1529
27;10006836763;LANDA MEANA Mikel;SPAIN;AST;26;1501
28;10007155752;ALAPHILIPPE Julian;FRANCE;EQS;23;1473
29;10003036989;ŠPILAK Simon;SLOVENIA;KAT;29;1429,6
30;10002692540;POZZOVIVO Domenico;ITALY;ALM;33;1420
31;10005380450;MAJKA Rafal;POLAND;TCS;26;1415
32;10004433789;GALLOPIN Tony;FRANCE;LTS;27;1384
33;10005982456;FELLINE Fabio;ITALY;TFR;25;1378
34;10007079970;THEUNS Edward;BELGIUM;TSV;24;1377
35;10006453110;WELLENS Tim;BELGIUM;LTS;24;1370
36;10006491708;BARDET Romain;FRANCE;ALM;25;1336
37;10003038104;BAKELANTS Jan;BELGIUM;ALM;29;1314
38;10005691658;HENAO MONTOYA Sergio Luis;COLOMBIA;SKY;28;1313
39;10001397891;BOONEN Tom;BELGIUM;EQS;35;1308
40;10007587303;CHAVES RUBIO Jhoan Esteban;COLOMBIA;OGE;25;1307
41;10007750280;BENOOT Tiesj;BELGIUM;LTS;21;1304
42;10005876160;NIZZOLO Giacomo;ITALY;TFR;26;1280
43;10005501496;ZAKARIN Ilnur;RUSSIAN FEDERATION;KAT;26;1236,6
44;10005889193;DENNIS Rohan;AUSTRALIA;BMC;25;1230
45;10042236612;IZAGUIRRE INSAUSTI Ion;SPAIN;MOV;26;1156
46;10007059055;YATES Adam;GREAT BRITAIN;OGE;23;1155
47;10004819466;DEBUSSCHERE Jens;BELGIUM;LTS;26;1079
48;10005467952;ULISSI Diego;ITALY;LAM;26;1041
49;10004505531;NAVARDAUSKAS Ramunas;LITHUANIA;TCG;27;1026
50;10003085994;HERMANS Ben;BELGIUM;BMC;29;983
51;10002833996;ROELANDTS Jurgen;BELGIUM;LTS;30;966
52;10004774202;TRENTIN Matteo;ITALY;EQS;26;942
53;10019821326;HAGEN Edvald Boasson;NORWAY;MTN;28;938
54;10003263325;PONZI Simone;ITALY;STH;28;938
55;10005391261;VANMARCKE Sep;BELGIUM;TLJ;27;919
56;10003292324;CAVENDISH Mark;GREAT BRITAIN;EQS;30;914
57;10048456433;GESINK Robert;NETHERLANDS;TLJ;29;880
58;10058245450;GULDHAMMER Rasmus;DENMARK;CLT;26;856
59;10006473015;KELDERMAN Wilco;NETHERLANDS;TLJ;24;854
60;10006895064;COQUARD Bryan;FRANCE;EUC;23;851
61;10004638196;VUILLERMOZ Alexis;FRANCE;ALM;27;844
62;10007500710;BONIFAZIO Niccolò;ITALY;LAM;22;825
63;10086252279;POELS Wouter;NETHERLANDS;SKY;28;823
64;10006914969;VAN POPPEL Danny;NETHERLANDS;TFR;22;817
65;10000991808;REBELLIN Davide;ITALY;CCC;44;812
66;10004507753;VAN GARDEREN Tejay;UNITED STATES OF AMERICA;BMC;27;810
67;10055330194;YATES Simon Philip;GREAT BRITAIN;OGE;23;800
68;10005413085;NIEVE ITURRALDE Mikel;SPAIN;SKY;31;793
69;10003272217;KÖNIG Leopold;CZECH REPUBLIC;SKY;28;774
70;10007170001;SLAGTER Tom-Jelte;NETHERLANDS;TCG;26;774
71;10004613948;MODOLO Sacha;ITALY;LAM;28;771
72;10008622876;LAMPAERT Yves;BELGIUM;EQS;24;763
73;10004443792;PLANCKAERT Baptiste;BELGIUM;RLM;27;752,25
