Rank,UCI ID,Name,Nationality,Team Code,Age,Points
1,10001457509,VALVERDE Alejandro,SPAIN,MOV,35,675
2,10001497117,RODRIGUEZ OLIVER Joaquim,SPAIN,KAT,36,474
3,10006738854,QUINTANA Nairo,COLOMBIA,MOV,25,457
4,10003269183,KRISTOFF Alexander,NORWAY,KAT,28,453
5,10006271234,ARU Fabio,ITALY,AST,25,448
6,10004393676,FROOME Chris,GREAT BRITAIN,SKY,30,430
7,10051842945,CONTADOR VELASCO Alberto,SPAIN,TCS,33,407
8,10004451371,VAN AVERMAET Greg,BELGIUM,BMC,30,324
9,10003259685,COSTA Rui,PORTUGAL,LAM,29,324
10,10006473722,PINOT Thibaut,FRANCE,FDJ,25,319
11,10005760164,PORTE Richie,AUSTRALIA,SKY,30,314
12,10005379339,DEGENKOLB John,GERMANY,TGA,26,302
13,10004641836,URAN Rigoberto,COLOMBIA,EQS,28,301
14,10003253221,THOMAS Geraint,GREAT BRITAIN,SKY,29,283
15,10007389259,DUMOULIN Tom,NETHERLANDS,TGA,25,271
16,10003036989,ŠPILAK Simon,SLOVENIA,KAT,29,269
17,10005460373,SAGAN Peter,SLOVAKIA,TCS,25,257
18,10002692540,POZZOVIVO Domenico,ITALY,ALM,33,242
19,10002837838,NIBALI Vincenzo,ITALY,AST,31,238
20,10006291947,MATTHEWS Michael,AUSTRALIA,OGE,25,221
21,10003088826,MORENO FERNANDEZ Daniel,SPAIN,KAT,34,216
22,10005513119,MOLLEMA Bauke,NETHERLANDS,TFR,29,212
23,10006491708,BARDET Romain,FRANCE,ALM,25,206
24,10002214311,GREIPEL André,GERMANY,LTS,33,203
25,10006453110,WELLENS Tim,BELGIUM,LTS,24,195
26,10005852821,KWIATKOWSKI Michal,POLAND,EQS,25,195
27,10005501496,ZAKARIN Ilnur,RUSSIAN FEDERATION,KAT,26,194
28,10007155752,ALAPHILIPPE Julian,FRANCE,EQS,23,180
29,10002416694,GILBERT Philippe,BELGIUM,BMC,33,179
30,10042236612,IZAGUIRRE INSAUSTI Ion,SPAIN,MOV,26,173
31,10002782264,ŠTYBAR Zdeněk,CZECH REPUBLIC,EQS,30,172
32,10005691658,HENAO MONTOYA Sergio Luis,COLOMBIA,SKY,28,167
33,10005380450,MAJKA Rafal,POLAND,TCS,26,165
34,10006836763,LANDA MEANA Mikel,SPAIN,AST,26,164
35,10007059055,YATES Adam,GREAT BRITAIN,OGE,23,150
36,10055330194,YATES Simon Philip,GREAT BRITAIN,OGE,23,148
37,10002836626,TERPSTRA Niki,NETHERLANDS,EQS,31,140
38,10005889193,DENNIS Rohan,AUSTRALIA,BMC,25,135
39,10007587303,CHAVES RUBIO Jhoan Esteban,COLOMBIA,OGE,25,134
40,10004433789,GALLOPIN Tony,FRANCE,LTS,27,127
41,10048456433,GESINK Robert,NETHERLANDS,TLJ,29,114
42,10006473015,KELDERMAN Wilco,NETHERLANDS,TLJ,24,111
43,10007126147,DE CLERCQ Bart,BELGIUM,LTS,29,106
44,10005413085,NIEVE ITURRALDE Mikel,SPAIN,SKY,31,104
45,10002833491,BOOM Lars,NETHERLANDS,AST,30,102
46,10002088413,HESJEDAL Ryder,CANADA,TCG,35,102
47,10007750280,BENOOT Tiesj,BELGIUM,LTS,21,101
48,10005467952,ULISSI Diego,ITALY,LAM,26,98
49,10004507753,VAN GARDEREN Tejay,UNITED STATES OF AMERICA,BMC,27,96
50,10003473994,AMADOR Andrey,COSTA RICA,MOV,29,93
51,10003224828,MARTIN Daniel,IRELAND,TCG,29,85
52,10002833996,ROELANDTS Jurgen,BELGIUM,LTS,30,82
53,10004839977,INTXAUSTI ELORRIAGA Beñat,SPAIN,MOV,29,81
54,10001546122,PAOLINI Luca,ITALY,KAT,38,80
55,10004443994,KRUIJSWIJK Steven,NETHERLANDS,TLJ,28,80
56,10005876160,NIZZOLO Giacomo,ITALY,TFR,26,78
57,10001338883,EVANS Cadel,AUSTRALIA,BMC,38,76
58,10003261709,FRANK Mathias,SWITZERLAND,IAM,29,72
59,10003085994,HERMANS Ben,BELGIUM,BMC,29,71
60,10003272217,KÖNIG Leopold,CZECH REPUBLIC,SKY,28,70
61,10003205327,KREUZIGER Roman,CZECH REPUBLIC,TCS,29,64
62,10005982456,FELLINE Fabio,ITALY,TFR,25,64
63,10003401246,FUGLSANG Jakob,DENMARK,AST,30,64
64,10001449425,ALBASINI Michael,SWITZERLAND,OGE,35,62
65,10007500710,BONIFAZIO Niccolò,ITALY,LAM,22,60
66,10003038104,BAKELANTS Jan,BELGIUM,ALM,29,59
67,10001592400,CANCELLARA Fabian,SWITZERLAND,TFR,34,59
68,10001177522,ELMIGER Martin,SWITZERLAND,IAM,37,56
69,10004564337,CARUSO Damiano,ITALY,BMC,28,54
70,10006231525,TALANSKY Andrew,UNITED STATES OF AMERICA,TCG,27,54
71,10005894752,ROSA Diego,ITALY,AST,26,53
72,10005391261,VANMARCKE Sep,BELGIUM,TLJ,27,52
73,10006587694,FERNANDEZ Ruben,SPAIN,MOV,24,52
74,10004774202,TRENTIN Matteo,ITALY,EQS,26,50
75,10004505531,NAVARDAUSKAS Ramunas,LITHUANIA,TCG,27,50
76,10007170001,SLAGTER Tom-Jelte,NETHERLANDS,TCG,26,49
77,10004638196,VUILLERMOZ Alexis,FRANCE,ALM,27,49
78,10002916448,IMPEY Daryl,SOUTH AFRICA,OGE,31,49
79,10001397891,BOONEN Tom,BELGIUM,EQS,35,48
80,10004819466,DEBUSSCHERE Jens,BELGIUM,LTS,26,48
81,10002838747,TROFIMOV Iurii,RUSSIAN FEDERATION,KAT,31,48
82,10006919215,KEUKELEIRE Jens,BELGIUM,OGE,27,46
83,10006679543,JUNGELS Bob,LUXEMBOURG,TFR,23,46
84,10086252279,POELS Wouter,NETHERLANDS,SKY,28,46
85,10006045508,GENIEZ Alexandre,FRANCE,FDJ,27,44
86,10004613948,MODOLO Sacha,ITALY,LAM,28,43
87,10004632237,VALLS FERRI Rafael,SPAIN,LAM,28,41
88,10003216340,VANDENBERGH Stijn,BELGIUM,EQS,31,40
89,10001426284,SCARPONI Michele,ITALY,AST,36,40
90,10094809295,GRIVKO Andriy,UKRAINE,AST,32,40
91,10006916080,ATAPUMA HURTADO Jhon Darwin,COLOMBIA,BMC,27,40
92,10002858652,MARTIN Tony,GERMANY,EQS,30,40
93,10001457610,PLAZA Ruben,SPAIN,LAM,35,38
94,10002670514,BRESCHEL Matti,DENMARK,TCS,31,36
95,10003357901,IZAGIRRE INSAUSTI Gorka,SPAIN,MOV,28,36
96,10002670817,MONFORT Maxime,BELGIUM,LTS,32,36
97,10007856677,BARGUIL Warren,FRANCE,TGA,24,34
98,10006467052,DEMARE Arnaud,FRANCE,FDJ,24,33
99,10008622876,LAMPAERT Yves,BELGIUM,EQS,24,32
100,10028417041,CIMOLAI Davide,ITALY,LAM,26,32
101,10003204418,GESCHKE Simon,GERMANY,TGA,29,32
102,10009763436,LOPEZ MORENO Miguel Angel,COLOMBIA,AST,21,31
103,10001440230,ROGERS Michael,AUSTRALIA,TCS,36,31
104,10002263114,RIBLON Christophe,FRANCE,ALM,34,31
105,10002286049,SANCHEZ GONZALEZ Samuel,SPAIN,BMC,37,30
106,10003292324,CAVENDISH Mark,GREAT BRITAIN,EQS,30,30
107,10006914969,VAN POPPEL Danny,NETHERLANDS,TFR,22,29
108,10002527438,VAN DEN BROECK Jurgen,BELGIUM,LTS,32,28
109,10005502914,VIVIANI Elia,ITALY,SKY,26,28
110,10004641937,PANTANO GOMEZ Jarlinson,COLOMBIA,IAM,27,27
111,10007518591,FORMOLO Davide,ITALY,TCG,23,26
112,10005818162,BRAMBILLA Gianluca,ITALY,EQS,28,26
113,10002724872,ROCHE Nicolas,IRELAND,SKY,31,26
114,10003205630,KANGERT Tanel,ESTONIA,AST,28,24
115,10002071841,KIRYIENKA Vasil,BELARUS,SKY,34,24
116,10005457646,OLIVEIRA Nelson,PORTUGAL,LAM,26,24
117,10001545314,TIRALONGO Paolo,ITALY,AST,38,23
118,10003223919,ROUX Anthony,FRANCE,FDJ,28,22
119,10002695267,MORABITO Steve,SWITZERLAND,FDJ,32,21
120,10007809490,EWAN Caleb,AUSTRALIA,OGE,21,21
121,10005996200,ROWE Luke,GREAT BRITAIN,SKY,25,20
122,10003094280,DE MARCHI Alessandro,ITALY,BMC,29,20
123,10005390352,PELUCCHI Matteo,ITALY,IAM,26,20
124,10003002839,MOINARD Amael,FRANCE,BMC,33,18
125,10005961844,LINDEMAN Bert-Jan,NETHERLANDS,TLJ,26,18
126,10002910990,ROJAS José,SPAIN,MOV,30,17
127,10006823528,STUYVEN Jasper,BELGIUM,TFR,23,17
128,10050785746,POLANC Jan,SLOVENIA,LAM,23,16
129,10001427496,SCHLECK Fränk,LUXEMBOURG,TFR,35,16
130,10007743109,GOUGEARD Alexis,FRANCE,ALM,22,16
131,10003349312,BODNAR Maciej,POLAND,TCS,30,16
132,10002264023,KEISSE Iljo,BELGIUM,EQS,33,16
133,10003263022,OSS Daniel,ITALY,BMC,28,14
134,10003105600,VISCONTI Giovanni,ITALY,MOV,32,14
135,10001479333,CHAVANEL Sylvain,FRANCE,IAM,36,14
136,10051354511,LOBATO DEL VALLE Juan Jose,SPAIN,MOV,27,14
137,10005483110,MALORI Adriano,ITALY,MOV,27,13
138,10002986065,DRUCKER Jean-Pierre,LUXEMBOURG,BMC,29,12
139,10004798248,SINKELDAM Ramon,NETHERLANDS,TGA,26,10
140,10004439449,BAUER Jack,NEW ZEALAND,TCG,30,10
141,10005840188,JENSEN Christopher,DENMARK,TCS,26,10
142,10007559213,ELISSONDE Kenny,FRANCE,FDJ,24,10
143,10003078722,CHEREL Mikael,FRANCE,ALM,29,10
144,10004502400,KITTEL Marcel,GERMANY,TGA,27,10
145,10006291240,DURBRIDGE Luke,AUSTRALIA,OGE,24,10
146,10005560710,MEZGEC Luka,SLOVENIA,TGA,27,9
147,10002444784,SANCHEZ Luis Leon,SPAIN,AST,32,9
148,10001130335,ZUBELDIA AGIRRE Haimar,SPAIN,TFR,38,8
149,10006887687,KOSHEVOY Ilia,BELARUS,LAM,24,8
150,10006658426,CHERNETSKII Sergei,RUSSIAN FEDERATION,KAT,25,8
151,10002711435,HAUSSLER Heinrich,AUSTRALIA,IAM,31,8
152,10004519978,VAN EMDEN Jos,NETHERLANDS,TLJ,30,8
153,10003032949,CLARKE Simon,AUSTRALIA,OGE,29,8
154,10005966288,VAN DER SANDE Tosh,BELGIUM,LTS,25,8
155,10005587887,PUCCIO Salvatore,ITALY,SKY,26,8
156,10006288715,HOFLAND Moreno,NETHERLANDS,TLJ,24,8
157,10006444521,BENNETT George,NEW ZEALAND,TLJ,25,6
158,10002890378,CARDOSO André,PORTUGAL,TCG,31,6
159,10004880191,KENNAUGH Peter,GREAT BRITAIN,SKY,26,6
160,10003269688,ĐURASEK Kristijan,CROATIA,LAM,28,6
161,10002578160,GERRANS Simon,AUSTRALIA,OGE,35,6
162,10006877886,LUTSENKO Alexey,KAZAKHSTAN,AST,23,6
163,10001409009,QUINZIATO Manuel,ITALY,BMC,36,6
164,10006429565,ANACONA Winner Andrew,COLOMBIA,MOV,27,6
165,10006070867,LE BON Johan,FRANCE,FDJ,25,6
166,10007499494,KÜNG Stefan,SWITZERLAND,BMC,22,6
167,10006917494,REICHENBACH Sébastien,SWITZERLAND,IAM,26,6
168,10007381781,NIELSEN Magnus Cort,DENMARK,OGE,22,5
169,10005890712,PORSEV Alexander,RUSSIAN FEDERATION,KAT,29,5
170,10004521291,REZA Kevin,FRANCE,FDJ,27,5
171,10001573202,DUMOULIN Samuel,FRANCE,ALM,35,5
172,10005711462,VAN GENECHTEN Jonas,BELGIUM,IAM,29,5
173,10006118862,BOSWELL Ian,UNITED STATES OF AMERICA,SKY,24,4
174,10005964167,MOSER Moreno,ITALY,TCG,25,4
175,10003284543,GUARNIERI Jacopo,ITALY,KAT,28,4
176,10004828358,WESTRA Lieuwe,NETHERLANDS,AST,33,4
177,10005391564,BRÄNDLE Matthias,AUSTRIA,IAM,26,4
178,10006884455,VAN BAARLE Dylan,NETHERLANDS,TCG,23,4
179,10003301620,KLUGE Roger,GERMANY,IAM,29,4
180,10004643452,ARREDONDO MORENO Julian David,COLOMBIA,TFR,27,3
181,10002302015,LAGUTIN Sergey,RUSSIAN FEDERATION,KAT,34,2
182,10006885566,CRADDOCK G Lawson,UNITED STATES OF AMERICA,TGA,23,2
183,10001481555,BENNATI Daniele,ITALY,TCS,35,2
184,10002846528,MARANGONI Alan,ITALY,TCG,31,2
185,10005870605,TCATEVICH Aleksei,RUSSIAN FEDERATION,KAT,26,2
186,10002839151,MARTENS Paul,GERMANY,TLJ,32,2
187,10003038306,MAES Nikolas,BELGIUM,EQS,29,2
188,10007914170,VAN ASBROECK Tom,BELGIUM,TLJ,25,2
189,10003266658,SMUKULIS Gatis,LATVIA,KAT,28,2
190,10089627778,RICHEZE Maximiliano Ariel,ARGENTINA,LAM,32,2
191,10003205933,GRETSCH Patrick,GERMANY,ALM,28,2
192,10002931404,FLENS Rick,NETHERLANDS,TLJ,32,2
193,10007969744,VALLEE Boris,BELGIUM,LTS,22,2
194,10002836424,DANIELSON Thomas,UNITED STATES OF AMERICA,TCG,37,2
195,10003073769,BOUET Maxime,FRANCE,EQS,29,1
196,10004819264,VAN WINDEN Dennis,NETHERLANDS,TLJ,28,1
197,10008922364,SOLER Marc,SPAIN,MOV,22,1
198,10006720161,HOWSON Damien,AUSTRALIA,OGE,23,1
199,10003257059,COPPEL Jérôme,FRANCE,IAM,29,1
200,10004617180,CASTROVIEJO NICOLAS Jonathan,SPAIN,MOV,28,1
201,10003214522,TAARAMÄE Rein,ESTONIA,AST,28,1
202,10005345589,TURGOT Sébastien,FRANCE,ALM,31,1
203,10002751346,FERRARI Roberto,ITALY,LAM,32,1
204,10005768248,HAAS Nathan,AUSTRALIA,TCG,26,1
205,10003247359,MACHADO Tiago,PORTUGAL,KAT,30,1
206,10001399006,NOCENTINI Rinaldo,ITALY,ALM,38,1
207,10002314947,BRUTT Pavel,RUSSIAN FEDERATION,TCS,33,1
208,10006088348,BOECKMANS Kris,BELGIUM,LTS,28,1
209,10006494132,HALLER Marco,AUSTRIA,KAT,24,1
210,10002937464,BELKOV Maxim,RUSSIAN FEDERATION,KAT,30,1
211,10005503217,GUARDINI Andrea,ITALY,AST,26,1
212,10005977305,HERRADA Jesus,SPAIN,MOV,25,1
213,10001661108,POZZATO Filippo,ITALY,LAM,34,1
214,10002886540,MEERSMAN Gianni,BELGIUM,EQS,30,1
