Blabla;;;;
Date From;Date To;Name;Country;Class
30.03.2022;30.03.2022;Dwars door Vlaanderen - A travers la Flandre;BEL;1.Pro
03.04.2022;03.04.2022;Ronde van Vlaanderen - Tour des Flandres;BEL;1.WWT
06.04.2022;06.04.2022;Scheldeprijs vrouwen elite;BEL;1.1
08.04.2022;10.04.2022;The Princess Maha Chackri Sirindhorns Cup Womens Tour of Thailand;THA;2.1
10.04.2022;10.04.2022;Amstel Gold Race Ladies Edition;NED;1.WWT
13.04.2022;13.04.2022;De Brabantse Pijl - La Flèche Brabançonne;BEL;1.Pro
16.04.2022;16.04.2022;Paris-Roubaix Femmes;FRA;1.WWT
17.04.2022;17.04.2022;Grand Prix Féminin de Chambéry;FRA;1.1
18.04.2022;18.04.2022;Ronde de Mouscron;BEL;1.1
20.04.2022;20.04.2022;La Flèche Wallonne Féminine;BEL;1.WWT
23.04.2022;23.04.2022;EPZ Omloop van Borsele;NED;1.1
24.04.2022;24.04.2022;Liège-Bastogne-Liège Femmes;BEL;1.WWT
25.04.2022;25.04.2022;GRAN PREMIO DELLA LIBERAZIONE;ITA;1.2
27.04.2022;01.05.2022;Tour of the Gila;USA;2.2
28.04.2022;01.05.2022;Gracia;CZE;2.2
29.04.2022;01.05.2022;Ceratizit Festival Elsy Jacobs;LUX;2.Pro
30.04.2022;30.04.2022;Leiedal Koerse;BEL;1.2
03.05.2022;05.05.2022;Vuelta Ciclista Andalucia Ruta Del Sol;ESP;2.1
03.05.2022;07.05.2022;Bretagne Ladies Tour CERATIZIT;FRA;2.1
07.05.2022;07.05.2022;GP Eco-Struct;BEL;1.1
08.05.2022;08.05.2022;Gran Premio Ciudad de Eibar;ESP;1.1
10.05.2022;10.05.2022;Emakumeen Nafarroako Women's Elite Classics;ESP;1.1
11.05.2022;11.05.2022;Navarra Women's Elite Classics;ESP;1.1
11.05.2022;13.05.2022;Tour of Zhoushan Island (Shengsi Stage);CHN;2.2
13.05.2022;13.05.2022;La Classique Morbihan;FRA;1.1
13.05.2022;15.05.2022;Itzulia Women;ESP;2.WWT
14.05.2022;14.05.2022;Grand Prix du Morbihan Femmes;FRA;1.1
14.05.2022;14.05.2022;ZLM Omloop der Kempen Ladies;NED;1.2
17.05.2022;17.05.2022;Durango - Durango Emakumeen Saria;ESP;1.1
19.05.2022;22.05.2022;Joe Martin Stage Race;USA;2.2
19.05.2022;22.05.2022;Vuelta a Burgos Feminas;ESP;2.WWT
20.05.2022;20.05.2022;Veenendaal - Veenendaal Classic;NED;1.1
21.05.2022;21.05.2022;Grand Prix Kayseri Ladys;TUR;1.2
24.05.2022;29.05.2022;Internationale LOTTO Thüringen Ladies Tour;GER;2.Pro
27.05.2022;29.05.2022;RideLondon Classique;GBR;2.WWT
28.05.2022;28.05.2022;Grand Prix Erciyes Ladys;TUR;1.2
28.05.2022;28.05.2022;Ladies Tour of Estonia;EST;1.2
28.05.2022;28.05.2022;Kyiv Cup;UKR;1.2
29.05.2022;29.05.2022;Kyiv Green Race;UKR;1.2
04.06.2022;04.06.2022;Salverda Omloop van de IJsseldelta;NED;1.2
04.06.2022;04.06.2022;Grand Prix Velo Erciyes Ladys;TUR;1.2
