Road champ,Road day,Road month,Road year,Road winner,Clm champ,Clm day,Clm month,Clm year,Clm winner
Q934877,0,0,1958,Q452635,Q2630733,0,0,1994,Q519616
Q934877,0,0,1959,Q456282,Q2630733,0,0,1995,Q233834
Q934877,0,0,1960,Q117930,Q2630733,0,0,1996,Q233834
Q934877,0,0,1961,Q456282,Q2630733,0,0,1997,Q233834
Q934877,0,0,1962,Q1390311,Q2630733,0,0,1998,Q234158
Q934877,0,0,1963,Q456282,Q2630733,0,0,1999,Q234158
Q934877,0,0,1964,Q523639,Q2630733,0,0,2000,Q59797
Q934877,0,0,1965,Q104120,Q2630733,0,0,2001,Q233834
Q934877,0,0,1966,Q456282,Q2630733,0,0,2002,Q272543
Q934877,0,0,1967,Q117930,Q2630733,0,0,2003,Q272147
Q934877,0,0,1968,Q456559,Q2630733,0,0,2004,Q241718
Q934877,0,0,1969,Q515157,Q2630733,0,0,2005,Q241718
Q934877,0,0,1970,Q534802,Q2630733,0,0,2006,Q236193
Q934877,0,0,1971,Q534802,Q2630733,0,0,2007,Q267900
Q934877,0,0,1972,Q523707,Q2630733,0,0,2008,Q441239
Q934877,0,0,1973,Q1253272,Q2630733,0,0,2009,Q236193
Q934877,0,0,1974,Q523707,Q2630733,0,0,2010,Q239853
Q934877,0,0,1975,Q541017,Q2630733,0,0,2011,Q61161
Q934877,0,0,1976,Q456559,Q2630733,0,0,2012,Q61161
Q934877,0,0,1977,Q434238,Q2630733,0,0,2013,Q241961
Q934877,0,0,1978,Q194558,Q2630733,0,0,2014,Q91193
Q934877,0,0,1979,Q434243,Q2630733,0,0,2015,Q270555
Q934877,0,0,1980,Q198931,Q2630733,11,10,2016,Q441239
Q934877,0,0,1981,Q523056,Q2630733,19,9,2017,Q289826
Q934877,0,0,1982,Q449107,Q2630733,25,9,2018,Q289826
Q934877,0,0,1983,Q1896778,Q2630733,24,9,2019,Q23007713
Q934877,0,0,1985,Q233834,Q30894543,15,9,2016,Q241961
Q934877,0,0,1986,Q233834,Q30894543,3,8,2017,Q241961
Q934877,0,0,1987,Q233834,Q30894543,8,8,2018,Q241961
Q934877,0,0,1989,Q233834,Q30894543,8,8,2019,Q241961
Q934877,0,0,1990,Q433882,Q50063172,15,2,2018,Q25426372
Q934877,0,0,1991,Q234158,Q50063172,16,3,2019,Q50063346
Q934877,0,0,1993,Q234158,Q50062728,9,2,2018,Q22957584
Q934877,0,0,1994,Q434202,Q50062728,25,4,2019,Q266686
Q934877,0,0,1995,Q233834,Q54314912,23,3,2018,Q39270192
Q934877,0,0,1996,Q807464,Q54314912,15,3,2019,Q29050111
Q934877,0,0,1997,Q433663,Q31271381,5,5,2017,Q23007713
Q934877,0,0,1998,Q44125,Q31271381,3,5,2018,Q441239
Q934877,0,0,1999,Q117508,Q31271381,1,5,2019,Q24258287
Q934877,0,0,2000,Q274345,Q29043254,5,1,2017,Q17487582
Q934877,0,0,2001,Q60035,Q45084575,6,1,2017,Q517428
Q934877,0,0,2002,Q270797,Q31271499,3,2,2017,Q19559903
Q934877,0,0,2003,Q270797,Q30511620,17,6,2017,Q19518890
Q934877,0,0,2004,Q61161,Q30332699,23,6,2017,Q29184
Q934877,0,0,2005,Q76940,Q30456396,21,6,2017,Q453468
Q934877,0,0,2006,Q6242,Q30332806,22,6,2017,Q2870834
Q934877,0,0,2007,Q448984,Q29642128,22,6,2017,Q16208501
Q934877,0,0,2008,Q230996,Q30332486,9,6,2017,Q16223884
Q934877,0,0,2009,Q236488,Q30349411,24,6,2017,Q16223383
Q934877,0,0,2010,Q270397,Q30333018,23,6,2017,Q462480
Q934877,0,0,2011,Q270397,Q30349441,21,6,2017,Q290663
Q934877,0,0,2012,Q6242,Q30349371,22,6,2017,Q19968758
Q934877,0,0,2013,Q6242,Q30349507,24,6,2017,Q441239
Q934877,0,0,2014,Q462104,Q30349222,17,6,2017,Q18163011
Q934877,0,0,2015,Q254811,Q43288988,23,8,2017,Q19662223
Q934877,15,10,2016,Q17490498,Q31093255,23,6,2017,Q1905497
Q934877,23,9,2017,Q933927,Q43286663,26,6,2017,Q19518722
Q934877,29,9,2018,Q563737,Q31271615,22,6,2017,Q467209
Q934877,28,9,2019,Q289826,Q31096001,27,6,2017,Q16201761
Q30894544,17,9,2016,Q563737,Q43307035,24,2,2017,Q22957678
Q30894544,5,8,2017,Q6242,Q33081846,22,6,2017,Q21622034
Q30894544,5,8,2018,Q448984,Q31506358,22,6,2017,Q22957625
Q30894544,10,8,2019,Q277949,Q31271315,23,6,2017,Q18170653
Q50064341,17,2,2018,Q49590857,Q43745136,21,6,2017,Q16227316
Q50064341,19,3,2019,Q25426372,Q30332311,16,6,2017,Q11876258
Q54315111,24,3,2018,Q30675129,Q30349480,22,6,2017,Q23819567
Q54315111,16,3,2019,Q30675129,Q33082393,18,6,2017,Q27451948
Q50061750,11,2,2018,Q20984301,Q43775943,24,6,2017,Q19578352
Q50061750,27,4,2019,Q266686,Q32163348,23,6,2017,Q19605393
Q31271454,6,5,2017,Q7132097,Q33083817,22,6,2017,Q27517373
