Rank,UCI ID,Name,Nationality,Team Code,Age,Points
1,10003046790,CRAVEN Dan,NAMIBIA,RCR,26,123
2,10001465892,BALL Jamie,SOUTH AFRICA,HOP,30,123
3,10002345259,SMET Guy,BELGIUM,,37,92
4,10005416321,THOMSON Jay Robert,SOUTH AFRICA,MTN,23,89
5,10002721236,CARDOSO Filipe,PORTUGAL,LSE,25,87
6,10004432678,TEGUIMAHA Sadrak,CAMEROON,,29,79
7,10002916448,IMPEY Daryl,SOUTH AFRICA,BAR,25,78
8,10006636602,CALLEEUW Joeri,BELGIUM,JVB,24,77
9,10003163800,DYMOVSKIKH Alexandr,KAZAKHSTAN,,26,76
10,10006465436,ZAHBOUNE Hassan,MOROCCO,,25,75
11,10005416422,BROWN Arran,SOUTH AFRICA,,24,70
12,10016524942,HUNTER Robert,SOUTH AFRICA,BAR,32,70
13,10003063968,CLARKE David,GREAT BRITAIN,,30,69
14,10004507551,RABIE Johann,SOUTH AFRICA,NEO,22,61
15,10054386062,TEGA Martinien,CAMEROON,,35,60
16,10006636396,ROSTOLLAN Thomas,FRANCE,,23,56
17,10001129426,BARENYI Milan,SLOVAKIA,,35,50
18,10007124228,RAMOLUNGOA Makhashe,LESOTHO,,27,48
19,10006376823,ALSHARAA Faysals,LIBYA,,23,47
20,10001547637,WHITE Nicholas,SOUTH AFRICA,,35,46
21,10016254554,AHMED Amr,EGYPT,,23,46
22,10000918854,KIRSIPUU Jaan,ESTONIA,L2A,40,45
23,10004393676,FROOME Chris,GREAT BRITAIN,BAR,24,43
24,10001547334,JEZOWSKI Krzysztof,POLAND,CCC,34,43
25,10001389710,SAWADOGO Abdul Wahab,BURKINA FASO,,35,42
26,10006658830,DONNAY Laurent,BELGIUM,,21,41
27,10002111247,OUEDRAOGO Rabaki Jeremie,BURKINA FASO,,36,40
28,10002302722,CUMMINGS Stephen,GREAT BRITAIN,BAR,28,40
29,10001290282,GABROVSKI Ivaïlo**,BULGARIA,TKT,31,40
30,10006236272,SPRINGER Christoph,GERMANY,TKT,24,40
31,10001140742,LANGE Malcolm,SOUTH AFRICA,,36,40
32,10006392583,MADANI Abdelmalek,ALGERIA,DOT,26,40
33,10004545341,VAN HEERDEN Christoff,SOUTH AFRICA,MTN,24,38
34,10004841795,VIGLASKY Ivan,SLOVAKIA,,24,38
35,10004818355,CARDOSO Manuel,PORTUGAL,LSE,26,37
36,10005626990,TEKOU FOUKOU Damien,CAMEROON,,25,36
37,10006521212,MONESE Phetetso,LESOTHO,,25,35
38,10005424910,SHEKHONI Fadi,SYRIAN ARAB REPUBLIC,DOT,24,35
39,10003248066,BARLE Florent,FRANCE,,23,35
40,10002951410,SYNE Lionel,BELGIUM,,33,35
41,10001338176,LOUBSER Kosie,SOUTH AFRICA,KON,32,32
42,10002837636,MATYSIAK Bartlomiej,POLAND,CCC,25,30
43,10007985104,RUSSOM Meron,ERITREA,,22,30
44,10002879567,JELLOUL Adil,MOROCCO,,27,29
45,10001393144,GEORGE David,SOUTH AFRICA,MTN,33,27
46,10004433082,SANDA Joseph,CAMEROON,,24,27
47,10005670238,CHAABANE Hichem,ALGERIA,MTN,21,25
48,10005626889,DOUANLA Flaubert,CAMEROON,,36,24
49,10001107194,CARDENAS RAVELO Félix Rafael,COLOMBIA,BAR,37,24
50,10005323260,SHERIF Add Alla Mohamed Mohamed,EGYPT,,22,23
51,10007984696,KACHELHOFFER Hanco,SOUTH AFRICA,,24,22
52,10003401852,BEN HASSINE Aymen,TUNISIA,DOT,29,22
53,10061392900,DEBESAY Ferekalsi,ERITREA,,26,22
54,10005322856,TALL Saidou,BURKINA FASO,,31,21
55,10001499036,TAMOURIDIS Ioannis,GREECE,SPT,29,21
56,10001460842,GÜLER Mustafa,TURKEY,,34,20
57,10004508258,VENTER Jaco,SOUTH AFRICA,MPC,22,19
58,10003388617,HOFFMAN Nolan,SOUTH AFRICA,NEO,24,19
59,10004532611,REY Fabien,FRANCE,,28,19
60,10005653666,LAHSSAINI Mohssine,MOROCCO,,24,19
