Rank,Name,Team Code,Nationality,Points
1,MTN - QHUBEKA,MTN,SOUTH AFRICA,"332,67"
2,VELO CLUB SOVAC,VCS,ALGERIA,"291,68"
3,TEAM EUROPCAR,EUC,FRANCE,"240,67"
4,CHRISTINA WATCHES - ONFONE,CWO,DENMARK,234
5,GROUPEMENT SPORTIF PETROLIER ALGERIE,GSP,ALGERIA,225
6,TORKU SEKERSPOR,TRK,TURKEY,134
7,SP TABLEWARE,SPT,GREECE,108
8,DUKLA TRENCIN TREK,DUK,SLOVAKIA,80
9,BDC - MARCPOL TEAM,BDC,POLAND,55
10,LA POMME MARSEILLE,LPM,FRANCE,45
11,"COFIDIS, SOLUTIONS CREDITS",COF,FRANCE,45
12,EQUIPE GARNEAU - QUÉBECOR,GQC,CANADA,39
13,,,,34
14,START - TRIGON CYCLING TEAM,STF,PARAGUAY,12
15,MICHE VILLE D'ALGER,MVA,ALGERIA,8
16,RIETUMU - DELFIN,RBD,LATVIA,8
17,,,,6
18,TEAM NOVO NORDISK,TNN,UNITED STATES OF AMERICA,5
18,RAD-NET ROSE TEAM,RNR,GERMANY,5
20,RAPHA CONDOR JLT,RCJ,GREAT BRITAIN,2
20,VENTILAIR - STERIA CYCLING TEAM,JVC,BELGIUM,2
20,TEAM UKYO,UKO,JAPAN,2
