Rank;UCI ID;Name;Nationality;Team Code;Age;Points
1;10008686938;MRAOUNI Salaheddine;MOROCCO;;23;289
2;10005653666;LAHSSAINI Mohssine;MOROCCO;;30;271
3;10007863246;ABELOUACHE Essaid;MOROCCO;;27;240
4;10003248268;CHTIOUI Rafaa;TUNISIA;SKD;29;221
5;10007864155;DEBESAY Mekseb;ERITREA;BAI;24;219,67
6;10002618374;SAADOUNE Abdelati;MOROCCO;;39;181
7;10008659959;AIT EL ABDIA Anass;MOROCCO;;22;171
8;10008684918;MANSOURI Abderrahmane;ALGERIA;;20;156
9;10008952575;HADI Janvier;RWANDA;;24;144,33
10;10006392381;LAGAB Azzedine;ALGERIA;GSP;29;140
11;10004707110;HANNACHI Abdelbaset;ALGERIA;;30;139
12;10006392482;BAZ Nabil;ALGERIA;;28;135
13;10009060992;NSENGIMANA Jean Bosco;RWANDA;;23;127
14;10007457664;KRUGER Hendrik;SOUTH AFRICA;;24;122
15;10007755738;SABER Lahcen;MOROCCO;;25;116
16;10007524251;MEINTJES Louis;SOUTH AFRICA;MTN;23;115,67
17;10007370970;HADDI Soufiane;MOROCCO;SKD;24;112
18;10010635224;ER-RAFAI Mohamed;MOROCCO;;26;111
19;10009720390;GEBREZGABIHIER Amanuel;ERITREA;;21;106
20;10008002480;BARBARI Adil;ALGERIA;;22;106
21;10007763317;KAMZONG ABOSSOLO Clovis;CAMEROON;;24;101
22;10005591931;BELMOUKHTAR Abdelkader;ALGERIA;GSP;28;98
23;10003245339;MARCZYNSKI Tomasz;POLAND;TRK;31;93
24;10010844681;ARERUYA Joseph;RWANDA;;19;92
25;10005670238;CHAABANE Hichem;ALGERIA;;27;86
26;10003226141;JANSE VAN RENSBURG Jacques Willem;SOUTH AFRICA;MTN;28;80
27;10010005330;NZEKE Gérémie;CAMEROON;;25;79
28;10006392583;MADANI Abdelmalek;ALGERIA;GSP;32;78
29;10005656801;PALINI Andrea;ITALY;SKD;26;78
30;10054655945;MANCEBO PEREZ Francisco;SPAIN;SKD;39;77
31;10007361876;BUTLER Reynard;SOUTH AFRICA;;26;76
32;10009351790;EYOB Metkel;ERITREA;;22;76
33;10005416321;THOMSON Jay Robert;SOUTH AFRICA;MTN;29;74,67
34;10007240325;BERHANE Natnael;ERITREA;MTN;24;68,67
35;10003046790;CRAVEN Dan;NAMIBIA;EUC;32;67,67
36;10003210579;BERNAUDEAU Giovanni;FRANCE;EUC;32;62
