Rank;UCI ID;Name;Nationality;Team Code;Age;Points
1;10004451371;VAN AVERMAET Greg;BELGIUM;BMC;31;615
2;10007155752;ALAPHILIPPE Julian;FRANCE;EQS;24;570
3;10003401246;FUGLSANG Jakob;DENMARK;AST;31;475
4;10005380450;MAJKA Rafal;POLAND;TNK;27;435
5;10001592400;CANCELLARA Fabian;SWITZERLAND;TFS;35;360
6;10007597306;MORTON Lachlan;AUSTRALIA;JBC;24;326
7;10005889193;DENNIS Rohan;AUSTRALIA;BMC;26;295
8;10007501316;CARPENTER Robin;UNITED STATES OF AMERICA;HSD;24;277
9;10001497117;RODRIGUEZ OLIVER Joaquim;SPAIN;KAT;37;275
10;10004393676;FROOME Chris;GREAT BRITAIN;SKY;31;270
11;10006231525;TALANSKY Andrew;UNITED STATES OF AMERICA;CDT;28;265
12;10009484358;CAICEDO Jonathan;ECUADOR;SCQ;23;250
13;10007389259;DUMOULIN Tom;NETHERLANDS;TGA;26;250
14;10002726488;ROTH Ryan;CANADA;SPC;33;245
15;10008856888;MCCABE Travis;UNITED STATES OF AMERICA;HSD;27;240
16;10007497777;RAMIREZ CHACON Brayan Stiven;COLOMBIA;MOT;24;228
17;10006271234;ARU Fabio;ITALY;AST;26;225
18;10009340878;MONSALVE Yonnatta;BOLIVARIAN REPUBLIC OF VENEZUELA;;27;224
19;10008633889;HUFFMAN Evan;UNITED STATES OF AMERICA;RLY;26;212
20;10003127323;BRITTON Robert;CANADA;RLY;32;183
21;10073670874;COSTA Adrien;UNITED STATES OF AMERICA;AHB;19;175
22;10003299293;BOOKWALTER Brent;UNITED STATES OF AMERICA;BMC;32;175
23;10007524251;MEINTJES Louis;SOUTH AFRICA;LAM;24;175
24;10008856787;MARCOTTE Eric;UNITED STATES OF AMERICA;JAM;36;152
25;10004617180;CASTROVIEJO NICOLAS Jonathan;SPAIN;MOV;29;150
26;10004703672;ZEITS Andrey;KAZAKHSTAN;AST;30;150
27;10007889316;FRAYRE MOCTEZUMA Eder;MEXICO;;25;148
28;10003253221;THOMAS Geraint;GREAT BRITAIN;SKY;30;145
29;10007584471;PERRY Benjamin;CANADA;SPC;22;137
30;10005397224;CANOLA Marco;ITALY;UHC;28;133
31;10009373214;QUINTANA Dayer;COLOMBIA;MOV;24;132,25
32;10005513119;MOLLEMA Bauke;NETHERLANDS;TFS;30;129
33;10007897602;DANIEL Gregory;UNITED STATES OF AMERICA;AHB;22;128
34;10007211730;CATAFORD Alexander;CANADA;SPC;23;127
35;10050678137;RODRIGUEZ AGUILAR Jose;CHILE;;22;125
36;10006737238;PRADES REVERTER Eduard;SPAIN;CJR;29;125
37;10003205630;KANGERT Tanel;ESTONIA;AST;29;125
38;10061443824;CHAVARRÍA Joseph;COSTA RICA;;24;121
39;10059186451;RODAS OCHOA Manuel Oseas;GUATEMALA;;32;115
40;10002226940;LANGLOIS Bruno;CANADA;GQC;37;115
41;10006564860;SEPULVEDA Eduardo;ARGENTINA;FVC;25;115
42;10006916080;ATAPUMA HURTADO Jhon Darwin;COLOMBIA;BMC;28;115
43;10006893044;CASTILLO SOTO Ulises Alfredo;MEXICO;JBC;24;110
44;10003227353;BEYER Chad;UNITED STATES OF AMERICA;LRT;30;107
45;10006738854;QUINTANA Nairo;COLOMBIA;MOV;26;106,25
46;10009764648;VARGAS ALZATE Walter Alejandro;COLOMBIA;;24;100
47;10008880938;ROSAS Laureano;ARGENTINA;SEP;26;100
48;10006454524;SQUIRE Robert;UNITED STATES OF AMERICA;HSD;26;100
49;10003349312;BODNAR Maciej;POLAND;TNK;31;100
50;10003259685;COSTA Rui;PORTUGAL;LAM;30;100
51;10008814351;POWLESS Neilson;UNITED STATES OF AMERICA;AHB;20;96
52;10035480358;ACEVEDO CALLE Janier Alexis;COLOMBIA;JAM;31;96
