Rank,UCI ID,Name,Nationality,Team Code,Age,Points
1,10009584489,BERNAL GOMEZ Egan Arley,COLOMBIA,INS,22,"3346,75"
2,10006738854,QUINTANA Nairo,COLOMBIA,MOV,29,1830
3,10008648037,WOODS Michael,CANADA,EF1,33,1684
4,10009165672,CARAPAZ Richard,ECUADOR,MOV,26,1607
5,10009763436,LOPEZ MORENO Miguel Angel,COLOMBIA,AST,25,"1450,5"
6,10010985535,HIGUITA GARCIA Sergio Andres,COLOMBIA,EF1,22,"1307,5"
7,10008656828,GAVIRIA RENDON Fernando,COLOMBIA,UAD,25,834
8,10009226401,MARTINEZ POVEDA Daniel Felipe,COLOMBIA,EF1,23,"678,83"
9,10016277792,SOSA CUERVO Ivan Ramiro,COLOMBIA,INS,22,"668,5"
10,10009230441,HODEG CHAGUI Alvaro Jose,COLOMBIA,DQT,23,"594,63"
11,10004507753,VAN GARDEREN Tejay,UNITED STATES OF AMERICA,EF1,31,"575,5"
12,10004641836,URAN Rigoberto,COLOMBIA,EF1,32,"499,83"
13,10006916282,BETANCUR Carlos,COLOMBIA,MOV,30,492
14,10051994206,PICCOLI James,CANADA,ELV,28,471
15,10009720491,AULAR SANABRIA Orluis Alberto,BOLIVARIAN REPUBLIC OF VENEZUELA,MTR,23,451
16,10005634973,CHALAPUD GOMEZ Robinson Eduardo,COLOMBIA,MED,35,"337,86"
17,10089627778,RICHEZE Maximiliano Ariel,ARGENTINA,DQT,36,"328,95"
18,10009023711,PRADO JUAREZ Ignacio,MEXICO,CAS,26,327
19,10005965884,AVILA VANEGAS Edwin Alcibiades,COLOMBIA,ICA,30,327
20,10015092372,MCNULTY Brandon,UNITED STATES OF AMERICA,RLY,21,325
21,10007491717,DOMBROWSKI Joseph Lloyd,UNITED STATES OF AMERICA,EF1,28,324
22,10006429565,ANACONA Winner Andrew,COLOMBIA,MOV,31,321
23,10013400330,JURADO LOPEZ Christofer,PANAMA,TSG,24,315
24,10007587303,CHAVES RUBIO Jhoan Esteban,COLOMBIA,MTS,29,315
25,10008814351,POWLESS Neilson,UNITED STATES OF AMERICA,TJV,23,301
26,10010183263,RIVERA SERRANO Kevin,COSTA RICA,ANS,21,297
27,10010985636,MUÑOZ GIRALDO Daniel,COLOMBIA,ANS,23,295
28,10008834660,KUSS Sepp,UNITED STATES OF AMERICA,TJV,25,274
29,10009688967,CEPEDA Jefferson,ECUADOR,CJR,23,253
30,10006885566,CRADDOCK G Lawson,UNITED STATES OF AMERICA,EF1,27,"252,83"
31,10009382005,SWIRBUL Keegan,UNITED STATES OF AMERICA,FPC,24,252
32,10016007711,MONTENEGRO Santiago,ECUADOR,MTE,21,244
33,10009484358,CAICEDO Jonathan,ECUADOR,EF1,26,240
34,10005691658,HENAO MONTOYA Sergio Luis,COLOMBIA,UAD,32,222
35,10003246652,NAVARRETE Segundo,ECUADOR,,34,220
36,10008669053,DE VOS Adam,CANADA,RLY,26,217
37,10009405748,AGUIRRE CAIPA Hernan Ricardo,COLOMBIA,IPC,24,213
38,10050678137,RODRIGUEZ AGUILAR Jose,CHILE,,25,206
39,10059186451,RODAS OCHOA Manuel Oseas,GUATEMALA,,35,205
40,10006284368,CAMACHO BERNAL Julio Alexis,COLOMBIA,ECZ,29,200
41,10005475733,BOIVIN Guillaume,CANADA,ICA,30,196
42,10016009832,CEPEDA Jefferson,ECUADOR,,21,193
43,10006000240,HOULE Hugo,CANADA,AST,29,192
44,10015311028,GARRISON Ian,UNITED STATES OF AMERICA,HBA,21,188
45,10006003270,WARBASSE Lawrence,UNITED STATES OF AMERICA,ALM,29,187
46,10016094506,ZUKOWSKY Nickolas,CANADA,FPC,21,186
47,10003473994,AMADOR Andrey,COSTA RICA,MOV,33,182
48,10009037552,RESTREPO VALENCIA Jhonatan,COLOMBIA,,25,181
49,10007501316,CARPENTER Robin,UNITED STATES OF AMERICA,RLY,27,180
50,10009764850,QUIROZ AYALA Oscar Adalberto,COLOMBIA,CBS,25,174
51,10009565594,GOMEZ PEÑALOZA Bryan Steve,COLOMBIA,,25,170
52,10059187259,MONTERROSO Dorian Javier,GUATEMALA,,26,169
53,10061977728,GAMERO ZÚÑIGA Alonso Miguel,PERU,,27,168
54,10003034464,QUINTERO NOREÑA Carlos Julian,COLOMBIA,NLC,33,"164,43"
55,10006564860,SEPULVEDA Eduardo,ARGENTINA,MOV,28,157
56,10016212118,QUINTEROS Alexis,ECUADOR,MTE,22,156
57,10007584471,PERRY Benjamin,CANADA,ICA,25,155
58,10009794960,MURPHY Kyle,UNITED STATES OF AMERICA,RLY,28,153
59,10009637235,NARVAEZ PRADO Jhonatan Manuel,ECUADOR,INS,22,"150,5"
60,10003127323,BRITTON Robert,CANADA,RLY,35,150
61,10010985939,SIERRA SANCHEZ Yecid Arturo,COLOMBIA,TYD,25,148
62,10010179324,TEJADA CANACUE Harold Alfonso,COLOMBIA,MED,22,147
63,10008642276,BASSETT Stephen,UNITED STATES OF AMERICA,WGC,24,142
64,10008856888,MCCABE Travis,UNITED STATES OF AMERICA,FPC,30,138
65,10009435050,ALARCON CARES Pablo Andrés,CHILE,CAS,31,137
66,10004759650,HOWES Alex,UNITED STATES OF AMERICA,EF1,31,"131,33"
67,10008880433,NAVARRO CALLE Royner,PERU,,27,130
68,10004599602,STETINA Peter,UNITED STATES OF AMERICA,TFS,32,126
69,10007164644,OYOLA OYOLA Robigzon Leandro,COLOMBIA,MED,31,"124,86"
70,10061904269,SALAS SANCHEZ Brian Alonso,COSTA RICA,,28,124
71,10009730494,SANTOS MORENO Efren,MEXICO,CAS,27,123
72,10007881333,HAGA Chad,UNITED STATES OF AMERICA,SUN,31,"121,45"
73,10009764648,VARGAS ALZATE Walter Alejandro,COLOMBIA,MED,27,"118,86"
74,10008862750,RIVERA VARGAS Brandon Smith,COLOMBIA,GWS,23,116
75,10003246955,GUAMA Bayron,ECUADOR,MTE,34,115
76,10003299293,BOOKWALTER Brent,UNITED STATES OF AMERICA,MTS,35,"110,57"
77,10009675328,JARA RODRIGUEZ Daniel,COSTA RICA,,22,110
78,10007124733,DO NASCIMENTO Rodrigo,BRAZIL,SFS,34,110
79,10009574486,RIOS ROSALES Brayan,GUATEMALA,,27,108
80,10009373214,QUINTANA Dayer,COLOMBIA,NSK,27,107
81,10006002967,ROSSKOPF Joseph,UNITED STATES OF AMERICA,CCC,30,107
82,10050678339,FERREYRA GELDREZ Diego,CHILE,,22,106
83,10008656424,PAREDES AVELLANEDA Cesar Nicolas,COLOMBIA,MED,27,106
84,10007633981,MONTOYA GIRALDO Cristhian,COLOMBIA,MED,30,"104,86"
85,10074893478,MOREIRA Mauricio,URUGUAY,CJR,24,104
86,10009671789,VILLEGAS Jesus,BOLIVARIAN REPUBLIC OF VENEZUELA,,22,103
87,10009349972,RHIM Brendan,UNITED STATES OF AMERICA,AHB,24,101
88,10010197209,ZUCCO SCHIZZI Vitor,BRAZIL,,22,101
89,10058674169,NYSTROM SPENCER Felipe Timoteo,COSTA RICA,,36,100
90,10009227613,OSORIO ARBOLEDA Juan Felipe,COLOMBIA,UIO,24,100
91,10003120047,MILAN JIMENEZ Diego,DOMINICAN REPUBLIC,DCT,34,96
92,10007748563,MUDARRA SEGURA Pablo Luis,COSTA RICA,,28,96
93,10010828416,HARO Wilson,ECUADOR,MTE,21,95
94,10009873065,CAÑAVERAL VARGAS Johnatan,COLOMBIA,CBS,23,94
95,10006264261,GALVIZ Carlos,BOLIVARIAN REPUBLIC OF VENEZUELA,,31,93
96,10007388855,DA ROSA Cristian Egidio,BRAZIL,SFS,32,93
97,10009360783,CONTRERAS PINZON Rodrigo,COLOMBIA,AST,25,91
98,10035195725,GARCIA SUSA Jhojan Orlando,COLOMBIA,MED,21,88
99,10010095357,BONILLA QUIROS Daniel Andres,COSTA RICA,,26,88
100,10074893377,SOTO MARTINEZ Nelson,COLOMBIA,CJR,25,"87,31"
101,10053800022,ISLAS LOPEZ Fernando,MEXICO,,20,85
102,10035515926,MOLANO BENAVIDES Julian David,COLOMBIA,ECZ,22,85
103,10053538728,GUIMARAES Alessandro,BRAZIL,SFS,24,82
104,10014506736,SAMUDIO CARRERA Carlos,PANAMA,,22,81
105,10004522305,NAZARET Magno,BRAZIL,SEP,33,80
106,10058573533,LÓPEZ Luis,HONDURAS,,22,80
107,10061057743,ROJAS DAVIS Mainor Gerardo,COSTA RICA,,29,80
108,10008671477,ELLSAY Nigel,CANADA,RLY,25,78
109,10059187158,AJPACAJA TAX Alfredo Esteban,GUATEMALA,,30,76
110,10010204784,SIMPSON George,UNITED STATES OF AMERICA,ELV,26,76
111,10093164238,SULVARAN Gyasi,CURACAO,,25,75
112,10050386834,ROJAS CAMPOS Gabriel Francisco,COSTA RICA,AEV,19,75
113,10007725931,PADILLA MIRANDA Julio,GUATEMALA,,27,75
114,10057336175,RUBIO REYES Einer Augusto,COLOMBIA,,21,75
115,10035270392,ORDOÑEZ CARMONA Santiago,COLOMBIA,,22,75
116,10006893044,CASTILLO SOTO Ulises Alfredo,MEXICO,ELV,27,73
117,10010178415,VILLALOBOS HERNANDEZ Luis Ricardo,MEXICO,EF1,21,73
118,10027697524,SALINAS DUQUE Jhonathan,BOLIVARIAN REPUBLIC OF VENEZUELA,,29,73
119,10006271335,MANNION Gavin,UNITED STATES OF AMERICA,RLY,28,71
120,10048940221,ZIMMER Matthew,UNITED STATES OF AMERICA,DCB,26,70
121,10007426039,CARTIER Alexis,CANADA,,28,70
122,10012493479,HOEHN Alex,UNITED STATES OF AMERICA,AEV,22,69
123,10008697648,TIVANI PEREZ German Nicolas,ARGENTINA,AVF,24,69
124,10007996824,HENAO GOMEZ Sebastian,COLOMBIA,INS,26,"68,5"
125,10063691190,ORELLANA Alfonso Vladimir,EL SALVADOR,,41,65
126,10082273865,CASTEL BLANCO MORALES Jorge,PANAMA,,31,65
127,10009636528,GOHR Andre Eduardo,BRAZIL,,23,65
128,10048838268,VELASCO CEVALLOS Henry,ECUADOR,,27,65
129,10060120479,AUTRAN CARRILLO Jose,CHILE,STF,20,65
130,10005487554,KING Benjamin,UNITED STATES OF AMERICA,TDD,30,65
131,10007491818,MAGNER Tyler,UNITED STATES OF AMERICA,RLY,28,64
132,10006916080,ATAPUMA HURTADO Jhon Darwin,COLOMBIA,COF,31,64
133,10004555849,ARIAS PEREZ Yans Carlos,CUBA,,34,63
134,10008919031,SEQUERA Pedro,BOLIVARIAN REPUBLIC OF VENEZUELA,,28,63
135,10050084316,NARANJO SANCHEZ Nicolas Javier,ARGENTINA,AVF,29,63
136,10009340878,MONSALVE Yonnatta,BOLIVARIAN REPUBLIC OF VENEZUELA,TYD,30,63
137,10049192825,VILLALOBOS SOLIS Roman Daniel,COSTA RICA,,29,62
138,10002480655,SERPA PEREZ Jose Rodolfo,COLOMBIA,GWS,40,61
139,10084293081,LINO Gian,BELIZE,,19,60
140,10053696453,CABRERA FREDES Nicolas,CHILE,,22,60
141,10013631918,COSTA CORREIA Alex Fábio,BRAZIL,,37,60
142,10009756564,CALA CALA Aristobulo,COLOMBIA,CBS,29,60
143,10010116272,CONTTE Tomas,ARGENTINA,,21,60
144,10058962947,VASQUEZ VASQUEZ Juan Mardoqueo,GUATEMALA,,24,59
145,10007895376,JOYCE Colin,UNITED STATES OF AMERICA,RLY,25,59
146,10009667042,RAMOS Rubén Gabriel,ARGENTINA,,27,59
147,10004555647,PORTUONDO TORRES Pedro,CUBA,,34,58
148,10007528796,OCHOA CAMARGO Diego Antonio,COLOMBIA,,26,58
149,10011462653,GARCÍA Geovanny,DOMINICAN REPUBLIC,,29,57
150,10009588533,ROBERGE Adam,CANADA,ELV,22,57
151,10011149021,MENDOZA RAMOS Bryan Fernando,EL SALVADOR,,21,55
152,10050439273,VERMAERKE Kevin,UNITED STATES OF AMERICA,HBA,19,55
153,10008687140,MUÑOZ PEREZ William David,COLOMBIA,CBS,25,55
154,10010984020,FLOREZ LOPEZ Miguel Eduardo,COLOMBIA,ANS,23,55
155,10010581165,NODARSE FERNANDEZ Felix,CUBA,,30,53
156,10015373874,JULAJUJ Alex,GUATEMALA,,21,53
157,10015853117,PIPER Cameron,UNITED STATES OF AMERICA,ILU,28,52
158,10005453808,SANCHEZ GUARIN Oscar Eduardo,COLOMBIA,CAS,34,52
159,10005876766,BRICENO Jimmi,BOLIVARIAN REPUBLIC OF VENEZUELA,,33,51
160,10008931357,MAYHO Dominique,BERMUDA,,26,50
161,10056423971,GONZÁLEZ RIVERA Abner,PUERTO RICO,DCT,19,50
162,10009704933,VÁSQUEZ Ron,BELIZE,,33,50
163,10062905894,DE JESUS RAMIREZ Andy Alberto,DOMINICAN REPUBLIC,,21,50
164,10059475431,BAILEY Zefal,SAINT VINCENT AND THE GRENADINES,,23,50
165,10014571404,MENESES Henry,BOLIVARIAN REPUBLIC OF VENEZUELA,,25,50
166,10006512825,LARIOS CHAMORRO Manuel Alberto,COSTA RICA,,32,50
167,10004714685,MONTENEGRO Jorge,ECUADOR,,21,50
168,10062141315,QUISPE COLQUE Alaín Rossbel,PERU,,25,50
169,10009360985,HAIDET Lance,UNITED STATES OF AMERICA,AEV,22,48
170,10077803781,LORENZO Randish Abdul,PANAMA,,22,48
171,10008877605,VEGA SOLANO Jeison Elias,COSTA RICA,,27,48
172,10008919738,TORRES Alder,GUATEMALA,,29,47
173,10010682815,BURTNIK Evan,CANADA,XSU,22,46
174,10074399182,RAMIREZ Yurgen,BOLIVARIAN REPUBLIC OF VENEZUELA,,21,46
175,10053833768,HOPKINS Kaden Luke,BERMUDA,,19,45
176,10093487671,LEROY Phillippe,BRITISH VIRGIN ISLANDS,,59,45
177,10055637463,POLANCO ELENA Steven Manuel,DOMINICAN REPUBLIC,,19,45
178,10035409226,ARDILA ORDOÑEZ Andres Camilo,COLOMBIA,,20,45
179,10059235658,WHITE Conor,BERMUDA,,20,45
180,10005876665,BRICEÑO Ralph,BOLIVARIAN REPUBLIC OF VENEZUELA,,32,43
181,10076567841,COTE Pier Andre,CANADA,RLY,22,42
182,10015956783,JORGENSON Matteo,UNITED STATES OF AMERICA,,20,"41,4"
183,10059186350,YAC YAC Julian Noe,GUATEMALA,,34,41
184,10004658812,ANDRIATO Rafael,BRAZIL,SFS,32,41
185,10085378976,SAWYER Lorin,BAHAMAS,,27,40
186,10050237896,RUIZ OMAR,BOLIVARIAN REPUBLIC OF VENEZUELA,,19,40
