Rank,Name,Team Code,Nationality,Points
1,TEAM MEDELLIN,MED,COLOMBIA,277
2,RALLY CYCLING,RLY,UNITED STATES OF AMERICA,257
3,CANEL'S PRO CYCLING,CAS,MEXICO,173
4,HAGENS BERMAN AXEON,HBA,UNITED STATES OF AMERICA,144
5,ELEVATE - WEBIPLEX PRO CYCLING,ELV,UNITED STATES OF AMERICA,135
6,COLOMBIA TIERRA DE ATLETAS GW BICICLETAS,CTA,COLOMBIA,113
7,TEAM NOVO NORDISK,TNN,UNITED STATES OF AMERICA,95
8,BEST PC ECUADOR,BES,ECUADOR,89
9,GIOS - KIWI ATLANTICO,GIO,BOLIVARIAN REPUBLIC OF VENEZUELA,86
10,EPM - SCOTT,EPM,COLOMBIA,60
11,AGRUPACIÓN VIRGEN DE FATIMA - SADDLEDRUNK,AVF,ARGENTINA,45
12,Wildlife Generation Pro Cycling,WGC,UNITED STATES OF AMERICA,36
13,SINDICATO DE EMPLEADOS PUBLICOS DE SAN JUAN,SEP,ARGENTINA,35
14,EQUIPO CONTINENTAL MUNICIPALIDAD DE POCITO,EMP,ARGENTINA,35
15,XSPEED UNITED CONTINENTAL,XSU,CANADA,20
16,CRISA - SEEI PRO CYCLING TEAM,CRS,MEXICO,14
17,Aevolo,AEV,UNITED STATES OF AMERICA,13
18,TRANSPORTE PUERTAS DE CUYO,TPC,ARGENTINA,5
19,EQUIPO CONTINENTAL ORGULLO PAISA,EOP,COLOMBIA,5
20,EQUIPO CONTINENTAL SUPERGIROS,ECS,COLOMBIA,3
21,EQUIPO CONTINENTAL SAN LUIS,CSL,ARGENTINA,3
