Rank,UCI ID,Name,Nationality,Team Code,Age,Points,
1,10004643452,ARREDONDO MORENO Julian David,COLOMBIA,PPO,25,343,
2,10002510563,KAŇKOVSKÝ Alois,CZECH REPUBLIC,ADP,30,288,
3,10001198134,MIZBANI IRANAGH Ghader,ISLAMIC REPUBLIC OF IRAN,TPT,38,276,
4,10007166866,POURSEYEDIGOLAKHOUR Mirsamad,ISLAMIC REPUBLIC OF IRAN,TPT,28,269,
5,10003382149,GIRAUD Benjamin,FRANCE,LPM,27,245,
6,10006278207,CHOI Ki Ho,HONG KONG, CHINA,,22,243
7,10001148422,KADLEC Milan,CZECH REPUBLIC,ADP,36,202,
8,10005961137,POZDNYAKOV Kirill,RUSSIAN FEDERATION,BCP,24,200,
9,10002301914,KHALMURATOV Muradjan,UZBEKISTAN,RTS,31,186,
10,10001271286,BALIANI Fortunato,ITALY,PPO,39,172,
11,10006278106,CHEUNG King Lok,HONG KONG, CHINA,,22,170
12,10004613948,MODOLO Sacha,ITALY,BAR,26,148,
13,10002520869,SULZBERGER Bernard,AUSTRALIA,DPC,30,134,
14,10007803733,KOLAHDOZ HAGH Amir,ISLAMIC REPUBLIC OF IRAN,TPT,20,123,
15,10001655347,CHICCHI Francesco,ITALY,VIN,33,113,
16,10005760063,ROGERS Rico Dene Thomas,NEW ZEALAND,BCP,35,111,
17,10001157213,MIZUROV Andrey,KAZAKHSTAN,TRK,40,107,
18,10008726748,KLEMME Daniel,GERMANY,LET,22,106,
19,10004842001,LOH Sea Keong,MALAYSIA,TSI,27,100,
20,10007264876,KHADEMI Ali,ISLAMIC REPUBLIC OF IRAN,AYA,21,100,
21,10006088550,NEPOMNYACHSHIY Yevgeniy,KAZAKHSTAN,AS2,26,94,
22,10004874232,SALEH Mohd Harrif,MALAYSIA,TSG,25,92,
23,10006500701,FOMINYKH Daniil,KAZAKHSTAN,AS2,22,91,
24,10005776433,EARLE Nathan,AUSTRALIA,HGP,25,91,
25,10005595264,LEBAS Thomas,FRANCE,BGT,28,86,
26,10079277676,MOAZAMI GODARZI Arvin,ISLAMIC REPUBLIC OF IRAN,AYA,23,86,
27,10007807672,GRMAY Tsgabu Gebremaryam,ETHIOPIA,MTN,22,85,
28,10005747737,KRASNOV Leonid,RUSSIAN FEDERATION,RVL,25,82,
29,10004556253,ARASHIRO Yukiya,JAPAN,EUC,29,80,
30,10002526933,ZABALLA GUTIERREZ Constantino,SPAIN,CWO,35,78,
31,10006718545,WANG Meiyin,PEOPLE'S REPUBLIC OF CHINA,HEN,25,77,
32,10002293224,SHIMIZU Miyataka,JAPAN,BGT,32,76,
33,10002647676,GOESINNEN Floris,NETHERLANDS,DPC,30,76,
34,10021507510,TORIBIO ALCOLEA Jose Vicente,SPAIN,UKO,28,75,
35,10004527759,MANAN Anuar,MALAYSIA,BCP,27,75,
36,10002931303,MONIER Damien,FRANCE,BGT,31,73,
37,10006406832,OTHMAN Muhamad Adiq Husainie,MALAYSIA,CSS,22,70,25
38,10006469577,KEOUGH Jacobe,UNITED STATES OF AMERICA,UHC,26,67,
39,10006895064,COQUARD Bryan,FRANCE,EUC,21,63,
40,10003046487,PARK Sungbaek,KOREA,KSP,28,61,
41,10003094381,NISHITANI Taiji,JAPAN,AIS,32,60,
42,10006137858,MAT AMIN Mohd Shahrul,MALAYSIA,TSG,24,59,
43,10007172324,JUNG Jimin,KOREA,KSP,22,59,
44,10008856585,MCCANN David,IRELAND,,40,59,
45,10005566366,HUANG En,PEOPLE'S REPUBLIC OF CHINA,MSS,25,57,
46,10001414059,WACKER Eugen,KYRGYZSTAN,TYD,39,56,
47,10004703773,RENEV Sergey,KAZAKHSTAN,AS2,28,56,
48,10007909625,KULIMBETOV Nurbolat,KAZAKHSTAN,AS2,21,56,
49,10006408145,MAT SENAN Mohammad Saufi,MALAYSIA,TSG,23,56,
50,10007208090,MARZUKI Nur Amirul Fakhruddin,MALAYSIA,TSG,21,54,
51,10005913344,IPARRAGIRRE AZPIAZU Unai,SPAIN,EUK,25,54,
52,10004833513,PEETERS Kevin,BELGIUM,CRE,26,54,
52,10006882334,STALLAERT Joeri,BELGIUM,CRE,22,54,
54,10004556455,NAKAJIMA Yasuharu,JAPAN,AIS,29,52,
55,10007966411,EBSEN John,DENMARK,BCP,25,52,
56,10001199144,ASKARI Hossein,ISLAMIC REPUBLIC OF IRAN,TPT,38,52,
57,10002467420,FURLAN Angelo,ITALY,CWO,36,51,
58,10002084268,ZARGARI Amir,ISLAMIC REPUBLIC OF IRAN,RTS,33,50,
59,10075106575,PUJOL MUÑOZ Oscar,SPAIN,PSN,30,50,
60,10004509369,BRAMBILLA Giorgio,ITALY,ARH,25,50,
61,10007151409,CUMING Michael,GREAT BRITAIN,RCJ,23,48,5
62,10054282089,YEUNG Ronald,HONG KONG, CHINA,,25,48
63,10004860892,FITRIANTO Hari,INDONESIA,CCN,28,47,
64,10002928471,PARDILLA BELLON Sergio,SPAIN,MTN,29,47,
65,10002227445,SOHRABI Mehdi,ISLAMIC REPUBLIC OF IRAN,TPT,32,46,
66,10009196287,EL HAJJ Hassan,LEBANON,,22,45,
67,10003333144,NEDERLOF Lex,NETHERLANDS,CCN,47,45,
68,10009060285,CAHYADI Aiman,INDONESIA,,20,43,
69,10006919316,GONÇALVES José,PORTUGAL,LPM,24,43,
70,10004656990,HATANAKA Yusuke,JAPAN,SMN,28,42,
71,10002410432,COENEN Johan,BELGIUM,CCD,34,42,
72,10002523495,DOI Yukihiro,JAPAN,UKO,30,41,
