Rank,UCI ID,Name,Nationality,Team Code,Age,Points
1,10003292324,CAVENDISH Mark,GREAT BRITAIN,DDD,31,800
2,10005460373,SAGAN Peter,SLOVAKIA,TNK,26,600
3,10005876160,NIZZOLO Giacomo,ITALY,TFS,27,488
4,10019821326,BOASSON-HAGEN Edvald,NORWAY,DDD,29,455
5,10003269183,KRISTOFF Alexander,NORWAY,KAT,29,425
6,10001397891,BOONEN Tom,BELGIUM,EQS,36,400
7,10006278106,CHEUNG King Lok,"HONG KONG, CHINA",OBE,25,365
8,10002858652,MARTIN Tony,GERMANY,EQS,31,350
9,10002837838,NIBALI Vincenzo,ITALY,AST,32,343
10,10007166866,POURSEYEDI Mir Samad,ISLAMIC REPUBLIC OF IRAN,TST,31,333
11,10006291947,MATTHEWS Michael,AUSTRALIA,OBE,26,330
12,10075106575,PUJOL MUÑOZ Oscar,SPAIN,UKO,33,278
13,10004556253,ARASHIRO Yukiya,JAPAN,LAM,32,269
14,10079277676,MOAZAMI GODARZI Arvin,ISLAMIC REPUBLIC OF IRAN,PKY,26,260
15,10004451371,VAN AVERMAET Greg,BELGIUM,BMC,31,258
16,10002071841,KIRYIENKA Vasil,BELARUS,SKY,35,250
17,10004502400,KITTEL Marcel,GERMANY,EQS,28,245
18,10008972884,MARECZKO Jakub,ITALY,WIL,22,240
19,10007803733,KOLAHDOZ HAGH Amir,ISLAMIC REPUBLIC OF IRAN,PKY,23,237
20,10004738533,LAGKUTI Sergiy,UKRAINE,KLS,31,230
21,10003205630,KANGERT Tanel,ESTONIA,AST,29,225
22,10006282247,JANSE VAN RENSBURG Reinardt,SOUTH AFRICA,DDD,27,225
23,10004509268,BENFATTO Marco,ITALY,AND,28,223
24,10009816077,GIDICH Yevgeniy,KAZAKHSTAN,V4E,20,208
25,10001198134,MIZBANI IRANAGH Ghader,ISLAMIC REPUBLIC OF IRAN,TST,41,204
26,10008700880,VILLELLA Davide,ITALY,CDT,25,200
27,10010023316,HALVORSEN Kristoffer,NORWAY,TJB,20,200
28,10004617180,CASTROVIEJO NICOLAS Jonathan,SPAIN,MOV,29,200
29,10007419470,EMAMI Rahim,ISLAMIC REPUBLIC OF IRAN,PKY,34,197
30,10003260190,BUTS Vitaliy,UKRAINE,KLS,30,195
31,10075106676,PRADES REVERTE Benjami,SPAIN,UKO,33,194
32,10054655945,MANCEBO PEREZ Francisco,SPAIN,SKD,40,190
33,10006481095,JARAMILLO DIEZ Daniel Alexander,COLOMBIA,UHC,25,183
34,10002070023,MUGERLI Matej,SLOVENIA,BCP,35,170
35,10006491708,BARDET Romain,FRANCE,ALM,26,165
36,10002724872,ROCHE Nicolas,IRELAND,SKY,32,160
37,10003349312,BODNAR Maciej,POLAND,TNK,31,160
38,10004556960,MASUDA Nariyuki,JAPAN,BLZ,33,157
39,10001198538,KAZEMI SARAI Ahad,ISLAMIC REPUBLIC OF IRAN,TST,41,157
40,10009763436,LOPEZ MORENO Miguel Angel,COLOMBIA,AST,22,155
41,10005905563,GONG Hyosuk,KOREA,KSP,30,153
42,10002523596,BEPPU Fumiyuki,JAPAN,TFS,33,153
43,10007219309,BIZHIGITOV Zhandos,KAZAKHSTAN,V4E,25,152
44,10005840188,JENSEN Christopher,DENMARK,OBE,27,150
45,10007738055,ACKERMANN Pascal,GERMANY,RNR,22,150
46,10009910350,PARK Sanghong,KOREA,LXC,27,150
47,10002261700,BONNET William,FRANCE,FDJ,34,150
48,10009392008,BONUSI Raffaello,ITALY,,24,148
49,10051354511,LOBATO DEL VALLE Juan Jose,SPAIN,MOV,28,145
50,10004599396,KONONENKO Mykhaylo,UKRAINE,KLS,29,145
51,10006445834,HUCKER Robbie,AUSTRALIA,AIW,26,144
52,10004451775,MEGIAS LEAL Javier,SPAIN,TNN,33,140
53,10007389259,DUMOULIN Tom,NETHERLANDS,TGA,26,140
54,10002833188,BOLE Grega,SLOVENIA,NIP,31,136
55,10009524976,WHITEHOUSE Daniel,GREAT BRITAIN,TSG,21,131
56,10007751694,MATHIS Marco,GERMANY,RNR,22,130
57,10006734814,GARCIA Ricardo,SPAIN,KIN,28,130
58,10003401246,FUGLSANG Jakob,DENMARK,AST,31,130
59,10006877886,LUTSENKO Alexey,KAZAKHSTAN,AST,24,125
60,10009492139,POWER Rob,AUSTRALIA,OBE,21,125
61,10005467952,ULISSI Diego,ITALY,LAM,27,125
62,10008635408,MULLEN Ryan,IRELAND,CDT,22,125
63,10002836626,TERPSTRA Niki,NETHERLANDS,EQS,32,125
64,10104253156,QUINZIATO Manuel,ITALY,BMC,37,120
65,10006828174,HANSEN Jesper,DENMARK,TNK,26,120
66,10005503217,GUARDINI Andrea,ITALY,AST,27,120
67,10004488959,SHUSHEMOIN Alexandr,KAZAKHSTAN,V4E,29,116
68,10002227445,SOHRABI Mehdi,ISLAMIC REPUBLIC OF IRAN,TST,35,114
69,10006718545,WANG Meiyin,PEOPLE'S REPUBLIC OF CHINA,HEN,28,113
70,10006003876,CECCHIN Alberto,ITALY,ROT,27,110
71,10005601429,FENG Chun Kai,CHINESE TAIPEI,LAM,28,110
72,10005502914,VIVIANI Elia,ITALY,SKY,27,110
73,10009380486,JUNG Hajeon,KOREA,SCT,21,106
74,10005573541,GARCIA FERNANDEZ Marcos,SPAIN,KIN,30,105
75,10005865248,DILLIER Silvan,SWITZERLAND,BMC,26,105
76,10004599400,VASYLYUK Andriy,UKRAINE,KLS,29,105
77,10008854868,STACCHIOTTI Riccardo,ITALY,NIP,25,102
78,10006521616,BAASANKHUU Myagmarsuren,MONGOLIA,,25,100
79,10002817933,MORI Manuele,ITALY,LAM,36,100
80,10008662484,BAUHAUS Phil,GERMANY,BOA,22,100
81,10003259685,COSTA Rui,PORTUGAL,LAM,30,100
82,10005889193,DENNIS Rohan,AUSTRALIA,BMC,26,100
83,10011208231,VINGEGAARD Jonas,DENMARK,TCQ,20,95
84,10008710580,KIM Okcheol,KOREA,SCT,22,95
85,10003284543,GUARNIERI Jacopo,ITALY,KAT,29,95
86,10007633274,NISHIZONO Ryota,JAPAN,BGT,29,91
87,10003326070,CRAWFORD Jai,AUSTRALIA,KIN,33,91
88,10008685322,MARINI Nicolas,ITALY,NIP,23,91
89,10006406630,CHOE Hyeongmin,KOREA,GIC,26,89
90,10009139303,MUDGWAY Luke,NEW ZEALAND,AIW,20,89
91,10008693810,SCHACHMANN Maximilian,GERMANY,KLC,22,85
92,10002926552,FINETTO Mauro,ITALY,UNI,31,85
93,10010653513,GANJKHANLOU Mohammad,ISLAMIC REPUBLIC OF IRAN,PKY,19,85
94,10051842945,CONTADOR VELASCO Alberto,SPAIN,TNK,34,85
95,10008676632,JANSEN Amund Grøndahl,NORWAY,TJB,22,85
96,10003357901,IZAGIRRE INSAUSTI Gorka,SPAIN,MOV,29,85
97,10008622876,LAMPAERT Yves,BELGIUM,EQS,25,85
98,10004519978,VAN EMDEN Jos,NETHERLANDS,TLJ,31,85
99,10004563428,SCHULTING Peter,NETHERLANDS,PVC,29,79
100,10008662383,BATMUNKH Maral-Erdene,MONGOLIA,TSG,22,78
101,10009376850,ZEMLYAKOV Oleg,KAZAKHSTAN,V4E,23,78
102,10006076628,HATSUYAMA Sho,JAPAN,BGT,28,78
103,10005595264,LEBAS Thomas,FRANCE,BGT,31,78
104,10002938575,ORTEGA RAMIREZ Mauricio,COLOMBIA,RTS,36,78
105,10003306569,POLIVODA Oleksandr,UKRAINE,KLS,29,78
106,10006679543,JUNGELS Bob,LUXEMBOURG,EQS,24,78
107,10009780513,O'CONNOR Ben,AUSTRALIA,AIW,21,76
108,10007946910,BAYLY Cameron,AUSTRALIA,ATG,26,76
109,10046109336,KRAGH ANDERSEN Søren,DENMARK,TGA,22,75
110,10000991808,REBELLIN Davide,ITALY,CCC,45,75
