Rank;UCI ID;Name;Nationality;Team Code;Age;Points
1;10006877886;LUTSENKO Alexey;KAZAKHSTAN;AST;26;655
2;10006363685;DYBALL Benjamin;AUSTRALIA;STG;29;517
3;10005953861;OVECHKIN Artem;RUSSIAN FEDERATION;TSG;32;484
4;10002523596;BEPPU Fumiyuki;JAPAN;TFS;35;481,67
5;10005595264;LEBAS Thomas;FRANCE;KIN;33;339
6;10009405748;AGUIRRE CAIPA Hernan Ricardo;COLOMBIA;MZN;23;285
7;10006013778;CHAWCHIANGKWANG Peerapol;THAILAND;TCC;32;267
8;10010992508;MIRZA AL-HAMMADI Yousif;UNITED ARAB EMIRATES;UAD;30;262,17
9;10005502914;VIVIANI Elia;ITALY;QST;29;255
10;10075106676;PRADES REVERTER Benjami;SPAIN;UKO;35;253
11;10007733914;MOSCA Jacopo;ITALY;WIL;25;249
12;10009385742;ASTAFYEV Stepan;KAZAKHSTAN;VAM;24;248,25
13;10004556253;ARASHIRO Yukiya;JAPAN;TBM;34;247,67
14;10006279217;HO Burr;HONG KONG, CHINA;HKS;26;241,67
15;10008972884;MARECZKO Jakub;ITALY;WIL;24;219
16;10005497052;TVETCOV Serghei;ROMANIA;UHC;30;217
17;10003085994;HERMANS Ben;BELGIUM;ICA;32;200
18;10009492139;POWER Rob;AUSTRALIA;MTS;23;200
19;10007381781;NIELSEN Magnus Cort;DENMARK;AST;25;190
20;10004599396;KONONENKO Mykhaylo;UKRAINE;XDS;31;189
21;10007947516;NAKANE Hideto;JAPAN;NIP;28;185
22;10004872313;SEO Joonyong;KOREA;KSP;30;173
23;10009763436;LOPEZ MORENO Miguel Angel;COLOMBIA;AST;24;170
24;10006406630;CHOE Hyeongmin;KOREA;GIC;28;168
25;10008664609;BOHORQUEZ SANCHEZ Hernando;COLOMBIA;MZN;26;165
26;10002227445;SOHRABI Mehdi;ISLAMIC REPUBLIC OF IRAN;PKY;37;164
27;10010982909;HINDLEY Jai;AUSTRALIA;SUN;22;162
28;10052265604;LIPHONGYU Navuti;THAILAND;TCC;27;161
29;10004520887;SOKOLOV Dmitrii;RUSSIAN FEDERATION;LOK;30;157
30;10009638851;ISHIGAMI Masahiro;JAPAN;;21;155
31;10011024739;YAMAMOTO Masaki;JAPAN;KIN;22;154
32;10007969744;VALLEE Boris;BELGIUM;WGG;25;153
33;10005853629;OWSIAN Lukasz;POLAND;CCC;28;150
34;10009812542;TOLHOEK Antwan;NETHERLANDS;TLJ;24;150
35;10006468062;COLBRELLI Sonny;ITALY;TBM;28;148
36;10004779656;KREDER Raymond;NETHERLANDS;UKO;29;148
37;10005573541;GARCIA FERNANDEZ Marcos;SPAIN;KIN;32;148
38;10004873121;KO Siu Wai;HONG KONG, CHINA;HKS;31;147,67
39;10006445834;HUCKER Robbie;AUSTRALIA;UKO;28;147
40;10008700880;VILLELLA Davide;ITALY;AST;27;145
41;10009435353;PHOUNSAVATH Ariya;LAO PEOPLE'S DEMOCRATIC REPUBLIC;TCC;27;141
42;10007527584;LIEPINS Emils;LATVIA;ONE;26;140
43;10009161228;LAU Wan Yau Vincent;HONG KONG, CHINA;HKS;22;135
44;10009976129;FUNG Ka Hoo;HONG KONG, CHINA;HKS;21;133,67
45;10003088725;MARQUE PORTO Alejandro;SPAIN;STA;37;133
46;10009060285;CAHYADI Aiman;INDONESIA;TSC;25;132
47;10002928370;MORENO BAZAN Javier;SPAIN;DMP;34;131
48;10005601429;FENG Chun Kai;CHINESE TAIPEI;TBM;30;130
49;10001299174;ROGINA Radoslav;CROATIA;ADR;39;130
50;10009173756;SAINBAYAR Jambaljamts;MONGOLIA;RTS;22;129
51;10003340723;SANO Junya;JAPAN;MTR;36;127
52;10006271234;ARU Fabio;ITALY;UAD;28;125
53;10003357901;IZAGIRRE INSAUSTI Gorka;SPAIN;TBM;31;125
54;10002670514;BRESCHEL Matti;DENMARK;EFD;34;125
55;10010653513;GANJKHANLOU Mohammad;ISLAMIC REPUBLIC OF IRAN;PKY;21;124
56;10011168320;GROVES Kaden;AUSTRALIA;MBE;20;123
57;10009340373;DE MAAR Marc;NETHERLANDS;UKO;34;121
58;10007859004;ZANOTTI Marco;ITALY;MCT;30;120
59;10006714505;JANG Kyunggu;KOREA;;28;120
60;10007274576;YAMAMOTO Genki;JAPAN;KIN;27;118
61;10006278106;CHEUNG King Lok;HONG KONG, CHINA;HKS;27;117,67
62;10007621958;GIACOPPO Anthony;AUSTRALIA;BSC;32;115
63;10002724872;ROCHE Nicolas;IRELAND;BMC;34;115
64;10007629133;LIU Jianpeng;PEOPLE'S REPUBLIC OF CHINA;HEN;25;113
65;10005768248;HAAS Nathan;AUSTRALIA;TKA;29;110
66;10054862372;SANTORO Antonio;ITALY;MCT;29;110
67;10009966429;ABRAHAM Meron;ERITREA;BAI;23;109
68;10079277676;MOAZAMI GODARZI Arvin;ISLAMIC REPUBLIC OF IRAN;PKY;28;109
69;10052265095;SIRIRONNACHAI Sarawut;THAILAND;TCC;26;108
70;10011128712;MOREY Drew;AUSTRALIA;MBE;22;105
71;10006718545;WANG Meiyin;PEOPLE'S REPUBLIC OF CHINA;TBM;30;105
72;10005977305;HERRADA Jesus;SPAIN;COF;28;105
73;10009583883;GHEBREIGZABHIER Amanuel;ERITREA;DDD;24;105
74;10008699264;VAN HOOYDONCK Nathan;BELGIUM;BMC;23;104
75;10021521452;MATSUDA Shoi;JAPAN;;19;101,67
76;10008662383;BATMUNKH Maral-Erdene;MONGOLIA;TSG;24;101
77;10003306569;POLIVODA Oleksandr;UKRAINE;NLC;31;100
78;10008942471;LAAS Martin;ESTONIA;ILU;25;99
79;10015082672;SOKOLOV Nikita;KAZAKHSTAN;VAM;20;99
80;10011137907;CULEY Marcus;AUSTRALIA;STG;25;98
81;10008001369;GOH Choon Huat;SINGAPORE;TSG;28;97
82;10003084580;TUULKHANGAI Tuguldur;MONGOLIA;RTS;33;97
83;10009524976;WHITEHOUSE Daniel;GREAT BRITAIN;IPC;23;94
84;10002724367;CLARKE Jonathan;AUSTRALIA;UHC;34;94
85;10006003573;IRIBE Shotaro;JAPAN;SMN;29;94
86;10002833188;BOLE Grega;SLOVENIA;TBM;33;92
87;10005397224;CANOLA Marco;ITALY;NIP;30;90
88;10006838480;PERNSTEINER Hermann;AUSTRIA;TBM;28;90
89;10007518894;PELLAUD Simon;SWITZERLAND;ILU;26;90
90;10008971268;MOLANO BENAVIDES Juan Sebastian;COLOMBIA;MZN;24;89
91;10004557465;SAFARZADEH Saeid;ISLAMIC REPUBLIC OF IRAN;TST;33;89
92;10002711940;SANTAROMITA Ivan;ITALY;NIP;34;88
93;10009340878;MONSALVE Yonnatta;BOLIVARIAN REPUBLIC OF VENEZUELA;TYD;29;88
94;10008896601;FONZI Giuseppe;ITALY;WIL;27;88
95;10006492112;BAZHKOU Stanislau;BELARUS;MCC;27;86
96;10007807672;GRMAY Tsgabu Gebremaryam;ETHIOPIA;TFS;27;85
97;10007526271;VLIEGEN Loïc;BELGIUM;BMC;25;85
98;10008924384;CIMA Damiano;ITALY;NIP;25;85
99;10010985939;SIERRA SANCHEZ Yecid Arturo;COLOMBIA;MZN;24;85
100;10007996723;DUARTE SANDOVAL Alvaro Raul;COLOMBIA;FAR;27;84
101;10035379924;CASTIBLANCO CUBIDES Jorge Camilo;COLOMBIA;ILU;31;83
102;10016193930;CHAIYASOMBAT Thanakhan;THAILAND;TCC;19;83
103;10002728411;DEVENYNS Dries;BELGIUM;QST;35;82,14
104;10005961440;BOUHANNI Nacer;FRANCE;COF;28;80
105;10006895064;COQUARD Bryan;FRANCE;VCC;26;80
106;10002301914;KHALMURATOV Muradjan;UZBEKISTAN;RTS;36;80
107;10054296439;KIPKEMBOI Salim;KENYA;BAI;20;79
108;10007744624;PACIONI Luca;ITALY;WIL;25;79
109;10006400768;HIRATSUKA Yoshimitsu;JAPAN;UKO;30;79
110;10006875159;GROSU Eduard-Michael;ROMANIA;NIP;26;77
111;10007809995;KENNETT Dylan;NEW ZEALAND;STG;24;77
