Rank,Name,Team Code,Nationality,Points
1,TEAM SAPURA CYCLING,TSC,MALAYSIA,1113
2,TERENGGANU INC. TSG CYCLING TEAM,TSG,MALAYSIA,864
3,VINO - ASTANA MOTORS,VAM,KAZAKHSTAN,465
4,THAILAND CONTINENTAL CYCLING TEAM,TCC,THAILAND,456
5,NINGXIA SPORTS LOTTERY CONTINENTAL TEAM,NLC,PEOPLE'S REPUBLIC OF CHINA,264
6,YUNNAN LVSHAN LANDSCAPE,YUN,PEOPLE'S REPUBLIC OF CHINA,"254,34"
7,HENGXIANG CYCLING TEAM,HEN,PEOPLE'S REPUBLIC OF CHINA,153
8,SSOIS MIOGEE CYCLING TEAM,SMC,PEOPLE'S REPUBLIC OF CHINA,118
9,UTSUNOMIYA BLITZEN,BLZ,JAPAN,77
10,HKSI Pro Cycling Team,HKS,"HONG KONG, CHINA",72
11,Bahrain Cycling Academy,BCA,BAHRAIN,65
12,KTX KORAIL CYCLING TEAM,KCT,KOREA,63
13,LX CYCLING TEAM,LXC,KOREA,59
14,AISAN RACING TEAM,AIS,JAPAN,51
15,KINAN CYCLING TEAM,KIN,JAPAN,48
16,GEUMSAN INSAM CELLO,GIC,KOREA,48
17,MULA,MLA,INDONESIA,42
18,CAMBODIA CYCLING ACADEMY,CCA,CAMBODIA,40
19,NASU BLASEN,NAS,JAPAN,32
20,SHENZHEN XIDESHENG CYCLING TEAM,XDS,PEOPLE'S REPUBLIC OF CHINA,21
21,SEOUL CYCLING TEAM,SCT,KOREA,16
22,TEAM UKYO,UKO,JAPAN,16
23,GAPYEONG CYCLING TEAM,GPC,KOREA,15
24,KSPO Professional,KSP,KOREA,10
25,GO FOR GOLD PHILIPPINES,G4G,PHILIPPINES,7
26,TIANYOUDE HOTEL CYCLING TEAM,TYD,PEOPLE'S REPUBLIC OF CHINA,1
