Rank,Name,Team Code,Nationality,Points
1,AGRITUBEL,AGR,FRANCE,2088
2,VACANSOLEIL PRO CYCLING TEAM,VAC,NETHERLANDS,1499
3,LIBERTY SEGUROS,LSE,PORTUGAL,1326
4,CERVELO TEST TEAM,CWT,GERMANY,1261
5,ISD - NERI,ISD,GREAT BRITAIN,"1249,79"
6,SKIL-SHIMANO,SKS,NETHERLANDS,1224
7,SERRAMENTI PVC DIQUIGIOVANNI-ANDRONI GIOCATTOLI,SDA,ITALY,1210
8,BESSON CHAUSSURES - SOJASUN,SAU,FRANCE,1208
9,,,,"1120,8"
10,CERAMICA FLAMINIA - BOSSINI DOCCE,FLM,IRELAND,1029
11,RABOBANK,RB3,NETHERLANDS,"972,79"
12,CENTRI DELLA CALZATURA,CDC,ITALY,955
13,ACQUA & SAPONE - CAFFE MOKAMBO,ASA,ITALY,907
14,TEAM CAPINORDIC,CPI,DENMARK,897
15,TEAM DESIGNA KOKKEN,TDK,DENMARK,829
16,ADRIA MOBIL,ADR,SLOVENIA,828
17,,,,817
18,CSF GROUP - NAVIGARE,CSF,IRELAND,"791,79"
19,CARMIOORO - A STYLE,CMO,GREAT BRITAIN,783
20,PSK WHIRLPOOL - AUTHOR,PSK,CZECH REPUBLIC,761
21,BRETAGNE - SCHULLER,BSC,FRANCE,708
22,MICHE - SILVER CROSS - SELLE ITALIA,MIE,ITALY,"671,18"
23,BARLOWORLD,BAR,GREAT BRITAIN,"657,09"
24,ANDALUCIA CAJASUR,ACA,SPAIN,615
25,LANDBOUWKREDIET - COLNAGO,LAN,BELGIUM,604
26,PALMEIRAS RESORT / PRIO,PRT,PORTUGAL,530
27,ELK HAUS,ELK,AUSTRIA,516
28,VERANDAS WILLEMS,WIL,BELGIUM,515
29,TEAM NUTRIXXION SPARKASSE,TSP,GERMANY,503
30,AUBER 93,AUB,FRANCE,485
31,AN POST - SEAN KELLY TEAM,SKT,IRELAND,481
32,CYCLING CLUB BOURGAS,CCB,BULGARIA,478
33,MADEINOX BOAVISTA,BOA,PORTUGAL,477
34,CONTENTPOLIS-AMPO,MCO,SPAIN,472
35,CCC POLSAT POLKOWICE,CCC,POLAND,456
36,LOBORIKA,LOB,CROATIA,436
37,JOKER BIANCHI,TJB,NORWAY,433
38,MROZ CONTINENTAL TEAM,MRO,POLAND,423
39,ORBEA,ORB,SPAIN,417
40,KATYUSHA CONTINENTAL TEAM,KAT,RUSSIAN FEDERATION,402
41,XACOBEO GALICIA,XAC,SPAIN,"401,2"
42,CONTINENTAL TEAM DIFFERDANGE,CCD,LUXEMBOURG,390
43,LKT TEAM BRANDENBURG,LKT,GERMANY,388
44,ISD-SPORT-DONETSK,ISE,UKRAINE,376
45,ROUBAIX LILLE METROPOLE,RLM,FRANCE,374
46,ROCK RACING,RRC,UNITED STATES OF AMERICA,370
47,SAVA,SAK,SLOVENIA,358
48,DHL - AUTHOR,DHL,POLAND,345
49,MOSCOW,MOW,RUSSIAN FEDERATION,344
50,BETONEXPRESSZ 2000 - LIMONTA,BUC,HUNGARY,307
50,PALMANS CRAS,PCO,BELGIUM,307
52,VAN VLIET EBH ELSHOF,VVE,NETHERLANDS,305
53,AMORE & VITA - MCDONALD'S,AMO,UKRAINE,302
54,DUKLA TRENCIN MERIDA,DUK,SLOVAKIA,293
55,COLOMBIA ES PASION COLDEPORTES,CEP,COLOMBIA,286
56,THÜRINGER ENERGIE TEAM,TET,GERMANY,"270,66"
57,ATLAS-ROMER'S HAUSBÄCKEREI,ARH,SWITZERLAND,"250,66"
58,VORARLBERG - CORRATEC,VBG,AUSTRIA,225
59,TEAM KUOTA - INDELAND,TRS,GERMANY,224
60,SP. TABLEWARE-GATSOULIS BIKES,SPT,GREECE,217
61,TEAM JAYCO - AIS,JAS,AUSTRALIA,215
62,RADENSKA KD FINANCIAL POINT,RAR,SLOVENIA,208
63,BMC RACING TEAM,BMC,UNITED STATES OF AMERICA,201
64,,,,193
65,CENTRO CILISMO DE LOULE - LOULETANO,CCL,PORTUGAL,192
66,HERAKLION - NESSEBAR,TKT,GREECE,185
67,BOYACA ES PARA VIVIRLA,BOY,COLOMBIA,181
68,ANDORRA-GRANDVALIRA,ANG,ANDORRA,172
69,LA - ROTA DOS MOVEIS,FRM,PORTUGAL,158
70,SPAREBANKEN VEST - RIDLEY,SPV,NORWAY,154
70,RAPHA CONDOR,RCR,GREAT BRITAIN,154
72,HEIZOMAT MAPEI,TMH,GERMANY,142
73,BARBOT - SIPER,BSP,PORTUGAL,139
74,,,,133
75,JONG VLAANDEREN - BAUKNECHT,JVB,BELGIUM,124
76,MERIDIANA - KALEV CHOCOLATE TEAM,KCT,ESTONIA,123
77,TUSNAD CYCLING TEAM,TCT,ROMANIA,117
78,BURGOS MONUMENTAL - CASTILLA Y LEON,VMC,SPAIN,116
79,CYCLING TEAM JO PIELS,CJP,NETHERLANDS,106
80,RC ARBÖ WELS GOURMETFEIN,RAD,AUSTRIA,101
81,AC SPARTA PRAHA,ASP,CZECH REPUBLIC,99
82,BKCP- POWERPLUS,BKP,BELGIUM,94
83,GLUD & MARSTRAND HORSENS,GLU,DENMARK,92
83,LETUA CYCLING TEAM,L2A,MALAYSIA,92
85,TEAM HALFORDS,HAF,GREAT BRITAIN,85
