Rank,UCI ID,Name,Nationality,Team Code,Age,Points
1,10005379339,DEGENKOLB John,GERMANY,ARG,23,596
2,10004502400,KITTEL Marcel,GERMANY,ARG,24,511
3,10003214623,TIERNAN-LOCKE Jonathan,GREAT BRITAIN,EDR,28,"478,2"
4,10004611726,KUMP Marko,SLOVENIA,ADR,24,465
5,10001398703,DI LUCA Danilo,ITALY,ASA,36,"410,2"
6,10005842212,SIMON Julien,FRANCE,SAU,27,399
7,10001573202,DUMOULIN Samuel,FRANCE,COF,32,394
8,10002692540,POZZOVIVO Domenico,ITALY,COG,30,"387,8"
9,10006916282,BETANCUR Carlos,COLOMBIA,ASA,23,369
10,10006282247,JANSE VAN RENSBURG Reinardt,SOUTH AFRICA,MTN,23,349
11,10003097516,BAGDONAS Gediminas,LITHUANIA,SKT,27,346
12,10003257059,COPPEL Jérôme,FRANCE,SAU,26,336
13,10001288161,SCHULZE André,GERMANY,APP,38,"332,75"
14,10004590407,VAN STAEYEN Michaël,BELGIUM,TSV,24,327
15,10001354748,PELLIZOTTI Franco,ITALY,AND,34,"313,2"
16,10004290313,VRECER Robert,SLOVENIA,VBG,32,307
17,10001398093,VOECKLER Thomas,FRANCE,EUC,33,282
18,10002652528,FIRSANOV Sergei,RUSSIAN FEDERATION,RVL,30,"279,5"
19,10005656801,PALINI Andrea,ITALY,IDE,23,276
20,10005982456,FELLINE Fabio,ITALY,AND,22,"267,8"
21,10002631815,SELLA Emanuele,ITALY,AND,31,"267,8"
22,10004613948,MODOLO Sacha,ITALY,COG,25,265
23,10006679543,JUNGELS Bob,LUXEMBOURG,LET,20,263
24,10006108960,PICHON Laurent,FRANCE,BSC,26,253
25,10002298779,RUTKIEWICZ Marek,POLAND,CCC,31,246
26,10006175951,KUZNETSOV Viacheslav,RUSSIAN FEDERATION,TIK,23,246
27,10000991808,REBELLIN Davide,ITALY,MKT,41,243
28,10004665579,RUBIANO CHAVEZ Miguel Angel,COLOMBIA,AND,28,"237,4"
29,10007587303,CHAVES RUBIO Jhoan Esteban,COLOMBIA,COL,22,236
30,10006467860,BARBIN Enrico,ITALY,,22,228
31,10002311917,COLLI Daniele,ITALY,TT1,30,227
32,10002487830,ENGOULVENT Jimmy,FRANCE,SAU,33,226
33,10002208146,SCHUMACHER Stefan,GERMANY,CWO,31,224
34,10005560710,MEZGEC Luka,SLOVENIA,SAK,24,219
35,10006584765,PETIT Adrien,FRANCE,COF,22,213
36,10003245945,BÁRTA Jan,CZECH REPUBLIC,APP,28,"212,35"
37,10006658426,CHERNETSKII Sergei,RUSSIAN FEDERATION,TIK,22,212
38,10002857743,VACHON Florian,FRANCE,BSC,27,211
39,10002813990,CAETHOVEN Steven,BELGIUM,ACC,31,211
40,10006877886,LUTSENKO Alexey,KAZAKHSTAN,AS2,20,211
41,10004693568,GATTO Oscar,ITALY,FAR,27,"210,4"
42,10005889193,DENNIS Rohan,AUSTRALIA,JAI,22,"207,25"
43,10002626862,NAPOLITANO Danilo,ITALY,ASA,31,"205,8"
44,10003094684,HIVERT Jonathan,FRANCE,SAU,27,204
45,10005669329,TABORRE Fabio *,ITALY,ASA,27,"196,8"
46,10002764177,HUZARSKI Bartosz,POLAND,APP,32,"196,6"
47,10005475733,BOIVIN Guillaume,CANADA,SPI,23,196
48,10002070023,MUGERLI Matej,SLOVENIA,ADR,31,188
49,10000870152,EECKHOUT Niko,BELGIUM,SKT,42,187
50,10002751346,FERRARI Roberto,ITALY,AND,29,"186,2"
51,10002510967,POPKOV Vitalii,UKRAINE,ISD,29,"183,4"
52,10004658812,ANDRIATO Rafael,BRAZIL,FAR,25,183
53,10003202293,RUDASKOV Sergei,RUSSIAN FEDERATION,TIK,28,178
54,10004448947,POULHIES Stéphane,FRANCE,SAU,27,178
55,10005840289,KREDER Wesley,NETHERLANDS,RB3,22,172
56,10004563832,REDA Francesco,ITALY,ASA,30,172
57,10007914170,VAN ASBROECK Tom,BELGIUM,TSV,22,171
58,10003271106,STEENSEN André,DENMARK,GLU,25,167
59,10002082450,KVASINA Matija,CROATIA,TCT,31,167
60,10005914758,BOEV Igor,RUSSIAN FEDERATION,TIK,23,164
61,10003228262,VEILLEUX David,CANADA,EUC,25,162
62,10005501496,ZAKARIN Ilnur,RUSSIAN FEDERATION,TIK,23,160
63,10004589801,ŠIŠKEVIČIUS Evaldas,LITHUANIA,LPM,24,158
64,10006884455,VAN BAARLE Dylan,NETHERLANDS,RB3,20,156
65,10003214522,TAARAMÄE Rein,ESTONIA,COF,25,156
66,10002535623,SMOLEN Tomasz,POLAND,BGZ,29,155
67,10001547940,DOWNING Russell,GREAT BRITAIN,EDR,34,"154,45"
68,10006467961,SBARAGLI Kristian,ITALY,,22,154
69,10007856677,BARGUIL Warren,FRANCE,,21,154
70,10006874553,MC CARTHY Jay,AUSTRALIA,JAI,20,"152,25"
71,10004589700,TRONET Steven,FRANCE,AUB,26,150
72,10003322939,VAN POPPEL Boy,NETHERLANDS,UHC,24,150
73,10005818162,BRAMBILLA Gianluca,ITALY,COG,25,"148,8"
74,10002230677,BLANCO RODRIGUEZ David,SPAIN,EFG,37,146
75,10002986065,DRUCKER Jean-Pierre,LUXEMBOURG,ACC,26,144
76,10004615564,GALLAND Jérémie,FRANCE,SAU,29,144
77,10003391748,JANISZEWSKI Sylwester,POLAND,CCC,24,141
78,10001461145,STEVIĆ Ivan,SERBIA,SLC,32,140
79,10006919013,RABOTTINI Matteo,ITALY,FAR,25,"139,4"
80,10004610413,LOVASSY Krisztián,HUNGARY,TCT,24,138
81,10002711839,CHIARINI Riccardo,ITALY,AND,28,"133,2"
82,10089627778,RICHEZE Maximiliano Ariel,ARGENTINA,PPO,29,132
83,10006836258,KERN Julian,GERMANY,LET,23,"131,5"
84,10006427242,VANBILSEN Kenneth,BELGIUM,SKT,22,131
85,10002566238,ROSSI Enrico,ITALY,MKT,30,131
86,10006255571,WIPPERT Wouter,NETHERLANDS,,22,131
87,10001379404,COMMEYNE Davy,BELGIUM,LAN,32,130
88,10006288715,HOFLAND Moreno,NETHERLANDS,RB3,21,130
89,10061385119,PLIUSHKIN Alexandr,REPUBLIC OF MOLDOVA,,25,129
90,10002226132,WITECKI Mariusz,POLAND,BGZ,31,127
91,10001468320,SABIDO Hugo,PORTUGAL,LAR,33,127
92,10005390352,PELUCCHI Matteo,ITALY,EUC,23,127
93,10006467153,FLAKSIS Andzs,LATVIA,CDT,21,126
94,10002694358,VEELERS Tom,NETHERLANDS,ARG,28,124
95,10007175859,DE LA CRUZ MELGAREJO David,SPAIN,CJR,23,123
96,10005391564,BRÄNDLE Matthias,AUSTRIA,APP,23,"122,95"
97,10004509369,BRAMBILLA Giorgio,ITALY,LET,24,121
98,10005489271,HARDY Romain,FRANCE,BSC,24,121
99,10007158580,SERRY Pieter,BELGIUM,TSV,24,121
100,10001499036,TAMOURIDIS Ioannis,GREECE,SPT,32,120
101,10003193304,ISTA Kevyn,BELGIUM,ACC,28,120
102,10004556253,ARASHIRO Yukiya,JAPAN,EUC,28,119
103,10005383177,PAKHTUSOV Anatoliy,UKRAINE,ISD,27,"118,4"
104,10003264941,TLEUBAYEV Ruslan,KAZAKHSTAN,AS2,25,"116,5"
105,10050785746,POLANC Jan,SLOVENIA,RAR,20,116
106,10005711765,BIDEAU Jean Marc,FRANCE,BSC,28,116
107,10003223414,KOCHETKOV Pavel,RUSSIAN FEDERATION,TIK,26,116
