Rank;UCI ID;Name;Nationality;Team Code;Age;Points
1;10004443792;PLANCKAERT Baptiste;BELGIUM;WBC;28;1605
2;10005902230;DUPONT Timothy;BELGIUM;VWT;29;1425
3;10006468062;COLBRELLI Sonny;ITALY;BAR;26;1370
4;10006895064;COQUARD Bryan;FRANCE;DEN;24;1333
5;10007293269;GROENEWEGEN Dylan;NETHERLANDS;TLJ;23;1145
6;10001573202;DUMOULIN Samuel;FRANCE;ALM;36;1145
7;10005467952;ULISSI Diego;ITALY;LAM;27;1126
8;10005961440;BOUHANNI Nacer;FRANCE;COF;26;1035
9;10003200475;GAVAZZI Francesco;ITALY;AND;32;954
10;10007522534;VAKOČ Petr;CZECH REPUBLIC;EQS;24;910
11;10003269183;KRISTOFF Alexander;NORWAY;KAT;29;833
12;10003211286;DEHAES Kenny;BELGIUM;WGG;32;747
13;10008656828;GAVIRIA RENDON Fernando;COLOMBIA;EQS;22;727
14;10002416694;GILBERT Philippe;BELGIUM;BMC;34;708
15;10005876160;NIZZOLO Giacomo;ITALY;TFS;27;704
16;10004433789;GALLOPIN Tony;FRANCE;LTS;28;655
17;10001397891;BOONEN Tom;BELGIUM;EQS;36;633
18;10002728411;DEVENYNS Dries;BELGIUM;IAM;33;621
19;10005460373;SAGAN Peter;SLOVAKIA;TNK;26;615
20;10002214311;GREIPEL André;GERMANY;LTS;34;610
21;10006467052;DEMARE Arnaud;FRANCE;FDJ;25;607
22;10001457509;VALVERDE Alejandro;SPAIN;MOV;36;605
23;10006400465;VICHOT Arthur;FRANCE;FDJ;28;590
24;10003105600;VISCONTI Giovanni;ITALY;MOV;33;580,5
25;10002928471;PARDILLA BELLON Sergio;SPAIN;CJR;32;576
26;10006599519;BENNETT Sam;IRELAND;BOA;26;574
27;10004819466;DEBUSSCHERE Jens;BELGIUM;LTS;27;569
28;10008199312;BARBIER Rudy;FRANCE;RML;24;563
29;10006384196;MCLAY Daniel;GREAT BRITAIN;FVC;24;559
30;10004502400;KITTEL Marcel;GERMANY;EQS;28;511
31;10009575395;MOSCON Gianni;ITALY;SKY;22;501
32;10006473722;PINOT Thibaut;FRANCE;FDJ;26;498
33;10004615463;FEILLU Romain;FRANCE;AUB;32;487
34;10005818162;BRAMBILLA Gianluca;ITALY;EQS;29;486,25
35;10003225636;VANSPEYBROUCK Pieter;BELGIUM;TSV;29;484
36;10004497649;CLAEYS Dimitri;BELGIUM;WGG;29;474
37;10007079970;THEUNS Edward;BELGIUM;TFS;25;453
38;10001661108;POZZATO Filippo;ITALY;WIL;35;451
39;10007755435;JANS Roy;BELGIUM;WGG;26;443
40;10004592023;PARDINI Olivier;BELGIUM;WBC;31;439
41;10007750280;BENOOT Tiesj;BELGIUM;LTS;22;439
42;10008666932;CAPIOT Amaury;BELGIUM;TSV;23;425
43;10008695729;SMITH Dion;NEW ZEALAND;ONE;23;418,75
44;10002782264;ŠTYBAR Zdeněk;CZECH REPUBLIC;EQS;31;416
45;10003038104;BAKELANTS Jan;BELGIUM;ALM;30;415
46;10007609228;BILBAO LOPEZ DE ARMENTIA Pello;SPAIN;CJR;26;413
47;10006642763;MEURISSE Xandro;BELGIUM;CRV;24;411
48;10001592400;CANCELLARA Fabian;SWITZERLAND;TFS;35;409
49;10001398093;VOECKLER Thomas;FRANCE;DEN;37;407
50;10004433688;BAUGNIES Jerome;BELGIUM;WGG;29;405
51;10008672487;FEDI Andrea;ITALY;WIL;25;395
52;10007381781;NIELSEN Magnus Cort;DENMARK;OBE;23;393
53;10002652528;FIRSANOV Sergey;RUSSIAN FEDERATION;GAZ;34;389
54;10001479333;CHAVANEL Sylvain;FRANCE;DEN;37;389
55;10010023316;HALVORSEN Kristoffer;NORWAY;TJB;20;387
56;10006919316;GONÇALVES José;PORTUGAL;CJR;27;387
57;10007592050;TURGIS Anthony;FRANCE;COF;22;381
58;10007061782;LAMMERTINK Maurits;NETHERLANDS;ROP;26;376
59;10019821326;HAGEN Edvald Boasson;NORWAY;DDD;29;375
60;10006919215;KEUKELEIRE Jens;BELGIUM;OBE;28;375
61;10004451371;VAN AVERMAET Greg;BELGIUM;BMC;31;373
62;10007585986;VAN AERT Wout;BELGIUM;CRV;22;360
63;10002926552;FINETTO Mauro;ITALY;UNI;31;356,5
64;10007992174;BARBERO Carlos;SPAIN;CJR;25;356
65;10003383159;MARCATO Marco;ITALY;WGG;32;351
66;10006491708;BARDET Romain;FRANCE;ALM;26;349
67;10006242841;DE BIE Sean;BELGIUM;LTS;25;346
68;10006271234;ARU Fabio;ITALY;AST;26;346
