Rank;UCI ID;Name;Nationality;Team Code;Age;Points
1;10003378311;MCDONALD Peter;AUSTRALIA;DPC;31;163
2;10001220665;MCCAULEY Gordon;NEW ZEALAND;SWA;37;112,33
3;10004763791;NANKERVIS Tommy;AUSTRALIA;CDU;26;100
4;10005557373;BRAUNSTEINS Daniel;AUSTRALIA;DPC;21;70
5;10002528852;YATES Jeremy;NEW ZEALAND;L2A;27;64,66
6;10002748821;ROULSTON Hayden;NEW ZEALAND;CTT;28;60
7;10003082156;VENNELL Jeremy;NEW ZEALAND;BPC;29;51
8;10003799148;JONGEWAARD Chris;AUSTRALIA;;30;51
9;10005608604;COOPER Joseph;NEW ZEALAND;SWA;24;45,33
10;10002340310;DAY Benjamin;AUSTRALIA;VAU;31;43
11;10002290796;ROLLIN Dominique;CANADA;CTT;27;41
12;10005482706;WALKER Nicholas;AUSTRALIA;CDU;21;40
13;10004393676;FROOME Chris;GREAT BRITAIN;BAR;24;35
14;10002747003;PELL David;AUSTRALIA;SLV;29;33
15;10002486315;CHADWICK Glen Alan;NEW ZEALAND;RRC;33;31
16;10005760164;PORTE Richie;AUSTRALIA;;24;30
17;10005776433;EARLE Nathan;AUSTRALIA;GEN;21;30
18;10002422051;BLACKGROVE Heath;NEW ZEALAND;;29;27,66
19;10001298164;COOKE Baden;AUSTRALIA;VAC;31;27
20;10004863017;DROWER Eric;NEW ZEALAND;SWA;27;26,33
21;10005776332;ANDERSON Jack;AUSTRALIA;BFL;22;25,66
22;10002063858;WILSON Matthew;AUSTRALIA;TT1;32;25
23;10006190301;RUDOLPH Malcolm;AUSTRALIA;BFL;20;25
24;10002899573;RIGG Jason;AUSTRALIA;GEN;40;20
25;10006189186;ROE Timothy;AUSTRALIA;SLV;20;18
26;10002635451;ALLEN Jason;NEW ZEALAND;SWA;28;17,66
27;10005608503;TORCKLER Michael;NEW ZEALAND;;22;16
28;10002916448;IMPEY Daryl;SOUTH AFRICA;BAR;25;16
29;10004618291;CROWTHER Eliot;NEW ZEALAND;;22;15
30;10003032949;CLARKE Simon;AUSTRALIA;ISD;23;14
31;10005568285;WILLIAMSON James;NEW ZEALAND;SWA;20;13,33
32;10007126652;MARTIN Chris;AUSTRALIA;;27;13
33;10003108327;ROUTLEY Will;CANADA;JBC;26;13
34;10004595861;FORD William;AUSTRALIA;;21;13
35;10006723494;HORGAN Samuel;NEW ZEALAND;SWA;22;12
36;10005630630;TIVERS Brett;NEW ZEALAND;RSR;27;12
37;10002486719;MENZIES Karl;AUSTRALIA;UHC;32;12
38;10003106004;PEARSON Joel;AUSTRALIA;SLV;26;12
39;10006291947;MATTHEWS Michael;AUSTRALIA;JAS;19;11
40;10003326070;CRAWFORD Jai;AUSTRALIA;SLV;26;11
41;10004547462;MORI Kazuhiro;JAPAN;AIS;27;11
42;10006606589;CLARKE William;AUSTRALIA;GEN;24;10
43;10002097608;HUGHES Cameron;AUSTRALIA;BFL;37;10
44;10003029414;LATHAM Peter;NEW ZEALAND;BPC;25;10
45;10003033151;WINDSOR Dean;AUSTRALIA;DPC;23;9
46;10003122875;ODLIN Paul;NEW ZEALAND;;31;8,66
47;10001560266;O'BEE Kirk;UNITED STATES OF AMERICA;;32;8
47;10003319909;KERR Justin Leigh;NEW ZEALAND;;30;8
47;10005483716;WILLS Ryan;NEW ZEALAND;PCW;21;8
50;10002324849;MILOSTIC Peter;AUSTRALIA;;35;7
51;10006375106;D'AMELIO Christopher James;AUSTRALIA;CDU;26;7
52;10002989196;STEVENSON Cody;AUSTRALIA;BFL;29;7
52;10005483817;RODGER Shem;NEW ZEALAND;;21;7
54;10005333768;GORTER Matt;NEW ZEALAND;;24;6
55;10002303934;BATES Gene;AUSTRALIA;DPC;28;6
55;10002983035;VAN ULDEN Bernard;UNITED STATES OF AMERICA;JBC;30;6
55;10005504227;HOWARD Leigh;AUSTRALIA;JAS;20;6
58;10002105890;REID Robin;NEW ZEALAND;;34;5
59;10005986193;LEWIS Joseph;AUSTRALIA;DPC;20;5
60;10003156625;WILLIAMS Robert;AUSTRALIA;DPC;24;5
61;10001455485;DIONNE Charles;CANADA;VAU;30;5
61;10001468320;SABIDO Hugo;PORTUGAL;FRM;30;5
61;10003032848;DOCKER Mitchell;AUSTRALIA;SKS;23;5
64;10007126450;WHITE Timothy;AUSTRALIA;;21;4
65;10006843837;CORNISH John;AUSTRALIA;RSR;31;4
66;10003398721;SHAW Stuart;AUSTRALIA;DPC;32;4
67;10004626476;SERGENT Jesse;NEW ZEALAND;TLS;21;3,66
68;10002556437;JENNINGS Cameron;AUSTRALIA;BFL;30;2,66
68;10002998694;RYAN Marc;NEW ZEALAND;;27;2,66
68;10003160059;ENGLAND Justin;UNITED STATES OF AMERICA;;31;2,66
68;10003934847;MCCARTNEY Craig;AUSTRALIA;;34;2,66
68;10004627183;GOUGH Westley;NEW ZEALAND;;21;2,66
73;10001415271;NICHOLSON Chris;NEW ZEALAND;;42;2
74;10006041363;MCGREGOR Alex;AUSTRALIA;;19;2
75;10003094381;NISHITANI Taiji;JAPAN;AIS;28;2
75;10003122774;STRONG Aaron;NEW ZEALAND;;38;2
75;10004824520;DICKESON William;AUSTRALIA;SLV;26;2
75;10006164029;MARTIN Blair;NEW ZEALAND;;34;2
79;10003341329;WILLIAMS Marc;AUSTRALIA;;25;0,66
79;10003900693;LYTTLE Scott;NEW ZEALAND;RSR;25;0,66
79;10006177365;FAIRWEATHER James;NEW ZEALAND;;25;0,66
