Rank,Name,Team Code,Nationality,Points
1,MITCHELTON SCOTT,MTS,PEOPLE'S REPUBLIC OF CHINA,655
2,ISOWHEY SPORTS SWISSWELLNESS,IWS,AUSTRALIA,517
3,DRAPAC PAT'S VEG HOLISTIC DEVELOPMENT TEAM,DPV,AUSTRALIA,211
4,ST GEORGE CONTINENTAL CYCLING TEAM,STG,AUSTRALIA,126
5,TEAM SAPURA CYCLING,TSC,MALAYSIA,121
6,NSW INSTITUTE OF SPORT,NIS,AUSTRALIA,120
7,DELKO MARSEILLE PROVENCE KTM,DMP,FRANCE,108
8,JLT CONDOR,JLT,GREAT BRITAIN,90
9,TEAM UKYO,UKO,JAPAN,55
10,ONE PRO CYCLING,ONE,GREAT BRITAIN,45
11,TERENGGANU CYCLING TEAM,TSG,MALAYSIA,40
12,WANTY - GROUPE GOBERT,WGG,BELGIUM,40
13,UNITEDHEALTHCARE PROFESSIONAL CYCLING TEAM,UHC,UNITED STATES OF AMERICA,39
14,AQUA BLUE SPORT,ABS,IRELAND,33
15,AN POST CHAIN REACTION,SKT,IRELAND,25
16,ATTAQUE TEAM GUSTO,ATG,SLOVENIA,8
17,ROOMPOT - NEDERLANDSE LOTERIJ,RNL,NETHERLANDS,6
18,RTS - MONTON RACING TEAM,RTS,CHINESE TAIPEI,4
19,GAZPROM - RUSVELO,GAZ,RUSSIAN FEDERATION,3
