Rank,UCI ID,Name,Nationality,Team Code,Age,Points
1,10005760164,PORTE Richie,AUSTRALIA,IGD,36,"1303,33"
2,10009780513,O'CONNOR Ben,AUSTRALIA,ACT,26,1227
3,10007834247,HAIG Jack,AUSTRALIA,TBV,28,1131
4,10006291947,MATTHEWS Michael,AUSTRALIA,BEX,31,1087
5,10007809490,EWAN Caleb,AUSTRALIA,LTS,27,766
6,10010203572,STORER Michael,AUSTRALIA,DSM,24,526
7,10009497593,HAMILTON Lucas,AUSTRALIA,BEX,25,490
8,10005889193,DENNIS Rohan,AUSTRALIA,IGD,31,"471,33"
9,10006444521,BENNETT George,NEW ZEALAND,TJV,31,366
10,10002711435,HAUSSLER Heinrich,AUSTRALIA,TBV,37,346
11,10003032949,CLARKE Simon,AUSTRALIA,TQA,35,297
12,10074756971,SCHULTZ Nicholas,AUSTRALIA,BEX,27,253
13,10006291240,DURBRIDGE Luke,AUSTRALIA,BEX,30,251
14,10021708378,FISHER-BLACK Finn,NEW ZEALAND,UAD,20,"245,17"
15,10010996043,HARPER Chris,AUSTRALIA,TJV,27,203
16,10004405501,GATE Aaron,NEW ZEALAND,BSC,31,"185,5"
17,10006720161,HOWSON Damien,AUSTRALIA,BEX,29,182
17,10010982909,HINDLEY Jai,AUSTRALIA,DSM,25,182
19,10014877760,STANNARD Robert,AUSTRALIA,BEX,23,160
20,10014868969,VINE Jay,AUSTRALIA,AFC,26,155
21,10022161753,PITHIE Laurence,NEW ZEALAND,CGF,19,"152,17"
22,10007809894,SCOTSON Miles,AUSTRALIA,GFC,27,137
23,10055221474,PLAPP Lucas,AUSTRALIA,,21,135
24,10009979361,CHRISTENSEN Ryan,NEW ZEALAND,DHB,25,130
25,10006480388,BEVIN Patrick,NEW ZEALAND,ISN,30,129
26,10011087686,HAMILTON Christopher,AUSTRALIA,DSM,26,125
27,10004595558,MEYER Cameron,AUSTRALIA,BEX,33,100
28,10010750917,STEWART Campbell,NEW ZEALAND,BSC,23,"99,5"
29,10010790828,O’BRIEN Kelland,AUSTRALIA,,23,95
30,10008695729,SMITH Dion,NEW ZEALAND,BEX,28,84
31,10005608503,TORCKLER Michael,NEW ZEALAND,,34,75
32,10006383893,VINK Michael,NEW ZEALAND,STG,30,73
33,10023664445,STRONG Corbin,NEW ZEALAND,SEG,21,"68,17"
34,10011137806,MONK Cyrus,AUSTRALIA,EVO,25,68
35,10022071625,THOMPSON Reuben,NEW ZEALAND,CGF,20,"67,17"
36,10009139303,MUDGWAY Luke,NEW ZEALAND,BSC,25,"62,5"
37,10004439449,BAUER Jack,NEW ZEALAND,BEX,36,61
38,10008813644,BOWDEN Scott,AUSTRALIA,,26,60
39,10011168623,SWEENY Harrison,AUSTRALIA,LTS,23,53
40,10015536552,WHITE Nicholas,AUSTRALIA,BLN,24,50
41,10009492139,POWER Rob,AUSTRALIA,TQA,26,46
42,10008088467,ORAM James,NEW ZEALAND,BSC,28,"40,5"
43,10021904402,DRAGE Jack,NEW ZEALAND,,19,40
44,10005506651,ARCHBOLD Shane,NEW ZEALAND,DQT,32,"36,6"
45,10008814149,OLIVER Ben,NEW ZEALAND,,25,34
46,10011168320,GROVES Kaden,AUSTRALIA,BEX,23,33
46,10046251200,WHELAN James,AUSTRALIA,EFN,25,33
48,10054377978,CURRIE Logan,NEW ZEALAND,BSC,20,30
48,10055222080,TURNBULL Carter,AUSTRALIA,TRI,21,30
50,10011146900,DRIZNERS Jarrad,AUSTRALIA,HBA,22,28
51,10021742431,JONES Ollie,NEW ZEALAND,,25,"25,17"
52,10005768248,HAAS Nathan,AUSTRALIA,COF,32,25
53,10015011742,FOUCHE James,NEW ZEALAND,BSC,23,15
53,10021860144,BOND Hamish,NEW ZEALAND,,35,15
53,10055347372,LEAHY Conor,AUSTRALIA,,22,15
53,10069080653,BURNETT Josh,NEW ZEALAND,,21,15
57,10003726396,HADEN Glenn,NEW ZEALAND,,38,"12,17"
58,10005968615,SCULLY Tom,NEW ZEALAND,EFN,31,12
58,10007809692,MCCORMICK Hayden,NEW ZEALAND,BSC,27,12
58,10082355206,MACKELLAR Alastair,AUSTRALIA,ICA,19,12
61,10004595962,O'BRIEN Mark,AUSTRALIA,,34,10
61,10007229817,EDMONDSON Alexander,AUSTRALIA,BEX,28,10
61,10007597306,MORTON Lachlan,AUSTRALIA,EFN,29,10
61,10021798308,HORNBLOW Keegan,NEW ZEALAND,,20,10
61,10022108304,MCCULLOUGH Dylan,NEW ZEALAND,BSC,20,10
61,10087838130,EDDY Patrick,AUSTRALIA,BLN,19,10
67,10009117475,GOUGH Regan,NEW ZEALAND,,25,"9,17"
68,10049207171,DINHAM Matthew,AUSTRALIA,BLN,21,9
69,10021779413,KENCH Joshua,NEW ZEALAND,BSC,20,8
70,10010794161,YATES Joel,NEW ZEALAND,BSC,24,"6,5"
71,10010995841,SUNDERLAND Dylan,AUSTRALIA,TQA,25,6
72,10021691002,HARTLEY-BROWN Madi,NEW ZEALAND,,21,"5,17"
73,10002724367,CLARKE Jonathan,AUSTRALIA,WGC,37,5
73,10006189186,ROE Timothy,AUSTRALIA,,32,5
73,10015604957,CHRISTIE-JOHNSTON Alastair,AUSTRALIA,BLN,23,5
73,10015606674,BERWICK Sebastian,AUSTRALIA,ISN,22,5
73,10055223700,FLEMING Riley,AUSTRALIA,,22,5
73,10055348180,PLOWRIGHT Jensen,AUSTRALIA,BLN,21,5
79,10023663839,JACKSON George,NEW ZEALAND,,21,4
80,10010750715,SEXTON Tom,NEW ZEALAND,BSC,23,3
80,10011156701,BATT Ethan,NEW ZEALAND,BSC,23,3
80,10021918142,CHRISTENSEN Drew,NEW ZEALAND,T4Q,20,3
80,10023848038,MITRI James,NEW ZEALAND,GLC,22,3
80,10055222282,PORTER Rudy,AUSTRALIA,TRI,21,3
80,10055348584,BENTON Thomas,AUSTRALIA,,22,3
