Rank,BIB,Last Name,First Name,Country,Team,Gender,Age,Phase,Heat,Result,IRM
1,1,VOS,Marianne,NED,RABO WOMEN CYCLING TEAM,W,26,,,3:33:21,
2,15,VAN DIJK,Ellen,NED,SPECIALIZED - LULULEMON,W,26,,,+0,
3,21,JOHANSSON,Emma,SWE,ORICA - AIS,W,30,,,+0,
4,32,LONGO BORGHINI,Elisa,ITA,HITEC PRODUCTS UCK,W,22,,,+0,
5,2,VAN VLEUTEN,Annemiek,NED,RABO WOMEN CYCLING TEAM,W,31,,,+2:37,
6,51,VISSER,Adrie,NED,BOELS DOLMANS CYCLING TEAM,W,30,,,+2:37,
7,121,VAN DER BREGGEN,Anna,NED,SENGERS LADIES CYCLING TEAM,W,23,,,+2:37,
8,22,GUNNEWIJK,Loes,NED,ORICA - AIS,W,33,,,+2:37,
9,52,DEIGNAN,Elizabeth,GBR,BOELS DOLMANS CYCLING TEAM,W,25,,,+2:39,
10,106,WILD,Kirsten,NED,TEAM ARGOS - SHIMANO,W,31,,,+4:33,
11,123,MAJERUS,Christine,LUX,SENGERS LADIES CYCLING TEAM,W,26,,,+4:33,
12,14,WORRACK,Trixi,GER,SPECIALIZED - LULULEMON,W,32,,,+4:33,
13,111,BRONZINI,Giorgia,ITA,WIGGLE HONDA,W,30,,,+4:33,
14,26,CROMWELL,Tiffany,AUS,ORICA - AIS,W,25,,,+4:33,
15,101,BECKER,Charlotte,GER,TEAM ARGOS - SHIMANO,W,30,,,+4:33,
16,43,?E?ULIEN?,Inga,LTU,PASTA ZARA - COGEAS,W,27,,,+4:33,
17,222,DOM,Annelies,BEL,CYCLELIVE PLUS - ZANNATA,W,27,,,+4:33,
18,5,GUARNIER,Megan,USA,RABO WOMEN CYCLING TEAM,W,28,,,+4:33,
19,3,DE VOCHT,Liesbet,BEL,RABO WOMEN CYCLING TEAM,W,34,,,+4:33,
20,92,D`HOORE,Jolien,BEL,LOTTO BELISOL LADIES,W,23,,,+4:33,
