Rank,UCI ID,Name,Nationality,Team Code,Age,Points,
1,10004451371,VAN AVERMAET Greg,BELGIUM,BMC,32,4148,
2,10004393676,FROOME Chris,GREAT BRITAIN,SKY,32,3692,
3,10005460373,SAGAN Peter,SLOVAKIA,BOH,27,3344,
4,10003269183,KRISTOFF Alexander,NORWAY,KAT,30,2993,
5,10007389259,DUMOULIN Tom,NETHERLANDS,SUN,27,2966,
6,10002837838,NIBALI Vincenzo,ITALY,TBM,33,2702,
7,10001457509,VALVERDE Alejandro,SPAIN,MOV,37,2648,
8,10005852821,KWIATKOWSKI Michal,POLAND,SKY,27,2530,
9,10006291947,MATTHEWS Michael,AUSTRALIA,SUN,27,2479,
10,10002416694,GILBERT Philippe,BELGIUM,QST,35,2293,
11,10003224828,MARTIN Daniel,IRELAND,QST,31,2249,
12,10051842945,CONTADOR VELASCO Alberto,SPAIN,TFS,35,2157,
13,10006738854,QUINTANA Nairo,COLOMBIA,MOV,27,2157,
14,10006473722,PINOT Thibaut,FRANCE,FDJ,27,2078,
15,10005467952,ULISSI Diego,ITALY,UAD,28,2067,
16,10005502914,VIVIANI Elia,ITALY,SKY,28,1960,
17,10004641836,URAN Rigoberto,COLOMBIA,CDT,30,1930,
18,10006467052,DEMARE Arnaud,FRANCE,FDJ,26,1890,
19,10005760164,PORTE Richie,AUSTRALIA,BMC,32,1882,
20,10006453110,WELLENS Tim,BELGIUM,LTS,26,1864,
21,10008888921,ROGLIČ Primož,SLOVENIA,TLJ,28,1802,
22,10005501496,ZAKARIN Ilnur,RUSSIAN FEDERATION,KAT,28,1757,
23,10004774202,TRENTIN Matteo,ITALY,QST,28,1702,
24,10002214311,GREIPEL André,GERMANY,LTS,35,1674,
25,10005513119,MOLLEMA Bauke,NETHERLANDS,TFS,31,1670,
26,10006836763,LANDA MEANA Mikel,SPAIN,SKY,28,1640,
27,10008656828,GAVIRIA RENDON Fernando,COLOMBIA,QST,23,1639,
28,10007155752,ALAPHILIPPE Julian,FRANCE,QST,25,1580,
29,10005961440,BOUHANNI Nacer,FRANCE,COF,27,1544,
30,10006468062,COLBRELLI Sonny,ITALY,TBM,27,1538,
31,10001449425,ALBASINI Michael,SWITZERLAND,ORS,37,1510,
32,10006271234,ARU Fabio,ITALY,AST,27,1499,
33,10006823528,STUYVEN Jasper,BELGIUM,TFS,25,1487,
34,10006491708,BARDET Romain,FRANCE,ALM,27,1464,
35,10002692540,POZZOVIVO Domenico,ITALY,ALM,35,1420,
36,10005691658,HENAO MONTOYA Sergio Luis,COLOMBIA,SKY,30,1414,
37,10009365433,NAESEN Oliver,BELGIUM,ALM,27,1373,
38,10005379339,DEGENKOLB John,GERMANY,TFS,28,1370,
39,10007524756,TEUNS Dylan,BELGIUM,BMC,25,1364,
40,10042236612,IZAGUIRRE INSAUSTI Ion,SPAIN,TBM,28,1359,
41,10004433789,GALLOPIN Tony,FRANCE,LTS,29,1310,
42,10004502400,KITTEL Marcel,GERMANY,QST,29,1305,
43,10005380450,MAJKA Rafal,POLAND,BOH,28,1297,
44,10007293269,GROENEWEGEN Dylan,NETHERLANDS,TLJ,24,1280,
45,10019821326,HAGEN Edvald Boasson,NORWAY,DDD,30,1258,
46,10004638196,VUILLERMOZ Alexis,FRANCE,ALM,29,1240,
