Rank;UCI ID;Name;Nationality;Team Code;Age;Points
1;10014173300;WIEBES Lorena;NETHERLANDS;PHV;20;2259,33
2;10003114488;VOS Marianne;NETHERLANDS;CCC;32;2208
3;10006065514;VAN VLEUTEN Annemiek;NETHERLANDS;MTS;37;1946,67
4;10003267163;BASTIANELLI Marta;ITALY;TVC;32;1819
5;10005972655;VAN DER BREGGEN Anna;NETHERLANDS;DLT;29;1411
6;10004779252;PIETERS Amy;NETHERLANDS;DLT;28;1403
7;10008682490;NIEWIADOMA Katarzyna;POLAND;CSR;25;1268,17
8;10003270601;SPRATT Amanda;AUSTRALIA;MTS;32;1220,67
9;10005669935;MAJERUS Christine;LUXEMBOURG;DLT;32;1198,67
10;10008965814;KLEIN Lisa;GERMANY;CSR;23;1077,33
11;10007524453;PALADIN Soraya;ITALY;ALE;26;1069
12;10006605680;BRAND Lucinda;NETHERLANDS;;30;1058,5
13;10007350459;KOPECKY Lotte;BELGIUM;LSL;24;1024
14;10007614985;LONGO BORGHINI Elisa;ITALY;TFS;28;983,33
15;10004602935;BRENNAUER Lisa;GERMANY;WNT;31;982,33
16;10007199808;SIERRA Arlenis;CUBA;ASA;27;977
17;10006919619;MOOLMAN-PASIO Ashleigh;SOUTH AFRICA;CCC;34;933
18;10006456443;KIRCHMANN Leah;CANADA;SUN;29;928,5
19;10010182657;BALSAMO Elisa;ITALY;VAL;21;911
20;10006131693;RIVERA Coryn;UNITED STATES OF AMERICA;SUN;27;906,83
21;10015146633;VOLLERING Demi;NETHERLANDS;PHV;23;865,33
22;10008683807;LUDWIG Cecilie Uttrup;DENMARK;;24;808,33
23;10010971690;DYGERT Chloe;UNITED STATES OF AMERICA;T20;22;785
24;10002919175;WILD Kirsten;NETHERLANDS;WNT;37;732,67
25;10003264335;VAN DIJK Ellen;NETHERLANDS;TFS;32;710,33
26;10058433891;REUSSER Marlen;SWITZERLAND;WCC;28;630,33
27;10004619002;DE VUYST Sofie;BELGIUM;PHV;32;612
