Rank,UCI ID,Name,Nationality,Team Code,Age,Points
1,10005972655,VAN DER BREGGEN Anna,NETHERLANDS,DLT,30,"2560,67"
2,10007614985,LONGO BORGHINI Elisa,ITALY,TFS,29,"2532,33"
3,10006065514,VAN VLEUTEN Annemiek,NETHERLANDS,MTS,38,2226
4,10004602935,BRENNAUER Lisa,GERMANY,WNT,32,1943
5,10004598891,DEIGNAN Elizabeth,GREAT BRITAIN,TFS,32,"1896,33"
6,10003114488,VOS Marianne,NETHERLANDS,CCC,33,"1422,5"
7,10014049523,LIPPERT Liane,GERMANY,SUN,22,"1407,33"
8,10007350459,KOPECKY Lotte,BELGIUM,LSL,25,1380
9,10008683807,LUDWIG Cecilie,DENMARK,FDJ,25,1287
10,10003264335,VAN DIJK Ellen,NETHERLANDS,TFS,33,"1123,33"
11,10008682490,NIEWIADOMA Katarzyna,POLAND,CSR,26,1097
12,10014173300,WIEBES Lorena,NETHERLANDS,SUN,21,982
13,10008838401,STEPHENS Lauren,UNITED STATES OF AMERICA,TIB,34,938
14,10039854755,GARCIA CAÑELLAS Margarita Victo,SPAIN,ALE,36,"922,33"
15,10015146633,VOLLERING Demi,NETHERLANDS,PHV,24,909
16,10005498264,VAN DEN BROEK-BLAAK Chantal,NETHERLANDS,DLT,31,"825,67"
17,10004779252,PIETERS Amy,NETHERLANDS,DLT,29,"804,67"
18,10009457076,ROY Sarah,AUSTRALIA,MTS,34,793
19,10014329207,BROWN Grace,AUSTRALIA,MTS,28,773
20,10058433891,REUSSER Marlen,SWITZERLAND,EPK,29,"658,5"
21,10003267163,BASTIANELLI Marta,ITALY,ALE,33,657
22,10003270601,SPRATT Amanda,AUSTRALIA,MTS,33,634
23,10006456443,KIRCHMANN Leah,CANADA,SUN,30,"569,33"
24,10006919619,MOOLMAN-PASIO Ashleigh,SOUTH AFRICA,CCC,35,"558,5"
25,10011143260,CAVALLI Marta,ITALY,VAL,22,554
26,10015011843,HARVEY Mikayla,NEW ZEALAND,EPK,22,"552,17"
27,10004779050,D'HOORE Jolien,BELGIUM,DLT,30,"529,67"
28,10018611755,BANKS Elizabeth,GREAT BRITAIN,EPK,30,"509,17"
29,10007199808,SIERRA CANADILLA Arlenis,CUBA,ASA,28,499
30,10010182657,BALSAMO Elisa,ITALY,VAL,22,490
31,10005781584,HOSKING Chloe,AUSTRALIA,RLW,30,465
32,10007501518,WINDER Ruth,UNITED STATES OF AMERICA,TFS,27,"422,33"
33,10005540906,CORDON RAGOT Audrey,FRANCE,TFS,31,"414,33"
34,10015197456,BJERG Emma Cecilie,DENMARK,EPK,21,"411,17"
35,10006412589,BUJAK Eugenia,SLOVENIA,ALE,31,"397,33"
36,10004597881,FAHLIN Emilia,SWEDEN,FDJ,32,389
37,10010660684,RAGUSA Katia,ITALY,ASA,23,355
38,10009749894,LABOUS Juliette,FRANCE,SUN,22,"351,33"
39,10015660026,CONSONNI Chiara,ITALY,VAL,21,351
40,10005669935,MAJERUS Christine,LUXEMBOURG,DLT,33,348
41,10006489684,SANTESTEBAN GONZALEZ Ane,SPAIN,WNT,30,"338,67"
42,10021707267,FISHER-BLACK Niamh,NEW ZEALAND,EPK,20,"337,17"
43,10006881122,CECCHINI Elena,ITALY,CSR,28,"335,33"
44,10007992881,WILES Tayler,UNITED STATES OF AMERICA,TFS,31,"321,33"
45,10015606068,HARRIS Ella,NEW ZEALAND,CSR,22,321
46,10008684312,MACKAIJ Floortje,NETHERLANDS,SUN,25,"309,33"
47,10010118292,THOMAS Leah,UNITED STATES OF AMERICA,EPK,31,304
48,10007348237,BARNES Hannah,GREAT BRITAIN,CSR,27,299
49,10008672689,FIDANZA Arianna,ITALY,LSL,25,292
50,10004490676,LELEIVYTĖ Rasa,LITHUANIA,VAI,32,289
51,10045936958,CHABBEY Elise,SWITZERLAND,EPK,27,"287,5"
52,10015360134,AALERUD Katrine,NORWAY,MOV,26,277
53,10008130503,BARNES Alice,GREAT BRITAIN,CSR,25,276
54,10007524453,PALADIN Soraya,ITALY,CCC,27,"274,5"
55,10007278822,CONFALONIERI Maria Giulia,ITALY,WNT,27,"273,67"
56,10007859206,PINTAR Urska,SLOVENIA,ALE,35,267
57,10003836534,KONONENKO Valeriya,UKRAINE,CTL,30,"259,67"
58,10009639962,LACH Marta,POLAND,CCC,23,250
59,10010941277,MUZIC Evita,FRANCE,FDJ,21,244
60,10014838556,KENNEDY Lucy,AUSTRALIA,MTS,32,241
61,10005601631,MANEEPHAN Jutatip,THAILAND,ALE,32,240
62,10010616834,CHAPMAN Brodie,AUSTRALIA,FDJ,29,238
63,10005492002,AMIALIUSIK Alena,BELARUS,CSR,31,222
64,10008694921,SHEKEL Olga,UKRAINE,ASA,26,210
65,10002669605,SHARAKOVA Tatsiana,BELARUS,MCC,36,210
66,10023656260,VAS Kata Blanka,HUNGARY,DVE,19,198
67,10010660785,BERTIZZOLO Sofia,ITALY,CCC,23,"196,5"
68,10007969037,ROOIJAKKERS Pauliena,NETHERLANDS,CCC,27,"195,5"
69,10014629705,NOVOLODSKAIA Mariya,RUSSIAN FEDERATION,CGS,21,189
70,10007742705,DUVAL Eugénie,FRANCE,FDJ,27,188
71,10007825254,HERFOSS Emily,AUSTRALIA,RXS,26,177
72,10007520110,KRÖGER Mieke,GERMANY,HPU,27,"176,33"
73,10009183557,KLIMOVA Diana,RUSSIAN FEDERATION,CGS,24,175
74,10009686038,JACKSON Alison,CANADA,SUN,32,"172,33"
75,10010177910,TSERAKH Hanna,BELARUS,MCC,22,166
76,10008676228,CHURSINA Anastasiia,RUSSIAN FEDERATION,ALE,25,163
77,10013635756,LEVENEZ Sandra,FRANCE,ARK,41,163
78,10009773035,KOPPENBURG Clara,GERMANY,EPK,25,163
79,10016002960,RAMIREZ FREGOSO Andrea,MEXICO,AGO,21,152
80,10030159607,ZANARDI Silvia,ITALY,BPK,20,152
81,10008625607,MEDVEĎOVÁ Tereza,SLOVAKIA,WCC,24,150
81,10016231316,BJORNSDOTTIR Agusta Edda,ICELAND,,43,150
83,10036037908,GAREEVA Aigul,RUSSIAN FEDERATION,CGS,19,149
84,10006579715,BIANNIC Aude,FRANCE,MOV,29,147
85,10005482908,MULLENS Peta,AUSTRALIA,RXS,32,147
86,10005886365,GUARISCHI Barbara,ITALY,MOV,30,145
87,10048328010,MAGNALDI Erica,ITALY,WNT,28,"144,67"
88,10092870309,KIESENHOFER Anna,AUSTRIA,,29,143
89,10007401181,BORGLI Stine,NORWAY,FDJ,30,143
90,10007762408,ERIĆ Jelena,SERBIA,MOV,24,142
91,10036038110,GALIMULLINA Iuliia,RUSSIAN FEDERATION,CGS,19,141
92,10010200946,BOOGAARD Maaike,NETHERLANDS,ALE,22,"140,33"
93,10015339118,GUAZZINI Vittoria,ITALY,VAL,20,"139,33"
94,10022750322,UNEKEN Lonneke,NETHERLANDS,DLT,20,138
95,10011139725,GUNNING Jaime,AUSTRALIA,,22,136
96,10006140181,STULTIENS Sabrina,NETHERLANDS,CCC,27,"134,5"
97,10009892869,ŽIGART Urška,SLOVENIA,ALE,24,"133,33"
98,10055220767,GIGANTE Sarah,AUSTRALIA,TIB,20,133
99,10083256696,EKLUND Nathalie,SWEDEN,,29,130
100,10011049088,PERINOVIĆ Maja,CROATIA,TOP,21,130
101,10008635610,SANGUINETI Ilaria,ITALY,VAL,26,130
102,10015704381,ASENCIO Laura,FRANCE,WNT,22,126
103,10009862254,SCHWEINBERGER Kathrin,AUSTRIA,DVE,24,126
104,10010086768,MCCRYSTAL Eve,IRELAND,,42,125
105,10007934681,FASOI Varvara,GREECE,EIC,29,125
106,10056060425,SOSNA Katazina,LITHUANIA,,30,125
107,10007135140,RADOTIĆ Mia,CROATIA,CGS,36,125
108,10014838051,BARROW Justine,AUSTRALIA,RXS,41,125
109,10006127350,NUNTANA Supuksorn,THAILAND,TWC,31,125
110,10042147793,MERINO CORTAZAR Eider,SPAIN,MOV,26,124
111,10078996780,CAMPBELL Teniel,TRINIDAD AND TOBAGO,VAL,23,121
112,10080258184,MAIA Melissa,PORTUGAL,,32,120
113,10004474613,CHATZISTYLI Athina,GREECE,,43,120
114,10092360451,ČEŠULIENĖ Inga,LITHUANIA,,34,120
115,10009387358,BUSSI Vittoria,ITALY,,33,"118,33"
116,10015334872,BOSSUYT Shari,BELGIUM,NXG,20,"118,33"
117,10009154861,KERN Špela,SLOVENIA,LCW,30,118
118,10007874057,HEINE Vita,NORWAY,HPU,36,117
119,10015331236,KOCH Franziska,GERMANY,SUN,20,117
120,10006326202,HENTTALA Lotta,FINLAND,TFS,31,117
121,10015335983,KULYNYCH Olha,UKRAINE,CTL,20,115
122,10006324279,LETH Julie,DENMARK,WNT,28,115
123,10011162256,BATRIYA Chaniporn,THAILAND,TWC,21,114
124,10002741545,GUDERZO Tatiana,ITALY,ALE,36,"111,33"
125,10010661900,PATIÑO BEDOYA Paula Andrea,COLOMBIA,MOV,23,111
126,10007272253,DRONOVA Tamara,RUSSIAN FEDERATION,,27,110
127,10005872625,BENKÓ Barbara,HUNGARY,,30,110
128,10060294473,ADAM Teresa,NEW ZEALAND,,30,110
129,10043842364,LUDWIG Hannah,GERMANY,CSR,20,110
130,10008954700,SHAPIRA Omer,ISRAEL,CSR,26,110
131,10008601860,GONZALEZ BLANCO Alicia,SPAIN,MOV,25,110
132,10006077638,SHARHA Olena,UKRAINE,LCW,34,"107,67"
133,10009902367,GUILMAN Victorie,FRANCE,FDJ,24,107
134,10011138311,ROSEMAN-GANNON Ruby,AUSTRALIA,,22,106
135,10008685423,MARKUS Riejanne,NETHERLANDS,CCC,26,106
136,10006503832,OSHURKOVA Elizaveta,RUSSIAN FEDERATION,,29,105
137,10009723121,PLICHTA Anna,POLAND,TFS,28,105
138,10016636692,GILLESPIE lara,IRELAND,,19,105
139,10004738937,MACHAČOVÁ Jarmila,CZECH REPUBLIC,,34,105
140,10004201801,KESEG ŠTEVKOVÁ Janka,SLOVAKIA,,44,105
141,10009587624,OBERHOLZER Carla,SOUTH AFRICA,BDU,33,105
142,10008990163,KASTELIJN Yara,NETHERLANDS,CIM,23,105
143,10015328711,COPPONI Clara,FRANCE,FDJ,21,103
144,10007968936,KOSTER Anouska,NETHERLANDS,PHV,27,102
145,10004616574,CANUEL Karol-Ann,CANADA,DLT,32,"100,67"
146,10014585649,KOLESAVA Anastasiya,BELARUS,WCC,20,100
147,10008651572,GUTIERREZ RUIZ Sheyla,SPAIN,MOV,26,100
148,10009335121,NOSKOVA Nikola,CZECH REPUBLIC,EPK,23,100
149,10009487085,DIDERIKSEN Amalie,DENMARK,DLT,24,100
150,10009690381,GAXIOLA GONZALEZ Maria Antonieta,MEXICO,AGO,23,100
151,10015265558,OTTESTAD Mie Bjørndal,NORWAY,,23,100
152,10063673915,TUISK Aidi Gerde,ESTONIA,,18,100
153,10048318209,NEBEN Amber Leone,UNITED STATES OF AMERICA,CGS,45,100
154,10007217083,RIJKES Sarah,AUSTRIA,WNT,29,98
155,10007126551,GILLOW Shara,AUSTRALIA,FDJ,33,98
156,10054395762,ERATH Tanja,GERMANY,CSR,31,96
157,10015225243,SZABÓ Zsófia,HUNGARY,DVE,23,95
157,10072819500,WILTGEN Pia,LUXEMBOURG,,33,95
159,10014189262,VERHULST Gladys,FRANCE,ARK,23,95
160,10008696537,SYRADOEVA Margarita,RUSSIAN FEDERATION,SSR,25,94
161,10078998295,SOMRAT Phetdarin,THAILAND,TWC,25,90
162,10008928226,MILAKI Argiro,GREECE,,28,90
163,10080164925,BERG Mia,LUXEMBOURG,,23,90
164,10008702294,WILKOS Katarzyna,POLAND,,27,90
165,10001570067,VYSOTSKA Ievgeniia,UKRAINE,LCW,45,"86,67"
166,10015761268,KOOL Charlotte,NETHERLANDS,NXG,21,86
167,10009862355,SCHWEINBERGER Christina,AUSTRIA,DVE,24,86
168,10011072027,BRANCO Marta,PORTUGAL,,21,85
169,10009988758,KALM Kelly,ESTONIA,,23,85
170,10002523701,BECKER Charlotte,GERMANY,ARK,37,83
171,10036577973,GEDRAITYTĖ Akvile,LITHUANIA,WCC,19,80
172,10088433466,BIRIUKOVA Yuliia,UKRAINE,LCW,22,78
173,10014860481,FABER Claire,LUXEMBOURG,,22,78
174,10009721505,STUDENIKINA Natalia,RUSSIAN FEDERATION,,23,78
175,10009796374,VAN DEN BOS Jip,NETHERLANDS,DLT,24,78
176,10013490357,LYSTAD Vibeke,NORWAY,,45,76
177,10062147678,FAULKNER Kristen,UNITED STATES OF AMERICA,TIB,28,76
178,10064779715,KUSKOVA Yanina,UZBEKISTAN,,19,75
