Rank,UCI ID,Name,Nationality,Team Code,Age,Points
1,10001497117,RODRIGUEZ OLIVER Joaquim,SPAIN,KAT,31,561
2,10002416694,GILBERT Philippe,BELGIUM,OLO,28,437
3,10002444784,SANCHEZ Luis Leon,SPAIN,GCE,27,413
4,10001338883,EVANS Cadel,AUSTRALIA,BMC,33,390
5,10002837838,NIBALI Vincenzo,ITALY,LIQ,26,390
6,10048456433,GESINK Robert,NETHERLANDS,RAB,24,379
7,10002088413,HESJEDAL Ryder,CANADA,GRM,30,317
8,10002286049,SANCHEZ GONZALEZ Samuel,SPAIN,EUS,32,311
9,10002886237,SCHLECK Andy,LUXEMBOURG,SAX,25,308
10,10002688500,FARRAR Tyler,UNITED STATES OF AMERICA,GRM,26,306
11,10001157314,VINOKUROV Alexandr,KAZAKHSTAN,AST,37,287
12,10001426284,SCARPONI Michele,ITALY,AND,31,283
13,10051842945,CONTADOR VELASCO Alberto,SPAIN,AST,28,260
14,10001592400,CANCELLARA Fabian,SWITZERLAND,SAX,29,254
15,10001242691,MENCHOV Denis,RUSSIAN FEDERATION,RAB,32,251
16,10001427496,SCHLECK Fränk,LUXEMBOURG,SAX,30,230
17,10019821326,BOASSON-HAGEN Edvald,NORWAY,SKY,23,228
18,10001112955,HORNER Christopher,UNITED STATES OF AMERICA,RSH,39,226
19,10001397891,BOONEN Tom,BELGIUM,QST,30,216
20,10002214311,GREIPEL André,GERMANY,THR,28,211
21,10001398905,BASSO Ivan,ITALY,LIQ,33,206
22,10003205327,KREUZIGER Roman,CZECH REPUBLIC,LIQ,24,206
23,10003292324,CAVENDISH Mark,GREAT BRITAIN,THR,25,198
24,10001137207,PETACCHI Alessandro,ITALY,LAM,36,182
25,10002858652,MARTIN Tony,GERMANY,THR,25,179
26,10002527438,VAN DEN BROECK Jurgen,BELGIUM,OLO,27,179
27,10002731845,BRAJKOVIC Janez,SLOVENIA,RSH,27,174
28,10001207531,HUSHOVD Thor,NORWAY,CTT,32,173
29,10002304843,TONDO VOLPINI Xavier,SPAIN,CTT,32,171
30,10001414867,SASTRE CANDIL Carlos,SPAIN,CTT,35,164
31,10002148128,MOSQUERA MIGUEZ Ezequiel,SPAIN,XAC,35,158
32,10002724872,ROCHE Nicolas,IRELAND,ALM,26,152
33,10001645344,PINOTTI Marco,ITALY,THR,34,140
34,10005760164,PORTE Richie,AUSTRALIA,SAX,25,133
35,10002526327,ARROYO DURAN David,SPAIN,GCE,30,132
36,10003209973,ANTON HERNANDEZ Igor,SPAIN,EUS,27,132
37,10003401246,FUGLSANG Jakob,DENMARK,SAX,25,130
38,10001197932,GARZELLI Stefano,ITALY,ASA,37,127
39,10002832178,VELITS Peter,SLOVAKIA,THR,25,127
40,10001457105,FREIRE GOMEZ Oscar,SPAIN,RAB,34,125
41,10001398093,VOECKLER Thomas,FRANCE,BTL,31,121
42,10002727805,IGLINSKIY Maxim,KAZAKHSTAN,AST,29,117
43,10001440230,ROGERS Michael,AUSTRALIA,THR,31,113
44,10005460373,SAGAN Peter,SLOVAKIA,LIQ,20,111
45,10003214522,TAARAMÄE Rein,ESTONIA,COF,23,111
46,10003029919,GOSS Matthew,AUSTRALIA,THR,24,109
47,10003036989,ŠPILAK Simon,SLOVENIA,LAM,24,108
48,10002833188,BOLE Grega,SLOVENIA,LAM,25,107
49,10003224828,MARTIN Daniel,IRELAND,GRM,24,106
50,10001655448,CUNEGO Damiano,ITALY,LAM,29,106
51,10001107093,MCEWEN Robbie,AUSTRALIA,KAT,38,105
52,10005513119,MOLLEMA Bauke,NETHERLANDS,RAB,24,104
53,10001643627,HENDERSON Greg,NEW ZEALAND,SKY,34,103
54,10001551172,KARPETS Vladimir,RUSSIAN FEDERATION,KAT,30,102
55,10001437907,LEUKEMANS Björn,BELGIUM,VAC,33,100
56,10001481555,BENNATI Daniele,ITALY,LIQ,30,93
57,10000899555,HAMMOND Roger,GREAT BRITAIN,CTT,36,90
58,10001082946,MOERENHOUT Koos,NETHERLANDS,RAB,37,87
59,10002679709,BALLAN Alessandro,ITALY,BMC,31,86
60,10000805383,ARMSTRONG Lance,UNITED STATES OF AMERICA,RSH,39,85
61,10001546324,EISEL Bernhard,AUSTRIA,THR,29,83
62,10001656054,KOLOBNEV Alexander,RUSSIAN FEDERATION,KAT,29,82
63,10004839977,INTXAUSTI ELORRIAGA Beñat,SPAIN,EUS,24,82
64,10001130335,ZUBELDIA AGIRRE Haimar,SPAIN,RSH,33,80
65,10000905316,HINCAPIE George,UNITED STATES OF AMERICA,BMC,37,80
66,10002338286,PERAUD Jean Christophe,FRANCE,OLO,33,80
67,10004507753,VAN GARDEREN Tejay,UNITED STATES OF AMERICA,THR,22,76
68,10001311807,LASTRAS GARCIA Pablo,SPAIN,GCE,34,74
69,10001449324,CASAR Sandy,FRANCE,FDJ,31,73
70,10005413085,NIEVE ITURRALDE Mikel,SPAIN,EUS,26,72
71,10002371430,FLECHA GIANNONI Juan Antonio,SPAIN,SKY,33,71
72,10001282606,KLÖDEN Andreas,GERMANY,RSH,35,70
73,10001449425,ALBASINI Michael,SWITZERLAND,THR,30,67
