Rank,Name,Team Code,Nationality,Points
1,OMEGA PHARMA-LOTTO,OLO,BELGIUM,1101
2,SKY PROCYCLING,SKY,GREAT BRITAIN,1069
3,LEOPARD TREK,LEO,LUXEMBOURG,1024
4,HTC-HIGHROAD,THR,UNITED STATES OF AMERICA,892
5,BMC RACING TEAM,BMC,UNITED STATES OF AMERICA,887
6,LAMPRE - ISD,LAM,ITALY,856
7,LIQUIGAS-CANNONDALE,LIQ,ITALY,837
8,TEAM GARMIN-CERVELO,GRM,UNITED STATES OF AMERICA,818
9,RABOBANK CYCLING TEAM,RAB,NETHERLANDS,687
10,TEAM RADIOSHACK,RSH,UNITED STATES OF AMERICA,649
11,KATUSHA TEAM,KAT,RUSSIAN FEDERATION,632
12,EUSKALTEL-EUSKADI,EUS,SPAIN,489
13,MOVISTAR TEAM,MOV,SPAIN,484
14,PRO TEAM ASTANA,AST,KAZAKHSTAN,434
15,AG2R LA MONDIALE,ALM,FRANCE,398
16,QUICKSTEP CYCLING TEAM,QST,BELGIUM,383
17,VACANSOLEIL-DCM PRO CYCLING TEAM,VCD,NETHERLANDS,369
18,SAXO BANK SUNGARD,SBS,DENMARK,228
