Rank;UCI ID;Name;Nationality;Team Code;Age;Points
1;10055330194;YATES Simon Philip;GREAT BRITAIN;MTS;26;3072
2;10005460373;SAGAN Peter;SLOVAKIA;BOH;28;2992
3;10001457509;VALVERDE Alejandro;SPAIN;MOV;38;2609
4;10003253221;THOMAS Geraint;GREAT BRITAIN;SKY;32;2534,25
5;10004451371;VAN AVERMAET Greg;BELGIUM;BMC;33;2442,14
6;10005502914;VIVIANI Elia;ITALY;QST;29;2399
7;10006291947;MATTHEWS Michael;AUSTRALIA;SUN;28;2393,19
8;10007155752;ALAPHILIPPE Julian;FRANCE;QST;26;2161,12
9;10004393676;FROOME Chris;GREAT BRITAIN;SKY;33;1976,68
10;10007389259;DUMOULIN Tom;NETHERLANDS;SUN;28;1975,62
11;10008888921;ROGLIČ Primož;SLOVENIA;TLJ;29;1951
12;10006883243;HUNDAHL Michael Valgren;DENMARK;AST;26;1803
13;10009763436;LOPEZ MORENO Miguel Angel;COLOMBIA;AST;24;1610
14;10006491708;BARDET Romain;FRANCE;ALM;28;1530
15;10009365433;NAESEN Oliver;BELGIUM;ALM;28;1516
16;10005852821;KWIATKOWSKI Michal;POLAND;SKY;28;1515,25
17;10006473722;PINOT Thibaut;FRANCE;GFC;28;1500
18;10006453110;WELLENS Tim;BELGIUM;LTS;27;1480
19;10006823528;STUYVEN Jasper;BELGIUM;TFS;26;1459
20;10004443994;KRUIJSWIJK Steven;NETHERLANDS;TLJ;31;1456
21;10006467052;DEMARE Arnaud;FRANCE;GFC;27;1447
22;10006738854;QUINTANA Nairo;COLOMBIA;MOV;28;1417
23;10042236612;IZAGUIRRE INSAUSTI Ion;SPAIN;TBM;29;1403
24;10002836626;TERPSTRA Niki;NETHERLANDS;QST;34;1380,12
25;10005760164;PORTE Richie;AUSTRALIA;BMC;33;1368,57
26;10008685726;MAS NICOLAU Enric;SPAIN;QST;23;1324,43
27;10003269183;KRISTOFF Alexander;NORWAY;UAD;31;1323
28;10003401246;FUGLSANG Jakob;DENMARK;AST;33;1209
29;10009584489;BERNAL GOMEZ Egan Arley;COLOMBIA;SKY;21;1204,25
30;10002916448;IMPEY Daryl;SOUTH AFRICA;MTS;34;1137,45
31;10005467952;ULISSI Diego;ITALY;UAD;29;1127
32;10003224828;MARTIN Daniel;IRELAND;UAD;32;1101
33;10007750280;BENOOT Tiesj;BELGIUM;LTS;24;1095,43
34;10007059055;YATES Adam;GREAT BRITAIN;MTS;26;1072,45
35;10002837838;NIBALI Vincenzo;ITALY;TBM;34;1046
36;10002782264;ŠTYBAR Zdeněk;CZECH REPUBLIC;QST;33;1021
37;10002416694;GILBERT Philippe;BELGIUM;QST;36;1015,55
38;10007524756;TEUNS Dylan;BELGIUM;BMC;26;991,57
39;10002692540;POZZOVIVO Domenico;ITALY;TBM;36;987
40;10006836763;LANDA MEANA Mikel;SPAIN;MOV;29;956
41;10007167775;KONRAD Patrick;AUSTRIA;BOH;27;929
42;10004641836;URAN Rigoberto;COLOMBIA;EFD;31;912
43;10006444521;BENNETT George;NEW ZEALAND;TLJ;28;906
44;10005513119;MOLLEMA Bauke;NETHERLANDS;TFS;32;904
45;10005391261;VANMARCKE Sep;BELGIUM;EFD;30;858
46;10005889193;DENNIS Rohan;AUSTRALIA;BMC;28;842,57
47;10003205327;KREUZIGER Roman;CZECH REPUBLIC;MTS;32;842
48;10006468062;COLBRELLI Sonny;ITALY;TBM;28;842
49;10007988235;BUCHMANN Emanuel;GERMANY;BOH;26;841
50;10004564337;CARUSO Damiano;ITALY;BMC;31;807,14
51;10008681278;LATOUR Pierre;FRANCE;ALM;25;798
52;10007518591;FORMOLO Davide;ITALY;BOH;26;779
53;10008922364;SOLER Marc;SPAIN;MOV;25;775
54;10009165672;CARAPAZ Richard;ECUADOR;MOV;25;774
55;10006599519;BENNETT Sam;IRELAND;BOH;28;750
56;10006679543;JUNGELS Bob;LUXEMBOURG;QST;26;741,12
57;10008648037;WOODS Michael;CANADA;EFD;32;728
58;10003357901;IZAGIRRE INSAUSTI Gorka;SPAIN;TBM;31;698
59;10008686332;MOHORIC Matej;SLOVENIA;TBM;24;686
60;10003259685;COSTA Rui;PORTUGAL;UAD;32;669
61;10005380450;MAJKA Rafal;POLAND;BOH;29;664
62;10006473015;KELDERMAN Wilco;NETHERLANDS;SUN;27;640,57
63;10007738055;ACKERMANN Pascal;GERMANY;BOH;24;632
64;10002350414;GASPAROTTO Enrico;ITALY;TBM;36;629
65;10009575395;MOSCON Gianni;ITALY;SKY;24;623,25
66;10007809490;EWAN Caleb;AUSTRALIA;MTS;24;619,57
67;10008688352;OOMEN Sam;NETHERLANDS;SUN;23;618,57
68;10008854464;ROOSEN Timo;NETHERLANDS;TLJ;25;608
69;10005379339;DEGENKOLB John;GERMANY;TFS;29;577
70;10007609228;BILBAO LOPEZ DE ARMENTIA Pello;SPAIN;AST;28;564
71;10008656828;GAVIRIA RENDON Fernando;COLOMBIA;QST;24;537,55
72;10008689564;PEDERSEN Mads;DENMARK;TFS;23;520
73;10008693810;SCHACHMANN Maximilian;GERMANY;QST;24;512
74;10005768248;HAAS Nathan;AUSTRALIA;TKA;29;508
75;10008622876;LAMPAERT Yves;BELGIUM;QST;27;497,55
76;10019821326;HAGEN Edvald Boasson;NORWAY;DDD;31;497
77;10004774202;TRENTIN Matteo;ITALY;MTS;29;494
78;10002728411;DEVENYNS Dries;BELGIUM;QST;35;476
79;10007170001;SLAGTER Tom-Jelte;NETHERLANDS;DDD;29;462
80;10005501496;ZAKARIN Ilnur;RUSSIAN FEDERATION;TKA;29;462
81;10005865248;DILLIER Silvan;SWITZERLAND;ALM;28;460
82;10007753415;MOLARD Rudy;FRANCE;GFC;29;459
83;10006874553;MC CARTHY Jay;AUSTRALIA;BOH;26;458
84;10005876160;NIZZOLO Giacomo;ITALY;TFS;29;457
85;10009226401;MARTINEZ POVEDA Daniel Felipe;COLOMBIA;EFD;22;454
86;10002858248;VANENDERT Jelle;BELGIUM;LTS;33;448,43
87;10008674612;GUERREIRO Ruben;PORTUGAL;TFS;24;443
88;10006631548;TEUNISSEN Mike;NETHERLANDS;SUN;26;413
89;10048456433;GESINK Robert;NETHERLANDS;TLJ;32;406
90;10004507753;VAN GARDEREN Tejay;UNITED STATES OF AMERICA;BMC;30;404,57
91;10011081424;GROSSSCHARTNER Felix;AUSTRIA;BOH;25;402
92;10003223919;ROUX Anthony;FRANCE;GFC;31;397
93;10007381781;NIELSEN Magnus Cort;DENMARK;AST;25;395
94;10002833996;ROELANDTS Jurgen;BELGIUM;BMC;33;392
95;10005691658;HENAO MONTOYA Sergio Luis;COLOMBIA;SKY;31;391
96;10006877886;LUTSENKO Alexey;KAZAKHSTAN;AST;26;388
97;10007293269;GROENEWEGEN Dylan;NETHERLANDS;TLJ;25;383
98;10004819466;DEBUSSCHERE Jens;BELGIUM;LTS;29;349
99;10007991972;FRAILE MATARRANZ Omar;SPAIN;AST;28;349
100;10002444784;SANCHEZ Luis Leon;SPAIN;AST;35;347
101;10004613948;MODOLO Sacha;ITALY;EFD;31;343
102;10007499494;KÜNG Stefan;SWITZERLAND;BMC;25;341,14
103;10007175859;DE LA CRUZ MELGAREJO David;SPAIN;SKY;29;332
104;10006884455;VAN BAARLE Dylan;NETHERLANDS;SKY;26;328,57
105;10006658426;CHERNETSKII Sergei;RUSSIAN FEDERATION;AST;28;311
106;10005467447;BATTAGLIN Enrico;ITALY;TLJ;29;310
107;10046109336;KRAGH ANDERSEN Søren;DENMARK;SUN;24;308,19
108;10002214311;GREIPEL André;GERMANY;LTS;36;294
109;10005413085;NIEVE ITURRALDE Mikel;SPAIN;MTS;34;289,88
110;10004638196;VUILLERMOZ Alexis;FRANCE;ALM;30;289
111;10004433789;GALLOPIN Tony;FRANCE;ALM;30;283
112;10003036989;ŠPILAK Simon;SLOVENIA;TKA;32;271
113;10006400465;VICHOT Arthur;FRANCE;GFC;30;262
114;10005487554;KING Benjamin;UNITED STATES OF AMERICA;DDD;29;258
115;10008722607;POLITT Nils;GERMANY;TKA;24;255
116;10003261709;FRANK Mathias;SWITZERLAND;ALM;32;255
117;10006045508;GENIEZ Alexandre;FRANCE;ALM;30;252
118;10006824235;WISNIOWSKI Lukasz;POLAND;SKY;27;250
119;10006473520;PREIDLER Georg;AUSTRIA;GFC;28;250
120;10009812542;TOLHOEK Antwan;NETHERLANDS;TLJ;24;241
121;10006479782;ARNDT Nikias;GERMANY;SUN;27;238,19
122;10003223818;ROLLAND Pierre;FRANCE;EFD;32;236
123;10007631557;MÜHLBERGER Gregor;AUSTRIA;BOH;24;235
124;10004816739;DE GENDT Thomas;BELGIUM;LTS;32;231,43
125;10002986065;DRUCKER Jean-Pierre;LUXEMBOURG;BMC;32;218
126;10007512026;VERONA QUINTANILLA Carlos;SPAIN;MTS;26;216
127;10006271234;ARU Fabio;ITALY;UAD;28;215
128;10009163753;MADOUAS Valentin;FRANCE;GFC;22;214
129;10009230441;HODEG CHAGUI Alvaro Jose;COLOMBIA;QST;22;211
130;10050785746;POLANC Jan;SLOVENIA;UAD;26;209
131;10006914969;VAN POPPEL Danny;NETHERLANDS;TLJ;25;202
132;10008673501;GEOGHEGAN HART Tao;GREAT BRITAIN;SKY;23;199,57
133;10006919316;GONÇALVES José;PORTUGAL;TKA;29;199
134;10003205630;KANGERT Tanel;ESTONIA;AST;31;196
135;10007890730;CONSONNI Simone;ITALY;UAD;24;195
136;10008706136;JAKOBSEN Fabio;NETHERLANDS;QST;22;193
137;10006828174;HANSEN Jesper;DENMARK;AST;28;190
138;10006889206;SKUJINS Toms;LATVIA;TFS;27;190
139;10008658545;GARCIA CORTINA Ivan;SPAIN;TBM;23;189
140;10003105600;VISCONTI Giovanni;ITALY;TBM;35;189
141;10003094280;DE MARCHI Alessandro;ITALY;BMC;32;188,57
142;10007834247;HAIG Jack;AUSTRALIA;MTS;25;188
143;10004502400;KITTEL Marcel;GERMANY;TKA;30;185
144;10009971378;CAVAGNA Rémi;FRANCE;QST;23;183
145;10004617180;CASTROVIEJO NICOLAS Jonathan;SPAIN;SKY;31;182,25
146;10007079970;THEUNS Edward;BELGIUM;SUN;27;180,19
147;10008662484;BAUHAUS Phil;GERMANY;SUN;24;180
148;10086252279;POELS Wouter;NETHERLANDS;SKY;31;176,25
149;10003032949;CLARKE Simon;AUSTRALIA;EFD;32;174
150;10005818162;BRAMBILLA Gianluca;ITALY;TFS;31;172
151;10002416492;BURGHARDT Marcus;GERMANY;BOH;35;164
152;10002578160;GERRANS Simon;AUSTRALIA;;38;163,57
153;10009384833;ROSON GARCIA Jaime;SPAIN;MOV;25;160
154;10005982456;FELLINE Fabio;ITALY;TFS;28;156
155;10007061782;LAMMERTINK Maurits;NETHERLANDS;TKA;28;154
156;10007500710;BONIFAZIO Niccolò;ITALY;TBM;25;154
157;10011235109;GAUDU David;FRANCE;GFC;22;154
158;10005865753;WALLAYS Jelle;BELGIUM;LTS;29;151,43
159;10003078722;CHEREL Mikael;FRANCE;ALM;32;142
160;10007158580;SERRY Pieter;BELGIUM;QST;30;138
161;10009492139;POWER Rob;AUSTRALIA;MTS;23;137
162;10014621621;LAMBRECHT Bjorg;BELGIUM;LTS;21;137
163;10003269688;ĐURASEK Kristijan;CROATIA;UAD;31;133
164;10007587303;CHAVES RUBIO Jhoan Esteban;COLOMBIA;MTS;28;132
165;10007952263;COSNEFROY Benoit;FRANCE;ALM;23;130
166;10007516672;LE GAC Olivier;FRANCE;GFC;25;127
167;10089627778;RICHEZE Maximiliano Ariel;ARGENTINA;QST;35;126,55
168;10005933956;PHINNEY Taylor;UNITED STATES OF AMERICA;EFD;28;125
169;10002833188;BOLE Grega;SLOVENIA;TBM;33;123
170;10010087778;DE PLUS Laurens;BELGIUM;QST;23;123
171;10008676632;JANSEN Amund Grøndahl;NORWAY;TLJ;24;120
172;10007807672;GRMAY Tsgabu Gebremaryam;ETHIOPIA;TFS;27;116
173;10007223450;DOULL Owain;GREAT BRITAIN;SKY;25;114
174;10007096138;DE TIER Floris;BELGIUM;TLJ;26;113
175;10009780513;O'CONNOR Ben;AUSTRALIA;DDD;23;112
176;10003263022;OSS Daniel;ITALY;BOH;31;112
177;10002711435;HAUSSLER Heinrich;AUSTRALIA;TBM;34;111
178;10004519978;VAN EMDEN Jos;NETHERLANDS;TLJ;33;111
179;10005840188;JENSEN Christopher;DENMARK;MTS;29;111
180;10006917494;REICHENBACH Sébastien;SWITZERLAND;GFC;29;110
181;10006587694;FERNANDEZ Ruben;SPAIN;MOV;27;105
182;10010034935;BERNARD Julien;FRANCE;TFS;26;105
183;10005560710;MEZGEC Luka;SLOVENIA;MTS;30;103,57
184;10002208853;DE KORT Koen;NETHERLANDS;TFS;36;103
185;10006885566;CRADDOCK G Lawson;UNITED STATES OF AMERICA;EFD;26;102
186;10008700880;VILLELLA Davide;ITALY;AST;27;99
187;10003078823;SCHÄR Michael;SWITZERLAND;BMC;32;97,14
188;10008913371;CAMPENAERTS Victor;BELGIUM;LTS;27;95,43
189;10003038104;BAKELANTS Jan;BELGIUM;ALM;32;94
190;10009095954;FABBRO Matteo;ITALY;TKA;23;92
191;10034996267;BAK YTTING Lars;DENMARK;LTS;38;92
192;10051858507;CARTHY Hugh John;GREAT BRITAIN;EFD;24;92
193;10002858652;MARTIN Tony;GERMANY;TKA;33;91
194;10006000240;HOULE Hugo;CANADA;AST;28;90
195;10006175951;KUZNETSOV Viacheslav;RUSSIAN FEDERATION;TKA;29;90
196;10006875563;BYSTRØM Sven Erik;NORWAY;UAD;26;90
197;10006002967;ROSSKOPF Joseph;UNITED STATES OF AMERICA;BMC;29;88,57
198;10003025875;PAUWELS Serge;BELGIUM;DDD;35;88
199;10005351653;VERMOTE Julien;BELGIUM;DDD;29;87
200;10003088826;MORENO FERNANDEZ Daniel;SPAIN;EFD;37;86
201;10006480388;BEVIN Patrick;NEW ZEALAND;BMC;27;84,14
202;10009703620;RAVASI Edward;ITALY;UAD;24;83
203;10006838480;PERNSTEINER Hermann;AUSTRIA;TBM;28;83
204;10002910990;ROJAS José;SPAIN;MOV;33;83
205;10007518692;CONTI Valerio;ITALY;UAD;25;83
206;10003299293;BOOKWALTER Brent;UNITED STATES OF AMERICA;BMC;34;82,57
207;10003072557;CAPECCHI Eros;ITALY;QST;32;81
208;10004641937;PANTANO GOMEZ Jarlinson;COLOMBIA;TFS;30;80
209;10006916282;BETANCUR Carlos;COLOMBIA;MOV;29;79
210;10001354748;PELLIZOTTI Franco;ITALY;TBM;40;79
211;10003473994;AMADOR Andrey;COSTA RICA;MOV;32;78
212;10007240325;BERHANE Natnael;ERITREA;DDD;27;76
213;10002724872;ROCHE Nicolas;IRELAND;BMC;34;70
214;10002670514;BRESCHEL Matti;DENMARK;EFD;34;70
215;10011134368;SIVAKOV Pavel;RUSSIAN FEDERATION;SKY;21;70
216;10009363817;BIDARD François;FRANCE;ALM;26;70
217;10003216340;VANDENBERGH Stijn;BELGIUM;ALM;34;67
218;10008855171;KUDUS Merhawi;ERITREA;DDD;24;67
219;10003383159;MARCATO Marco;ITALY;UAD;34;66
220;10006060056;HOLLENSTEIN Reto;SWITZERLAND;TKA;33;66
221;10003230888;DUPONT Hubert;FRANCE;ALM;38;66
222;10008669659;DENZ Nico;GERMANY;ALM;24;65
223;10003209973;ANTON HERNANDEZ Igor;SPAIN;;35;64
224;10009966530;KNOX James;GREAT BRITAIN;QST;23;64
225;10003272015;GASTAUER Ben;LUXEMBOURG;ALM;31;64
226;10003225030;GAUTIER Cyril;FRANCE;ALM;31;62
227;10007357331;DE BUYST Jasper;BELGIUM;LTS;25;60
228;10009583883;GHEBREIGZABHIER Amanuel;ERITREA;DDD;24;59
229;10007996824;HENAO GOMEZ Sebastian;COLOMBIA;SKY;25;58
230;10008672790;FRANKINY Kilian;SWITZERLAND;BMC;24;56
231;10008199312;BARBIER Rudy;FRANCE;ALM;26;55
