Rank,UCI ID,Name,Nationality,Team Code,Age,Points
1,10014972740,POGAČAR Tadej,SLOVENIA,UAD,23,5363
2,10007585986,VAN AERT Wout,BELGIUM,TJV,27,4382
3,10008888921,ROGLIČ Primož,SLOVENIA,TJV,32,3924
4,10007155752,ALAPHILIPPE Julian,FRANCE,DQT,29,"3104,67"
5,10009584489,BERNAL GOMEZ Egan Arley,COLOMBIA,IGD,24,2576
6,10006468062,COLBRELLI Sonny,ITALY,TBV,31,2553
7,10007946203,VAN DER POEL Mathieu,NETHERLANDS,AFC,26,2467
8,10007059055,YATES Adam,GREAT BRITAIN,IGD,29,2251
9,10010784057,GONÇALVES ALMEIDA Joao Pedro,PORTUGAL,DQT,23,2219
10,10009165672,CARAPAZ Richard,ECUADOR,IGD,28,2018
11,10001457509,VALVERDE Alejandro,SPAIN,MOV,41,1981
12,10008686332,MOHORIC Matej,SLOVENIA,TBV,27,1897
13,10008648037,WOODS Michael,CANADA,ISN,35,1893
14,10058736615,EVENEPOEL Remco,BELGIUM,DQT,21,1814
15,10014827543,PHILIPSEN Jasper,BELGIUM,AFC,23,1777
16,10011235109,GAUDU David,FRANCE,GFC,25,1773
17,10006823528,STUYVEN Jasper,BELGIUM,TFS,29,1771
18,10011208231,VINGEGAARD Jonas,DENMARK,TJV,25,1730
19,10007096239,MERLIER Tim,BELGIUM,AFC,29,1703
20,10005513119,MOLLEMA Bauke,NETHERLANDS,TFS,35,"1620,66"
21,10005876160,NIZZOLO Giacomo,ITALY,TQA,32,1607
22,10008693810,SCHACHMANN Maximilian,GERMANY,BOH,27,1579
23,10009743733,ASGREEN Kasper,DENMARK,DQT,26,1553
24,10004774202,TRENTIN Matteo,ITALY,UAD,32,1535
25,10008685726,MAS NICOLAU Enric,SPAIN,MOV,26,1533
26,10007499494,KÜNG Stefan,SWITZERLAND,GFC,28,1463
27,10009637033,HONORÉ Mikkel,DENMARK,DQT,24,"1419,27"
28,10010182051,HAYTER Ethan,GREAT BRITAIN,IGD,23,"1335,33"
29,10005760164,PORTE Richie,AUSTRALIA,IGD,36,"1303,33"
30,10006914969,VAN POPPEL Danny,NETHERLANDS,IWG,28,1291
31,10007516773,SENECHAL Florian,FRANCE,DQT,28,1288
32,10003292324,CAVENDISH Mark,GREAT BRITAIN,DQT,36,"1280,27"
33,10010977552,PIDCOCK Thomas,GREAT BRITAIN,IGD,22,1275
34,10003253221,THOMAS Geraint,GREAT BRITAIN,IGD,35,1268
35,10009728070,VLASOV Aleksandr,RUSSIAN FEDERATION,APT,25,1241
36,10055330194,YATES Simon Philip,GREAT BRITAIN,BEX,29,1239
37,10004564337,CARUSO Damiano,ITALY,TBV,34,1238
38,10006884455,VAN BAARLE Dylan,NETHERLANDS,IGD,29,1235
39,10006877886,LUTSENKO Alexey,KAZAKHSTAN,APT,29,1230
40,10009780513,O'CONNOR Ben,AUSTRALIA,ACT,26,1227
41,10008198096,LAPORTE Christophe,FRANCE,COF,29,1219
42,10007834247,HAIG Jack,AUSTRALIA,TBV,28,1131
42,10007952263,COSNEFROY Benoit,FRANCE,ACT,26,1131
44,10006291947,MATTHEWS Michael,AUSTRALIA,BEX,31,1087
45,10008622876,LAMPAERT Yves,BELGIUM,DQT,30,1080
46,10005467952,ULISSI Diego,ITALY,UAD,32,1074
47,10006473015,KELDERMAN Wilco,NETHERLANDS,BOH,30,1070
48,10008912563,MASNADA Fausto,ITALY,DQT,28,1053
49,10007517076,MARTIN Guillaume,FRANCE,COF,28,1038
50,10007738055,ACKERMANN Pascal,GERMANY,BOH,27,1027
51,10006467052,DEMARE Arnaud,FRANCE,GFC,30,1014
52,10008814351,POWLESS Neilson,UNITED STATES OF AMERICA,EFN,25,986
53,10009164056,GANNA Filippo,ITALY,IGD,25,981
54,10006491708,BARDET Romain,FRANCE,DSM,31,974
55,10042236612,IZAGUIRRE INSAUSTI Ion,SPAIN,APT,32,953
56,10003085994,HERMANS Ben,BELGIUM,ISN,35,"931,33"
57,10005460373,SAGAN Peter,SLOVAKIA,BOH,31,923
58,10004451371,VAN AVERMAET Greg,BELGIUM,ACT,36,906
59,10011235311,GODON Dorian,FRANCE,ACT,25,900
60,10006883243,HUNDAHL Michael Valgren,DENMARK,EFN,29,877
61,10008706136,JAKOBSEN Fabio,NETHERLANDS,DQT,25,845
62,10004641836,URAN Rigoberto,COLOMBIA,EFN,34,835
63,10006836763,LANDA MEANA Mikel,SPAIN,TBV,32,833
64,10006738854,QUINTANA Nairo,COLOMBIA,ARK,31,827
65,10006453110,WELLENS Tim,BELGIUM,LTS,30,826
66,10007609228,BILBAO LOPEZ DE ARMENTIA Peio,SPAIN,TBV,31,819
67,10011144068,HIRSCHI Marc,SWITZERLAND,UAD,23,814
68,10005502914,VIVIANI Elia,ITALY,COF,32,813
69,10003269183,KRISTOFF Alexander,NORWAY,UAD,34,805
70,10007856677,BARGUIL Warren,FRANCE,ARK,30,804
71,10009163753,MADOUAS Valentin,FRANCE,GFC,25,768
72,10007809490,EWAN Caleb,AUSTRALIA,LTS,27,766
73,10005966288,VAN DER SANDE Tosh,BELGIUM,LTS,31,756
74,10007750280,BENOOT Tiesj,BELGIUM,DSM,27,754
75,10008689564,PEDERSEN Mads,DENMARK,TFS,26,746
75,10063820223,GIRMAY Biniam,ERITREA,IWG,21,746
77,10009575395,MOSCON Gianni,ITALY,IGD,27,741
78,10006656204,VERMEERSCH Gianni,BELGIUM,AFC,29,739
79,10009734942,MÄDER Gino,SWITZERLAND,TBV,24,736
80,10006599519,BENNETT Sam,IRELAND,DQT,31,735
81,10025080746,PARET PEINTRE Aurélien,FRANCE,ACT,25,732
82,10008673804,GIBBONS Ryan,SOUTH AFRICA,UAD,27,"730,66"
83,10008722607,POLITT Nils,GERMANY,BOH,27,727
83,10009850534,HOFSTETTER Hugo,FRANCE,ISN,27,727
83,10009877412,COVI Alessandro,ITALY,UAD,23,727
86,10007592050,TURGIS Anthony,FRANCE,TEN,27,725
87,10014890187,MEEUS Jordi,BELGIUM,BOH,23,723
88,10015032152,SWIFT Connor,GREAT BRITAIN,ARK,26,710
89,10009393523,ROTA Lorenzo,ITALY,IWG,26,706
90,10007167775,KONRAD Patrick,AUSTRIA,BOH,30,705
91,10009763436,LOPEZ MORENO Miguel Angel,COLOMBIA,MOV,27,704
92,10007587303,CHAVES RUBIO Jhoan Esteban,COLOMBIA,BEX,31,703
93,10005852821,KWIATKOWSKI Michal,POLAND,IGD,31,"702,33"
94,10042286324,ARANBURU DEBA Alex,SPAIN,APT,26,702
95,10019889226,TILLER Rasmus,NORWAY,UXT,25,687
96,10014918681,SCHELLING Ide,NETHERLANDS,BOH,23,663
97,10003401246,FUGLSANG Jakob,DENMARK,APT,36,660
98,10005977305,HERRADA Jesus,SPAIN,COF,31,650
99,10005391261,VANMARCKE Sep,BELGIUM,ISN,33,645
100,10008671073,EIKING Odd Christian,NORWAY,IWG,27,643
101,10005839885,CATTANEO Mattia,ITALY,DQT,31,639
102,10009334717,WELTEN Bram,NETHERLANDS,ARK,24,623
103,10051858507,CARTHY Hugh John,GREAT BRITAIN,EFN,27,602
104,10005379339,DEGENKOLB John,GERMANY,LTS,32,594
105,10007128470,PASQUALON Andrea,ITALY,IWG,33,588
106,10003094280,DE MARCHI Alessandro,ITALY,ISN,35,"577,33"
107,10007381781,NIELSEN Magnus Cort,DENMARK,EFN,28,"571,33"
108,10008675925,HOELGAARD Markus,NORWAY,UXT,27,571
109,10009575496,BONNAMOUR Franck,FRANCE,BBK,26,566
110,10010946028,VERMEERSCH Florian,BELGIUM,LTS,22,564
111,10008913371,CAMPENAERTS Victor,BELGIUM,TQA,30,"559,33"
112,10007524756,TEUNS Dylan,BELGIUM,TBV,29,558
113,10006895064,COQUARD Bryan,FRANCE,BBK,29,557
114,10007914170,VAN ASBROECK Tom,BELGIUM,ISN,31,552
115,10008834660,KUSS Sepp,UNITED STATES OF AMERICA,TJV,27,550
115,10030626015,BARONCINI Filippo,ITALY,CPK,21,550
117,10011133055,DEWULF Stan,BELGIUM,ACT,24,547
118,10015689631,MARIT Arne,BELGIUM,SVB,22,535
119,10015422778,VANSEVENANT Mauri,BELGIUM,DQT,22,"530,6"
120,10010203572,STORER Michael,AUSTRALIA,DSM,24,526
120,10014991837,MOZZATO Luca,ITALY,BBK,23,526
122,10009832346,CHAMPOUSSIN Clément,FRANCE,ACT,23,522
123,10003224828,MARTIN Daniel,IRELAND,ISN,35,513
124,10007175859,DE LA CRUZ MELGAREJO David,SPAIN,UAD,32,508
125,10009497593,HAMILTON Lucas,AUSTRALIA,BEX,25,490
126,10008661777,BALLERINI Davide,ITALY,DQT,27,"486,67"
127,10010118393,BISSEGGER Stefan,SWITZERLAND,EFN,23,481
128,10002782264,ŠTYBAR Zdeněk,CZECH REPUBLIC,DQT,36,480
128,10005961440,BOUHANNI Nacer,FRANCE,ARK,31,480
130,10006631548,TEUNISSEN Mike,NETHERLANDS,TJV,29,478
131,10014023554,SERRANO RODRIGUEZ Gonzalo,SPAIN,MOV,27,472
132,10005889193,DENNIS Rohan,AUSTRALIA,IGD,31,"471,33"
133,10015829370,ZANA Filippo,ITALY,BCF,22,471
134,10002837838,NIBALI Vincenzo,ITALY,TFS,37,467
135,10045463375,WALSCHEID Maximilian Richard,GERMANY,TQA,28,"465,33"
136,10008018850,VELASCO Simone,ITALY,GAZ,26,463
137,10005902230,DUPONT Timothy,BELGIUM,BWB,34,461
138,10015092372,MCNULTY Brandon,UNITED STATES OF AMERICA,UAD,23,456
139,10015827855,ALEOTTI Giovanni,ITALY,BOH,22,455
140,10007500710,BONIFAZIO Niccolò,ITALY,TEN,28,454
141,10008660464,ALLEGAERT Piet,BELGIUM,COF,26,441
142,10015483406,STEWART Jake,GREAT BRITAIN,GFC,22,431
143,10009365433,NAESEN Oliver,BELGIUM,ACT,31,425
143,10015362861,TESSON Jason,FRANCE,AUB,23,425
145,10006889206,SKUJINS Toms,LATVIA,TFS,30,424
146,10009226401,MARTINEZ POVEDA Daniel Felipe,COLOMBIA,IGD,25,420
