Rank,Name,Team Code,Nationality,Points
1,DECEUNINCK - QUICK-STEP,DQT,BELGIUM,"15641,21"
2,INEOS GRENADIERS,IGD,GREAT BRITAIN,"14998,66"
3,JUMBO-VISMA,TJV,NETHERLANDS,"12914,67"
4,UAE TEAM EMIRATES,UAD,UNITED ARAB EMIRATES,"12355,66"
5,BAHRAIN VICTORIOUS,TBV,BAHRAIN,10429
6,ALPECIN-FENIX,AFC,BELGIUM,8251
7,BORA - HANSGROHE,BOH,GERMANY,8222
8,AG2R CITROEN TEAM,ACT,FRANCE,7151
9,GROUPAMA - FDJ,GFC,FRANCE,6715
10,ISRAEL START-UP NATION,ISN,ISRAEL,"6704,66"
11,MOVISTAR TEAM,MOV,SPAIN,6656
12,TREK - SEGAFREDO,TFS,UNITED STATES OF AMERICA,"6593,66"
13,ASTANA - PREMIER TECH,APT,KAZAKHSTAN,6469
14,INTERMARCHÉ - WANTY - GOBERT MATÉRIAUX,IWG,BELGIUM,5571
15,COFIDIS,COF,FRANCE,5481
16,EF EDUCATION - NIPPO,EFN,UNITED STATES OF AMERICA,"5362,33"
17,TEAM ARKEA - SAMSIC,ARK,FRANCE,5000
18,LOTTO SOUDAL,LTS,BELGIUM,4704
19,TEAM BIKEEXCHANGE,BEX,AUSTRALIA,"4686,33"
20,TEAM QHUBEKA NEXTHASH,TQA,SOUTH AFRICA,"4368,66"
21,TEAM DSM,DSM,GERMANY,3887
22,TOTALENERGIES,TEN,FRANCE,3192
23,UNO - X PRO CYCLING TEAM,UXT,NORWAY,"2848,17"
24,B&B HOTELS P/B KTM,BBK,FRANCE,2726
25,BINGOAL PAUWELS SAUCES WB,BWB,BELGIUM,2037
26,SPORT VLAANDEREN - BALOISE,SVB,BELGIUM,1898
27,ANDRONI GIOCATTOLI - SIDERMEC,ANS,ITALY,1688
28,DELKO,DKO,FRANCE,1668
29,BARDIANI CSF FAIZANE',BCF,ITALY,1608
30,GAZPROM-RUSVELO,GAZ,RUSSIAN FEDERATION,1461
31,CAJA RURAL-SEGUROS RGA,CJR,SPAIN,1408
32,HRE MAZOWSZE SERCE POLSKI,MSP,POLAND,1265
33,ELKOV - KASPER,EKA,CZECH REPUBLIC,1128
34,GROUPAMA - FDJ,CGF,FRANCE,"1054,84"
35,TEAM COLPACK BALLAN,CPK,ITALY,1054
36,EOLO-KOMETA CYCLING TEAM,EOK,ITALY,"1042,67"
37,EUSKALTEL - EUSKADI,EUS,SPAIN,1028
38,EQUIPO KERN PHARMA,EKP,SPAIN,"988,33"
39,JUMBO-VISMA DEVELOPMENT TEAM,JVD,NETHERLANDS,"963,34"
40,RALLY CYCLING,RLY,UNITED STATES OF AMERICA,929
41,VOSTER ATS TEAM,VOS,POLAND,866
42,TERENGGANU CYCLING TEAM,TSG,MALAYSIA,"856,67"
43,W52 / FC PORTO,W52,PORTUGAL,832
44,BURGOS-BH,BBH,SPAIN,798
45,RIWAL CYCLING TEAM,RIW,DENMARK,"794,5"
46,MINSK CYCLING CLUB,MCC,BELARUS,768
47,ST MICHEL - AUBER 93,AUB,FRANCE,757
48,BIKE AID,BAI,GERMANY,"756,58"
49,TEAM COOP,TCO,NORWAY,729
50,LEOPARD PRO CYCLING,LPC,LUXEMBOURG,650
51,PANAMÁ ES CULTURA Y VALORES,PCV,PANAMA,648
52,TARTELETTO - ISOREX,TIS,BELGIUM,638
53,EFAPEL,EFP,PORTUGAL,634
54,UNO-X DARE DEVELOPMENT TEAM,UDT,NORWAY,"620,66"
55,BEST PC ECUAD0R,BES,ECUADOR,607
56,SEG RACING ACADEMY,SEG,NETHERLANDS,"603,66"
57,AMPLER DEVELOPMENT TEAM,ADT,ESTONIA,584
58,WILDLIFE GENERATION PRO CYCLING,WGC,UNITED STATES OF AMERICA,570
59,DEVELOPMENT TEAM DSM,DDS,GERMANY,"524,5"
60,SALCANO SAKARYA BB,SBB,TURKEY,517
61,TEAM VORARLBERG,VBG,AUSTRIA,514
62,BLACK SPOKE PRO CYCLING,BSC,NEW ZEALAND,"461,5"
63,PROTOUCH,PRO,SOUTH AFRICA,"459,32"
64,DUKLA BANSKA BYSTRICA,DKB,SLOVAKIA,450
