Rank      Name                                                          Team Code    Nationality              Points      
         1BOELS DOLMANS CYCLINGTEAM                                     DLT          NETHERLANDS                      3273
         2TEAM SUNWEB                                                   SUN          NETHERLANDS                      2153
         3WIGGLE HIGH5                                                  WHT          GREAT BRITAIN                    1824
         4ORICA SCOTT                                                   ORS          AUSTRALIA                        1821
         5CANYON SRAM RACING                                            LPR          GERMANY                          1505
         6WM3 PRO CYCLING TEAM                                          WM3          NETHERLANDS                      1414
         7CERVELO - BIGLA PRO CYCLING TEAM                              CBT          GERMANY                          1228
         8ALE CIPOLLINI                                                 ALE          ITALY                             994
         9CYLANCE PRO CYCLING                                           CPC          UNITED STATES OF AMERICA          763
        10FDJ NOUVELLE AQUITAINE FUTUROSCOPE                            FDJ          FRANCE                            662
        11BTC CITY LJUBLJANA                                            BTC          SLOVENIA                          512
        12ASTANA WOMEN'S TEAM                                           ASA          KAZAKHSTAN                        398
        13LENSWORLD - KUOTA                                             LWK          BELGIUM                           300
        14TEAM VIRTU CYCLING                                            TVC          DENMARK                           278
        15UNITEDHEALTHCARE PRO CYCLING TEAM                             UHC          UNITED STATES OF AMERICA          259
        16TEAM TIBCO - SILICON VALLEY BANK                              TIB          UNITED STATES OF AMERICA          255
        17DROPS                                                         DRP          GREAT BRITAIN                     245
        18HITEC PRODUCTS                                                HPU          NORWAY                            243
        19BEPINK COGEAS                                                 BPK          ITALY                             223
        20LOTTO SOUDAL LADIES                                           LSL          BELGIUM                           114
        21SERVETTO GIUSTA                                               SER          ITALY                              92
        22LARES - WAOWDEALS WOMEN CYCLING TEAM                          LWD          BELGIUM                            91
        23AROMITALIA VAIANO                                             VAI          ITALY                              58
        24TEAM WNT PRO CYCLING                                          WNT          GREAT BRITAIN                      52
        25AUSTRALIA                                                     AUS          AUSTRALIA                          40
        26LOINTEK                                                       LTK          SPAIN                              39
        27RALLY CYCLING                                                 RLW          UNITED STATES OF AMERICA           38
        28HAGENS BERMAN / SUPERMINT                                     HBS          UNITED STATES OF AMERICA           28
        29SHO - AIR TWENTY20                                            T20          UNITED STATES OF AMERICA           25
        30VALCAR PBM                                                    VAL          ITALY                              24
        31CHINA CHONGMING - LIV PRO CYCLING                             GPC          HONG KONG, CHINA                   24
        32PARKHOTEL VALKENBURG - DESTIL CYCLING TEAM                    PVD          NETHERLANDS                        22
        33CONCERIA ZABRI-FANINI-GUERCIOTTI                              CZG          ALBANIA                            14
        34TEAM ILLUMINATE                                               ILU          UNITED STATES OF AMERICA           14
        35UNITED STATES OF AMERICA                                      USA          UNITED STATES OF AMERICA           10
        36NORWAY                                                        NOR          NORWAY                              4
