Rank,UCI ID,Name,Nationality,Team Code,Age,Points
1,10006065514,VAN VLEUTEN Annemiek,NETHERLANDS,MOV,40,"3589,33"
2,10007614985,LONGO BORGHINI Elisa,ITALY,TFS,31,"2710,33"
3,10015146633,VOLLERING Demi,NETHERLANDS,SDW,26,"2681,17"
4,10014173300,WIEBES Lorena,NETHERLANDS,DSM,23,2526
5,10010182657,BALSAMO Elisa,ITALY,TFS,24,"2457,33"
6,10007350459,KOPECKY Lotte,BELGIUM,SDW,27,"2403,17"
7,10011143260,CAVALLI Marta,ITALY,FSF,24,1926
8,10014049523,LIPPERT Liane,GERMANY,DSM,24,1751
9,10008683807,LUDWIG Cecilie,DENMARK,FSF,27,1740
10,10006919619,MOOLMAN-PASIO Ashleigh,SOUTH AFRICA,SDW,37,1639
11,10008682490,NIEWIADOMA Katarzyna,POLAND,CSR,28,"1550,5"
12,10009749894,LABOUS Juliette,FRANCE,DSM,24,1524
13,10039854755,GARCIA CAÑELLAS Margarita Victo,SPAIN,UAD,38,1352
14,10010753947,PERSICO Silvia,ITALY,VAL,25,1349
15,10014329207,BROWN Grace,AUSTRALIA,FSF,30,1331
16,10045936958,CHABBEY Elise,SWITZERLAND,CSR,29,"1302,5"
17,10003114488,VOS Marianne,NETHERLANDS,JVW,35,1187
18,10005540906,CORDON RAGOT Audrey,FRANCE,TFS,33,1024
19,10003267163,BASTIANELLI Marta,ITALY,UAD,35,986
20,10007272253,DRONOVA Tamara,RUSSIAN FEDERATION,CGS,29,"899,2"
21,10015197456,BJERG Emma Cecilie,DENMARK,MOV,23,"892,33"
22,10009115253,MANLY Alexandra,AUSTRALIA,BEX,26,"831,67"
23,10010941277,MUZIC Evita,FRANCE,FSF,23,776
24,10010660785,BERTIZZOLO Sofia,ITALY,UAD,25,727
25,10062147678,FAULKNER Kristen,UNITED STATES OF AMERICA,BEX,30,"722,67"
26,10005498264,VAN DEN BROEK-BLAAK Chantal,NETHERLANDS,SDW,33,692
27,10008684312,MACKAIJ Floortje,NETHERLANDS,DSM,27,668
28,10021707267,FISHER-BLACK Niamh,NEW ZEALAND,SDW,22,"645,17"
29,10015660026,CONSONNI Chiara,ITALY,VAL,23,615
30,10007524453,PALADIN Soraya,ITALY,CSR,29,584
31,10118397877,EWERS Veronica,UNITED STATES OF AMERICA,TIB,28,583
32,10007969037,ROOIJAKKERS Pauliena,NETHERLANDS,CSR,29,"571,5"
33,10022837521,VAN ANROOIJ Shirin,NETHERLANDS,TFS,20,"563,33"
34,10007199808,SIERRA CANADILLA Arlenis,CUBA,MOV,30,"558,33"
35,10015328711,COPPONI Clara,FRANCE,FSF,23,530
