Road champ;Road day;Road month;Road year;Road winner;Clm champ;Clm day;Clm month;Clm year;Clm winner
Q934877;0;0;1958;Q452635;Q2630733;25;8;1994;Q519616
Q934877;0;0;1959;Q456282;Q2630733;4;10;1995;Q233834
Q934877;0;0;1960;Q117930;Q2630733;9;10;1996;Q233834
Q934877;0;0;1961;Q456282;Q2630733;8;10;1997;Q233834
Q934877;0;0;1962;Q1390311;Q2630733;7;10;1998;Q234158
Q934877;0;0;1963;Q456282;Q2630733;5;10;1999;Q234158
Q934877;0;0;1964;Q523639;Q2630733;11;10;2000;Q59797
Q934877;0;0;1965;Q104120;Q2630733;10;10;2001;Q233834
Q934877;0;0;1966;Q456282;Q2630733;9;10;2002;Q272543
Q934877;0;0;1967;Q117930;Q2630733;8;10;2003;Q272147
Q934877;0;0;1968;Q456559;Q2630733;28;9;2004;Q241718
Q934877;0;0;1969;Q515157;Q2630733;21;9;2005;Q241718
Q934877;0;0;1970;Q534802;Q2630733;20;9;2006;Q236193
Q934877;0;0;1971;Q534802;Q2630733;26;9;2007;Q267900
Q934877;0;0;1972;Q523707;Q2630733;24;9;2008;Q441239
Q934877;0;0;1973;Q1253272;Q2630733;23;9;2009;Q236193
Q934877;0;0;1974;Q523707;Q2630733;29;9;2010;Q239853
Q934877;0;0;1975;Q541017;Q2630733;20;9;2011;Q61161
Q934877;0;0;1976;Q456559;Q2630733;18;9;2012;Q61161
Q934877;0;0;1977;Q434238;Q2630733;24;9;2013;Q241961
Q934877;0;0;1978;Q194558;Q2630733;23;9;2014;Q91193
Q934877;0;0;1979;Q434243;Q2630733;22;9;2015;Q270555
Q934877;0;0;1980;Q198931;Q2630733;11;10;2016;Q441239
Q934877;0;0;1981;Q523056;Q2630733;19;9;2017;Q289826
Q934877;0;0;1982;Q449107;Q2630733;25;9;2018;Q289826
Q934877;0;0;1983;Q1896778;Q2630733;24;9;2019;Q23007713
Q934877;0;0;1985;Q233834;Q30894543;15;9;2016;Q241961
