Clm champ;Clm day;Clm month;Clm year;Clm winner;0;0;0;0;0
Q2630733;25;8;1994;Q519616;0;0;0;0;0
Q2630733;4;10;1995;Q233834;0;0;0;0;0
Q2630733;9;10;1996;Q233834;0;0;0;0;0
Q2630733;8;10;1997;Q233834;0;0;0;0;0
Q2630733;7;10;1998;Q234158;0;0;0;0;0
Q2630733;5;10;1999;Q234158;0;0;0;0;0
Q2630733;11;10;2000;Q59797;0;0;0;0;0
Q2630733;10;10;2001;Q233834;0;0;0;0;0
Q2630733;9;10;2002;Q272543;0;0;0;0;0
Q2630733;8;10;2003;Q272147;0;0;0;0;0
Q2630733;28;9;2004;Q241718;0;0;0;0;0
Q2630733;21;9;2005;Q241718;0;0;0;0;0
Q2630733;20;9;2006;Q236193;0;0;0;0;0
Q2630733;26;9;2007;Q267900;0;0;0;0;0
Q2630733;24;9;2008;Q441239;0;0;0;0;0
Q2630733;23;9;2009;Q236193;0;0;0;0;0
Q2630733;29;9;2010;Q239853;0;0;0;0;0
Q2630733;20;9;2011;Q61161;0;0;0;0;0
Q2630733;18;9;2012;Q61161;0;0;0;0;0
Q2630733;24;9;2013;Q241961;0;0;0;0;0
Q2630733;23;9;2014;Q91193;0;0;0;0;0
Q2630733;22;9;2015;Q270555;0;0;0;0;0
Q2630733;11;10;2016;Q441239;0;0;0;0;0
Q2630733;19;9;2017;Q289826;0;0;0;0;0
Q2630733;25;9;2018;Q289826;0;0;0;0;0
Q2630733;24;9;2019;Q23007713;0;0;0;0;0
Q2630733;24;9;2020;Q563737;0;0;0;0;0
Q30894543;15;9;2016;Q241961;0;0;0;0;0
Q30894543;3;8;2017;Q241961;0;0;0;0;0
Q30894543;8;8;2018;Q241961;0;0;0;0;0
Q30894543;8;8;2019;Q241961;0;0;0;0;0
Q30894543;24;8;2020;Q563737;0;0;0;0;0
Q25400088;15;2;2018;Q25426372;0;0;0;0;0
Q25400088;16;3;2019;Q50063346;0;0;0;0;0
Q25400088;3;3;2021;Q27449733;0;0;0;0;0
Q50062728;9;2;2018;Q22957584;0;0;0;0;0
Q50062728;25;4;2019;Q266686;0;0;0;0;0
Q54314912;23;3;2018;Q39270192;0;0;0;0;0
Q54314912;15;3;2019;Q29050111;0;0;0;0;0
Q31271381;5;5;2017;Q23007713;0;0;0;0;0
Q31271381;3;5;2018;Q441239;0;0;0;0;0
Q31271381;1;5;2019;Q24258287;0;0;0;0;0
Q43288988;11;6;2005;Q43774185;0;0;0;0;0
Q30332806;26;6;2005;Q3048753;0;0;0;0;0
Q30349480;3;9;2005;Q6306728;0;0;0;0;0
Q30577837;26;6;2005;Q19518519;0;0;0;0;0
Q32603438;26;6;2005;Q7652516;0;0;0;0;0
Q31271315;26;6;2005;Q8775882;0;0;0;0;0
Q55220999;26;6;2005;Q11957793;0;0;0;0;0
Q30333137;17;8;2005;Q468255;0;0;0;0;0
Q31529645;26;6;2005;Q272543;0;0;0;0;0
Q30332699;26;6;2005;Q61161;0;0;0;0;0
Q31272638;26;6;2005;Q468279;0;0;0;0;0
Q30584268;26;6;2005;Q241718;0;0;0;0;0
Q30349371;26;6;2005;Q12308859;0;0;0;0;0
Q30333018;26;6;2005;Q236488;0;0;0;0;0
Q30349441;16;6;2005;Q235027;0;0;0;0;0
Q30349507;26;6;2005;Q236193;0;0;0;0;0
Q31093255;26;6;2005;Q65650;0;0;0;0;0
Q31271615;26;6;2005;Q467209;0;0;0;0;0
Q29043254;12;1;2005;Q456102;0;0;0;0;0
Q45084575;20;10;2005;Q176489;0;0;0;0;0
Q29034408;3;3;2005;Q556692;0;0;0;0;0
Q31096001;7;7;2005;Q7634234;0;0;0;0;0
Q30332311;26;6;2005;Q16847076;0;0;0;0;0
Q51332630;10;2;2005;Q19518661;0;0;0;0;0
Q31271024;26;6;2005;Q460914;0;0;0;0;0
Q30456396;26;6;2005;Q212555;0;0;0;0;0
Q30557246;26;6;2005;Q11418692;0;0;0;0;0
Q107382728;26;6;2005;Q11977973;0;0;0;0;0
Q43288988;24;6;2006;Q43304262;0;0;0;0;0
Q30332806;22;6;2006;Q233834;0;0;0;0;0
Q30349480;3;9;2006;Q237209;0;0;0;0;0
Q30577837;23;6;2006;Q19518519;0;0;0;0;0
Q29642128;27;8;2006;Q2844927;0;0;0;0;0
Q32603438;23;6;2006;Q117508;0;0;0;0;0
Q31271315;29;7;200;Q8775882;0;0;0;0;0
Q55220999;23;6;2006;Q19605352;0;0;0;0;0
Q30333137;20;6;2006;Q439944;0;0;0;0;0
Q31529645;23;6;2006;Q272543;0;0;0;0;0
Q30332699;23;6;2006;Q69388;0;0;0;0;0
