Clm champ;Clm day;Clm month;Clm year;Clm winner;0;0;0;0;0
Q2557477;12;10;2016;Q61049;0;0;0;0;0
Q2557477;20;9;2017;Q958187;0;0;0;0;0
Q2557477;26;9;2018;Q509227;0;0;0;0;0
Q2557477;25;9;2019;Q509227;0;0;0;0;0
Q2557477;25;9;2020;Q20971580;0;0;0;0;0
Q30894535;15;9;2016;Q459445;0;0;0;0;0
Q30894535;3;8;2017;Q16682579;0;0;0;0;0
Q30894535;8;8;2018;Q16682579;0;0;0;0;0
Q30894535;8;8;2019;Q50821956;0;0;0;0;0
Q23069708;28;5;2001;Q2287612;0;0;0;0;0
Q23069708;6;12;2005;Q2833004;0;0;0;0;0
Q23069708;10;11;2006;Q359540;0;0;0;0;0
Q23069708;9;11;2007;Q723005;0;0;0;0;0
Q23069708;7;11;2008;Q361767;0;0;0;0;0
Q23069708;6;11;2009;Q361767;0;0;0;0;0
Q23069708;12;11;2010;Q609708;0;0;0;0;0
Q23069708;11;11;2011;Q609708;0;0;0;0;0
Q23069708;9;11;2012;Q609708;0;0;0;0;0
Q23069708;3;12;2013;Q609708;0;0;0;0;0
Q23069708;11;2;2015;Q3541510;0;0;0;0;0
Q23069708;24;2;2016;Q730874;0;0;0;0;0
Q23069708;16;2;2017;Q16664122;0;0;0;0;0
Q23069708;15;2;2018;Q15987188;0;0;0;0;0
Q23069708;17;3;2019;Q22695526;0;0;0;0;0
Q22980937;21;1;2016;Q13743574;0;0;0;0;0
Q23889469;3;12;2005;Q1397959;0;0;0;0;0
Q23889469;3;5;2007;Q1028804;0;0;0;0;0
Q23889469;14;11;2007;Q1397959;0;0;0;0;0
Q23889469;12;2;2009;Q330476;0;0;0;0;0
Q23889469;13;11;2009;Q1258722;0;0;0;0;0
Q23889469;17;3;2011;Q2578462;0;0;0;0;0
Q23889469;16;3;2012;Q1762733;0;0;0;0;0
Q23889469;14;3;2013;Q361832;0;0;0;0;0
Q23889469;20;2;2014;Q1706785;0;0;0;0;0
Q23889469;14;2;2015;Q925687;0;0;0;0;0
Q23889469;3;3;2016;Q22117268;0;0;0;0;0
Q23889469;9;3;2017;Q22117268;0;0;0;0;0
Q23889469;23;3;2018;Q1321253;0;0;0;0;0
Q23889469;15;3;2019;Q817452;0;0;0;0;0
Q85519577;25;4;2005;Q740935;0;0;0;0;0
Q85519577;4;6;2006;Q1526519;0;0;0;0;0
Q85519577;25;5;2007;Q1362654;0;0;0;0;0
Q85519577;9;5;2008;Q552736;0;0;0;0;0
Q85519577;23;7;2009;Q1710412;0;0;0;0;0
Q85519577;8;5;2010;Q355883;0;0;0;0;0
Q85519577;6;5;2011;Q1688908;0;0;0;0;0
Q85519577;9;3;2012;Q721581;0;0;0;0;0
Q85519577;2;5;2013;Q1043129;0;0;0;0;0
Q85519577;8;5;2014;Q15695385;0;0;0;0;0
Q85519577;7;5;2015;Q1043129;0;0;0;0;0
Q85519577;19;5;2016;Q22912870;0;0;0;0;0
Q85519577;5;5;2017;Q20127300;0;0;0;0;0
Q85519577;3;5;2018;Q22912870;0;0;0;0;0
Q85519577;1;5;2019;Q48982129;0;0;0;0;0
Q24618030;26;6;2015;Q428257;0;0;0;0;0
Q22284183;7;1;2016;Q509227;0;0;0;0;0
Q22303252;8;1;2016;Q2057414;0;0;0;0;0
Q22680998;5;2;2016;Q15850935;0;0;0;0;0
Q22680863;11;2;2016;Q375272;0;0;0;0;0
Q22951254;19;2;2016;Q22912870;0;0;0;0;0
Q24614056;18;3;2016;Q24615027;0;0;0;0;0
Q24618030;23;6;2016;Q16682579;0;0;0;0;0
Q24621627;4;5;2016;Q24623170;0;0;0;0;0
Q24628162;7;5;2016;Q293470;0;0;0;0;0
Q24050074;8;5;2016;Q717396;0;0;0;0;0
Q24718416;22;5;2016;Q24718521;0;0;0;0;0
Q24730502;27;5;2016;Q24730699;0;0;0;0;0
Q24731482;27;5;2016;Q358133;0;0;0;0;0
Q24731829;3;6;2016;Q1942824;0;0;0;0;0
Q24733090;3;6;2016;Q1884828;0;0;0;0;0
Q24733742;5;6;2016;Q17350933;0;0;0;0;0
Q26960674;25;3;2016;Q20127300;0;0;0;0;0
Q26971248;6;5;2016;Q26971412;0;0;0;0;0
Q26972716;10;6;2016;Q2110167;0;0;0;0;0
Q26972777;12;6;2016;Q18816309;0;0;0;0;0
Q26972873;17;6;2016;Q26972906;0;0;0;0;0
Q26972922;18;6;2016;Q22329196;0;0;0;0;0
Q26973044;19;6;2016;Q1891692;0;0;0;0;0
Q26976108;21;6;2016;Q377207;0;0;0;0;0
Q26985012;19;6;2016;Q26985040;0;0;0;0;0
Q26985336;22;6;2016;Q15089794;0;0;0;0;0
Q27042376;22;6;2016;Q1335093;0;0;0;0;0
Q27042506;22;6;2016;Q128357;0;0;0;0;0
Q17319607;22;6;2016;Q523272;0;0;0;0;0
Q27043325;22;6;2016;Q587598;0;0;0;0;0
Q27043341;22;6;2016;Q188197;0;0;0;0;0
Q3754388;22;6;2016;Q958187;0;0;0;0;0
Q27043925;23;6;2016;Q18402415;0;0;0;0;0
Q27043933;23;6;2016;Q2621470;0;0;0;0;0
Q27043945;23;6;2016;Q539805;0;0;0;0;0
Q27043958;23;6;2016;Q2092183;0;0;0;0;0
Q27048375;23;6;2016;Q375046;0;0;0;0;0
Q27048383;23;6;2016;Q520908;0;0;0;0;0
Q27048392;23;6;2016;Q722223;0;0;0;0;0
Q27048400;23;6;2016;Q20736155;0;0;0;0;0
Q27048410;23;6;2016;Q333351;0;0;0;0;0
Q27048421;23;6;2016;Q460872;0;0;0;0;0
Q27055694;23;6;2016;Q16027885;0;0;0;0;0
Q27055696;23;6;2016;Q1768740;0;0;0;0;0
Q27055697;23;6;2016;Q1075707;0;0;0;0;0
Q27055699;23;6;2016;Q459475;0;0;0;0;0
Q27055700;24;6;2016;Q61049;0;0;0;0;0
Q27056383;24;6;2016;Q2178395;0;0;0;0;0
Q17005940;24;6;2016;Q888024;0;0;0;0;0
Q27056386;24;6;2016;Q1312675;0;0;0;0;0
Q27056388;24;6;2016;Q609708;0;0;0;0;0
Q27056389;24;6;2016;Q3268460;0;0;0;0;0
Q27056392;24;6;2016;Q22911202;0;0;0;0;0
Q27133611;24;6;2016;Q27229754;0;0;0;0;0
Q27133615;24;6;2016;Q381409;0;0;0;0;0
Q27133617;24;6;2016;Q728008;0;0;0;0;0
Q27133620;24;6;2016;Q982503;0;0;0;0;0
Q27133623;24;6;2016;Q2272998;0;0;0;0;0
Q27133626;24;6;2016;Q1715983;0;0;0;0;0
Q27235631;23;6;2016;Q1687750;0;0;0;0;0
Q7382088;24;6;2016;Q219446;0;0;0;0;0
Q27235634;25;6;2016;Q1710611;0;0;0;0;0
Q27235636;25;6;2016;Q27666161;0;0;0;0;0
Q26834055;25;6;2016;Q13743574;0;0;0;0;0
Q27235637;25;6;2016;Q27671909;0;0;0;0;0
Q27235638;25;6;2016;Q377133;0;0;0;0;0
Q27235639;25;6;2016;Q13476446;0;0;0;0;0
Q27793461;25;6;2016;Q27813775;0;0;0;0;0
Q27793536;25;6;2016;Q19629516;0;0;0;0;0
Q22284183;5;1;2017;Q509227;0;0;0;0;0
Q22303252;6;1;2017;Q982454;0;0;0;0;0
Q27048421;22;6;2017;Q17486055;0;0;0;0;0
Q27048400;22;6;2017;Q20736155;0;0;0;0;0
Q7382088;23;6;2017;Q2100992;0;0;0;0;0
Q22284183;5;1;2018;Q509227;0;0;0;0;0
Q22303252;5;1;2018;Q1321253;0;0;0;0;0
Q22284183;8;1;2019;Q932148;0;0;0;0;0
